unit_id,InletTemperature,PressureDropBed
0,11.299445488419437,48.2646439440015
1,28.099952976064635,53.15158650786805
2,37.461235188105256,56.20176378944714
3,40.271111125103346,29.717094725345117
4,26.32069572851966,55.566948714662765
5,34.61844764835003,44.02223803940107
6,27.036251541079373,46.09904015317866
7,19.54210464898116,20.48048124183468
8,63.55718108874772,47.65809638184349
9,42.173952575159795,43.54801327430805
10,47.71669392765979,65.21156631093992
11,32.9995437201228,47.79374622431173
12,54.006163588180065,60.207433111094346
13,60.676423507677114,63.2766237718406
14,56.9138253643803,62.45519772819672
15,46.97950577468596,63.138308952632094
16,23.63715365741577,40.120506431885325
17,66.57830244685941,66.50351008357839
18,54.95661491289168,62.360854849715565
19,53.12826897859459,47.6276681837986
20,16.06221564944893,52.202343910793736
21,34.98204370174995,60.199518374627154
22,39.36002355054512,45.36764602961062
23,49.083738648316164,51.581937045926416
24,29.52780091046235,43.5013273841372
25,36.156775078082084,32.5536353048276
26,38.85341936091933,45.61456078772659
27,19.220952699293996,24.471306896397763
28,37.20104958145176,62.39665214558563
29,51.260474593859485,27.14126060236721
30,53.37632782035358,64.30741269690496
31,39.26237480909852,41.27484034381511
32,41.79883221048912,34.77972941640478
33,56.18593769110218,49.56056772231132
34,36.26677682309349,47.11396074505387
35,32.92032563310538,47.103519417814184
36,52.99300098650831,35.40860424448678
37,39.446887237110126,27.145253079867473
38,28.803860628937226,36.35432659349625
39,49.31919764813344,30.742535772702603
40,30.729047556885295,39.136713337724686
41,54.60200189847459,37.426144110972224
42,62.27990226165464,44.91716984287127
43,23.412385657846713,53.61352156782818
44,18.48309904857251,44.700846467765636
45,36.65567780529948,56.37241561117541
46,58.61349174492731,51.22638125469495
47,33.94962321605133,40.51071762852186
48,36.819891009962895,47.30650835233178
49,56.29187539108563,56.31824420975962
50,47.6235528461562,66.47784867760508
51,41.51398987983934,39.86600522218809
52,29.484580190517754,62.70483040759008
53,54.43988440303836,46.11413941801125
54,49.0339775194044,67.88981813381308
55,18.221078668974105,52.762394547803936
56,32.827855996408175,46.69080936828214
57,47.432357691644114,41.1851504370817
58,61.049288382433275,39.58916036970098
59,49.3972956527781,54.69864584000102
60,38.34207752115006,39.052611905195455
61,67.0835721273817,50.26086341306741
62,39.638488728422665,29.14206148169856
63,27.320800731391508,38.71338413670196
64,62.05193095972683,42.59490677699293
65,13.683408572956903,41.51579770707513
66,50.05366989350384,34.949251078946546
67,54.82543745311036,65.38491482667801
68,53.971528098197766,62.14082849480956
69,52.76876638500045,25.773682004144653
70,43.769223109527374,68.19737610705657
71,44.76368472915639,60.810996199273944
72,39.08738736677545,70.83054077224216
73,45.215415875487224,55.6477098477661
74,49.091766756027155,35.67806306182392
75,14.909270733887848,68.21267507439956
76,46.08478707065883,58.7950936256636
77,28.17509406408677,59.96189426940366
78,56.374162625794554,38.2662075746251
79,36.66449948457901,59.75847022930962
80,56.69481617440316,34.42925125372893
81,52.74701773278618,35.16077638267891
82,64.15687335413763,65.80650164649859
83,53.870993099508574,46.831033476749454
84,36.60735384613546,61.552921276969116
85,47.733911638244024,75.03196153684844
86,48.84519966071824,59.8633686784582
87,49.1890673867934,58.50407298726246
88,43.642453516077126,45.79643058489183
89,65.10008804793723,45.295393175521546
90,28.782481834368568,44.882004674123095
91,53.57109437495802,57.9143602472979
92,49.83500097229665,71.77708565288818
93,48.775199863342294,44.379109543238734
94,40.65589152249582,52.474538378822814
95,48.74436201517572,66.63625336341346
96,47.11675758639883,37.76312096038146
97,50.107374877362176,38.96296210884978
98,46.1096232863753,38.34308914400892
99,45.728411191789746,72.67191309682238
100,38.92312451602441,49.90813831720966
101,39.53413611935833,35.19530655824814
102,46.21401071665065,51.58368267216993
103,27.39275673139034,35.23913074343692
104,71.52260263418218,57.943673682272966
105,30.096608094543836,43.34884546284036
106,38.41984428912704,35.96107636618706
107,54.76101232542634,65.11216140232668
108,52.15468152740096,36.783110452443594
109,47.26558895313323,39.44001552001671
110,74.89441718543677,36.437715650490716
111,47.1151785561171,51.59561538582621
112,50.38627551309242,52.55369875182354
113,47.1331701947163,41.163475165190086
114,57.74739264315597,58.89691583475549
115,28.024358327566098,52.27970796050527
116,15.721151385215268,70.75812718996268
117,38.67974627214879,48.33467250934254
118,56.319872934905504,47.71502890250895
119,52.01832554347956,44.70076426283096
