unit_id,ConversionEfficiency,ReactorPressure,RecycleGasPurity,InletTemperature,PressureDropBed,do_InletTemperature
0,-4.49972608805327,73.45526296540878,64.15628909725251,75.05660290540949,61.293795964745755,75.0
1,-9.249294551164219,58.53243750038425,64.14357492306434,74.647435808703,60.80924334607617,75.0
2,-8.05573817595424,63.904698807419805,57.08799268262457,72.12630410765631,55.20228579064229,75.0
3,-19.34551576121813,63.30340168206772,57.8523224756555,77.35257650629882,49.262327989896605,75.0
4,-12.29019322054869,63.49626957003873,56.121759933188955,78.63976889136042,55.723026349933654,75.0
5,-2.6846750206272247,66.97686377675917,26.232980434564457,68.9196849835309,56.12411913973348,75.0
6,-3.862865691628664,75.12284941433353,58.3785948258931,73.7424741901005,57.802439464943205,75.0
7,-19.66229619639626,82.76337465329243,64.79016249456026,75.94005988401653,52.77596853210325,75.0
8,24.161137937529425,76.24717444602541,68.43575113093881,79.86687864961687,43.4074868434731,75.0
9,-2.6258497238384377,76.04287670330258,47.535264835924025,73.95277017798657,30.198577161482074,75.0
10,-19.07886946170694,61.288853671881796,70.81940908033502,78.55797378394453,39.8474690105819,75.0
11,12.246087182921155,92.29341713953282,59.916281508511254,72.78696629628286,71.03373943286446,75.0
12,-2.569684519186448,72.22205249691304,41.65548469758654,73.32552955835605,41.02721426327283,75.0
13,21.298222341867447,84.68561845901249,65.78848309346236,74.40954336937787,59.380369029028095,75.0
14,12.701730041083131,63.84693867769342,33.920634972529854,70.06150461633756,56.4708311627744,75.0
15,-25.931979983087565,54.42765120170801,31.89759093011242,72.35781760809789,53.65565455321538,75.0
16,-17.301113116079932,67.61287700188262,31.989358096789612,75.34592385414392,56.53352687588414,75.0
17,-14.91406896003662,65.95684467652694,73.17354539187924,75.6128391053007,56.068018655719825,75.0
18,-6.650282332211989,72.19956341653467,40.512750135508256,80.3403832318131,35.99934991993563,75.0
19,6.413097733865422,63.501887645905484,41.62326387794565,75.04568788741376,48.79457670845546,75.0
20,-2.7142904820756657,76.54388125227909,62.9760644817271,72.51002148907419,53.202623014611625,75.0
21,-14.984084475944178,58.60259452290816,49.2972577472104,84.21310865262744,56.4314872066571,75.0
22,16.084587798444048,85.26411429096369,59.48007068130274,71.73156388259777,36.81764364663669,75.0
