unit_id,ConversionEfficiency,ReactorPressure,RecycleRatio,RecycleGasPurity,do_InletTemperature
0,12.664104255400217,68.655620770405,71.69585744809369,62.07068342688974,15.0
1,12.768125172608796,57.191083209554606,70.13871667141255,75.59478694985332,15.0
2,34.852651141726014,86.46923346918489,54.615949218598054,64.38068117977059,15.0
3,22.731546026832962,81.785913044897,39.70489638460464,55.04891023218979,15.0
4,21.643517541542323,60.12057020813274,56.99167039616439,45.18857478916701,15.0
5,16.37962549554438,77.14820578645724,37.506307715580895,60.483471788405716,15.0
6,28.89390450716112,91.69182596602627,56.613658803056055,72.31094609684807,15.0
7,25.573298209746643,83.90862342644436,50.81383514023625,56.45140798527363,15.0
8,28.07294953503478,69.10721508486046,38.07034633702278,58.97205466278162,15.0
9,33.936047702939526,76.26298177105684,51.823449720435114,58.998863672309696,15.0
10,19.423415133047065,63.14702337314237,34.17511189093891,91.84640682736126,15.0
11,26.83366276809314,85.25615082201026,38.18080303720758,67.58065102623752,15.0
12,21.600188683339816,67.18066673279658,39.25646810194584,36.8507652003562,15.0
13,25.547144776610466,80.30047857196674,44.007985530095674,57.2553058340216,15.0
14,20.02979544330684,66.30548699900478,55.771642897015305,30.123800770186183,15.0
15,18.16405143099356,72.62725264788277,67.01695033896014,42.130297038975115,15.0
16,32.416010913786884,89.24001596731307,45.82223583886288,59.537243981229516,15.0
17,20.20237270706811,73.9673376920586,38.066995417260976,45.78249847688753,15.0
18,18.74517103860821,71.85350953879622,53.77912914367976,62.134602517747595,15.0
19,26.531617312984686,70.09158392802681,40.24641009304167,32.47686054421239,15.0
20,26.70183441857415,67.97462106644919,30.982317715485685,62.51169346421781,15.0
21,27.11774601771352,92.58199195586344,40.93551211858102,61.86902713816879,15.0
22,29.76926483793884,84.28769115959757,57.05253924870627,68.25072246409191,15.0
23,31.248745653729586,77.96167756346934,56.05179458915223,64.79082308566635,15.0
24,30.294323028500997,93.92008064178293,46.43320300304768,65.5912225838132,15.0
25,22.40539587706233,78.17282933329665,52.03819608120399,47.59562170245013,15.0
26,17.715799473474956,55.18394349973046,47.610075441699145,35.40734345536509,15.0
27,27.223843602276258,80.3028440720748,39.610946306821965,44.98553038490919,15.0
28,30.21801714232288,79.19429565714523,37.982948697203625,70.88419354385192,15.0
29,14.554894364146826,63.90103145740469,55.08184623080368,42.191619095730445,15.0
30,32.51489021710803,89.03114081865539,50.63834311944288,34.82716607284911,15.0
31,26.833200988711212,78.94446947019124,48.301797799661365,42.02441332634689,15.0
32,30.133370745917833,73.719533661934,41.05657226467226,52.701101538012885,15.0
33,28.36578331391744,79.30553708603371,61.12871690933724,35.839408149591954,15.0
34,29.72780775674449,70.58630020150532,67.77513289057127,68.50261860780634,15.0
35,32.47058559802311,89.83945670867277,52.930452575557524,77.95050665486544,15.0
36,25.590736318363067,78.3065235358739,69.29293294302441,63.96873294170097,15.0
37,33.08748548312438,78.40767151570438,43.114377292380595,34.46124629718602,15.0
38,30.156951154378454,74.84739464249802,57.876530893676794,29.38554922351411,15.0
39,19.409187072001753,64.33170222957649,43.3494091710996,90.04289339973465,15.0
40,25.712588370089108,77.50298072761342,31.92526522209072,41.84177842115996,15.0
41,30.711152564243978,88.49877034426125,34.09625831440802,29.296165242176663,15.0
42,21.871452607572138,68.45436272423372,52.07580469711075,48.00406904365509,15.0
43,31.594031089260618,85.94787073614529,51.15034450578171,41.422389028120996,15.0
44,11.066467404200136,53.50893422478896,25.99569739567692,6.482084394508323,15.0
45,31.850141168623068,77.0334475887754,47.12473273867216,52.30529309742306,15.0
46,30.935915470964073,92.5033519601138,45.30949687804533,49.463041301568055,15.0
47,23.394720189828003,71.183659598006,56.43796600512599,23.658010018772174,15.0
48,34.92915604163909,86.59120246545378,40.60806316516276,76.76879847914967,15.0
49,38.04262880271459,94.22747789190461,31.020844237345926,67.41714781550897,15.0
50,25.831650094628305,71.71469548561625,52.47545460474802,68.8312409533841,15.0
51,24.368929136137073,84.969834795637,52.04290348573875,30.853571353968842,15.0
52,26.14745095242486,74.68046210596188,66.44459552107693,69.02331610708725,15.0
