unit_id,CropYield,NitrogenPPM,PotassiumPPM
0,17.532928880245784,42.15901047004297,57.59921321330371
1,19.551512848786192,45.34504438158506,51.06664484704522
2,13.80926097492216,37.584114760997025,40.51618675670813
3,16.500339142202627,44.074552649623,55.15197887330276
4,18.313999914882757,46.844360486463145,61.445544362813365
5,19.881673471231586,68.88625518316341,43.42417712002194
6,16.733926252078927,38.33952576844108,32.666337722874225
7,17.184500650053693,64.61616014465693,41.52835622640202
8,18.772200359756937,58.4244184851459,66.04560892451887
9,21.227307151845682,35.78003964595507,45.25930264122369
10,17.26488684654367,45.53252719589694,63.011850551058096
11,22.705225665883447,33.46498462774896,63.03534915992604
12,15.569816812675011,40.659777444626584,45.55033867877427
13,23.547588747850885,59.84650883657997,42.15620777564885
14,19.298528307145734,53.83323610304517,74.43600787010877
15,22.532913941610037,45.28725004601454,54.24084024410387
16,25.415026985024276,36.77716852996355,65.11676991397374
17,19.381753597136964,41.72948794724448,53.66704170957654
18,24.594307128148678,46.952682992137554,55.03934718834072
19,15.212729273460798,82.44864656182531,54.822355301228626
20,20.456583742064304,37.7257120291572,39.33484441936616
21,15.166041952870689,49.05190062285497,59.68884727460412
22,17.649601473337153,41.12132884034699,32.63738221556731
23,21.097496364203888,43.57328600244722,21.06316635067954
24,23.367538571352384,57.61059717260569,57.096130702073836
25,13.50687584202592,64.8503563960316,44.279335161012405
26,21.112725407042245,39.891496773610086,28.792348354746967
27,17.08275773339801,71.55216907929902,28.552459315639084
28,23.82816784502503,50.08553543958886,57.42359211143024
29,14.59062054531138,51.47607640651505,63.92878636636567
30,18.542242726152605,56.88254577927041,27.870182805761385
31,23.0842806016249,36.33427651694488,27.76695121068974
32,18.126547392687343,60.48837635315784,53.05792605687672
33,17.58508205929234,35.28712510182711,39.86129616302144
34,24.15468299004523,53.39295106353013,28.280587273389532
35,16.2484491339915,52.35207818922345,57.85014550015974
36,19.062141936391008,58.256380844564234,34.175275616609554
37,19.909646896463272,43.092935663385525,49.58395256656676
38,19.75968646214123,40.69190735521119,53.46563694727976
39,19.4476149393251,52.89486489534807,81.25081842266732
40,15.689501872872398,29.497964273377793,36.77639841351785
41,19.080656106657585,51.457735124591096,40.67761174497482
42,19.622093386897017,55.55085053405475,53.471942226813006
43,16.022574240682825,42.75825673917895,61.51372801019343
44,24.20568334578396,39.33624524665521,77.24179193794234
45,22.914135796966377,61.66743353067046,57.68276344909919
46,20.7885685664421,58.44663763063821,50.952390718271346
47,18.4124560565145,61.8956867910428,60.01178043970462
48,21.906510537446238,49.263365825113816,41.520800243580084
49,21.923469253345385,71.24088463486072,58.738561480037845
50,24.73478160042842,35.13602583505753,54.664926466713474
51,22.99081339290594,56.899731234285284,43.91775678289061
52,22.265860433616048,54.365334912756936,65.81629740865527
53,13.88467606036849,35.911228444925186,42.885923786569194
54,17.873476838422285,65.65474298930289,61.514292534020804
55,17.671525610984283,65.68731599818592,47.62260077678888
56,21.32232453440422,54.30150751031932,28.60103630897883
57,22.597660866954165,65.52336848584969,59.89368780718292
58,23.39343494789571,33.768469317923916,36.8070202714393
59,13.54825273595107,60.86760993392408,79.50640383817517
60,21.658029147846815,30.467284130960024,57.296777871955925
61,25.823410845281124,56.576618894971745,53.741149574993905
62,18.498014661656264,58.416803744440834,41.618551485940515
63,22.16665895078482,37.98275533347738,75.13676970742883
64,22.928788138304444,53.47090200184688,49.085783644697166
65,16.793773902833667,69.35335224209201,53.25436728866002
66,17.54822484202526,34.9768415536656,49.17315370646851
67,18.774814952623544,87.43000310947855,45.923121012133095
68,19.811018307525224,53.2377837683567,63.99599383646128
69,16.286110736481245,54.21353673479002,34.896273633768054
70,19.478601870539997,36.21138912751158,40.323006539074015
71,15.451021079190483,63.11615066820538,65.75003762283448
72,17.729644623526852,48.567545949421735,22.970087753357653
73,21.19915530783653,42.50908333493791,62.58897467481677
74,18.749619867936755,40.31314223897434,33.349872860431944
75,10.791414852098413,55.88151104019488,34.71504290933342
76,21.027385326647618,60.09289726071647,63.79361979344425
77,18.098147465778062,31.31159815298194,51.29930390594788
78,27.040898780756013,38.773351141692565,52.278370445058975
79,19.91908366257856,49.27629928158001,42.796961913453885
80,21.971392610677103,48.55070697301731,64.16203918794986
81,18.72183570467056,49.70976109085371,81.606623687136
82,16.017046556996373,51.616208622679586,45.64202447338443
83,17.22067160282598,54.03513133943333,44.99921043374374
84,20.787131029169178,62.35091755977122,48.21988519582983
85,19.698994314485407,60.84707619541473,57.47586382745276
86,16.260520594276556,43.01438559443874,38.591000418079446
87,16.915008818016357,52.809835074206894,53.9973956182814
88,17.59714137190423,78.18525032115973,62.015972861168045
