unit_id,CropYield,NitrogenPPM,PotassiumPPM,do_iron_fertigation
0,20.207067597490916,35.30604255489243,49.985835978751744,50.0
1,19.75630238159405,65.24264396472148,47.50113117119018,50.0
2,23.816516377707316,48.51387098989598,31.004141066769805,50.0
3,25.33372974647709,50.587920303093355,46.48206192043654,50.0
4,17.90914804242179,57.436697433690696,78.2343512029711,50.0
5,19.36773316007085,37.585222041878076,42.303153338007704,50.0
6,23.24536178987583,49.17986403561825,42.748940057446546,50.0
7,21.382266414966768,31.5019108411148,41.85811161922236,50.0
8,18.97912966275852,71.2166467697631,46.21480422634054,50.0
9,23.645923805578832,55.157003066445476,49.903869598813905,50.0
10,14.234981200606304,61.492980534531895,52.433176022409235,50.0
11,19.48404730637271,46.65919232300864,60.94400496736998,50.0
12,20.198724887758384,64.7345685045002,42.18944113145989,50.0
13,17.32189260574421,54.41455917561631,45.59809870436614,50.0
14,23.023831391389745,45.27315628220089,55.814007189313415,50.0
15,22.03759786348788,39.42748548624871,65.81420401617783,50.0
16,19.832149866111102,26.17736161494682,53.22908481150979,50.0
17,20.463507804240987,39.66781731967739,39.557801003112885,50.0
18,19.63360269361778,51.73505158020861,75.83585815394852,50.0
19,15.781628942256958,46.58950221169712,58.95534188936717,50.0
20,18.493713358554793,61.25454396715617,62.11466088559716,50.0
21,19.262900822628815,50.0445296610893,55.691241395383216,50.0
22,17.643249268000698,53.31483972844144,34.75771568162075,50.0
23,20.49089338140561,46.04607749915587,56.446931020742106,50.0
24,14.7476819581029,54.232860352461614,53.130919813298604,50.0
25,16.266565913869183,51.271865177914805,55.951609561302796,50.0
26,18.927935752461682,46.70506550376075,64.30059543679484,50.0
27,18.331100568071562,73.46995154726879,59.516937746433676,50.0
28,20.204227681239537,27.63773007080053,29.456678236676698,50.0
29,24.974340714998096,53.537162265544225,48.71029728165311,50.0
30,21.328392712816992,50.443526030290855,46.35343804579987,50.0
31,16.67796078704543,52.845790047070565,28.766230614493214,50.0
32,21.162917739636605,36.78841999194168,56.74035173239009,50.0
33,20.41150799963793,44.099514794644705,56.08827862756513,50.0
34,22.43234131240783,40.377133151819976,51.56692327805151,50.0
35,19.25146041092028,44.88571686094866,66.29577312137165,50.0
