unit_id,DissolvedO2Nutrient,EC_Salinity
0,46.34212603484077,44.4928472644333
1,37.871588773036926,65.40955710005927
2,55.129766607098496,56.13255636684648
3,32.440979073967384,35.27456185966835
4,47.26856986874314,50.76384784709933
5,81.48124253941933,47.03508925076623
6,53.19881835346563,48.55323855212392
7,33.14535019359255,37.03595959239358
8,45.943952116274424,50.94617054159256
9,73.58905781541955,70.82696358692323
10,34.698916842465145,50.505862519960864
11,69.06497364156034,47.39812258946104
12,50.78263471043281,45.93059038295358
13,50.142447649090975,53.67304383397552
14,30.50173597305882,39.14035406078377
15,74.71798720465905,45.90029056990109
16,40.914145060214324,57.87221773302229
17,70.51052767193359,38.98167421475182
18,25.4717794067587,81.38786818289279
19,31.154031347215778,21.390406945858736
20,66.43577037818682,52.91115082247186
21,54.406911003671844,39.24298582092433
22,39.22346146274995,57.42164554481944
23,49.59955870408048,61.81633717796504
24,66.39602942621724,60.977560909251885
25,35.573690658780045,53.749282779256674
26,37.617262145658465,48.77829899550676
27,55.296961514600085,74.98887817982475
28,42.41664887073189,51.884924219691165
29,31.60069722096414,57.07112841457212
30,46.97410388063177,47.241221495377815
31,75.78266744282811,39.33117634942735
32,24.174604603198283,59.88333935105852
33,31.326237526618677,50.908679226270415
34,42.47773172601059,59.53790027112818
35,47.13616482108194,32.96018860879779
36,55.70697302478064,54.0061837076122
37,40.94577642237782,25.65153402178069
38,52.27744220539687,65.1850051221811
39,82.46124317975492,44.33134134880082
40,34.10600925839367,64.03622408772422
41,63.549199623015454,36.19558841358063
42,50.920453797952966,56.081591567231264
43,61.15184540925999,41.8861309618002
44,48.138167989891905,43.96569197169906
45,67.96902360123588,62.35459139404333
46,51.11144605767224,59.05557953709369
47,55.15845405977556,56.97479311952018
48,69.28826046583293,42.66312089499088
49,38.03753449950763,81.03781094568208
50,41.333735000774915,56.600479946155126
51,67.36209694004654,46.60909413666175
52,54.00531579338236,31.150955540572106
53,49.29922324640758,30.14775417849494
54,51.95948746866975,52.575531055351036
55,62.95008313937185,56.913725733893486
56,46.48578033970117,62.20425613355224
57,60.675947787810465,35.651490047475114
58,21.619980808663968,42.77556212380328
59,53.7743881577765,49.96982405801001
60,68.13217990977518,50.50251544026226
61,25.52744166084457,57.12212831374682
62,53.518764080110024,36.23033471190251
63,39.257394805015956,49.045352603259886
64,64.75756089633299,35.30503815512166
65,38.31616902214518,20.348033789793302
66,31.466598041440754,41.387895838572355
67,44.84714855213144,55.46010289066251
68,58.901391701251406,36.52893176605767
69,44.37863230730837,57.4719306456939
70,52.5258677553714,54.4043007312791
