unit_id,CropYield,do_IrrigationRate,do_SoilAcidifier
0,30.66786190566816,25.0,65.0
1,23.631236992051676,25.0,65.0
2,27.2960632394633,25.0,65.0
3,32.10282087526525,25.0,65.0
4,26.003769540411064,25.0,65.0
5,30.887225673492697,25.0,65.0
6,30.75348531718175,25.0,65.0
7,25.161827422632715,25.0,65.0
8,28.444217290990853,25.0,65.0
9,34.03893064564507,25.0,65.0
10,31.023202163021917,25.0,65.0
11,30.456135107818703,25.0,65.0
12,35.65631890156787,25.0,65.0
13,22.49367931541779,25.0,65.0
14,31.236743904801216,25.0,65.0
15,23.565388489359755,25.0,65.0
16,34.824491606716,25.0,65.0
17,26.551093886753897,25.0,65.0
18,25.37103688406855,25.0,65.0
19,23.702359082987513,25.0,65.0
20,40.81430977484189,25.0,65.0
21,35.43308485240229,25.0,65.0
22,24.645725006039367,25.0,65.0
23,30.07043528288972,25.0,65.0
24,50.18366526202006,25.0,65.0
25,27.10344497628038,25.0,65.0
26,24.774673028739617,25.0,65.0
27,27.502292404437288,25.0,65.0
28,26.09443905335891,25.0,65.0
29,29.860973064693965,25.0,65.0
30,42.51444787005683,25.0,65.0
31,36.82405368380457,25.0,65.0
32,34.48371990095501,25.0,65.0
33,37.827594767766094,25.0,65.0
34,23.183271191375336,25.0,65.0
35,24.14459739678955,25.0,65.0
36,33.56072084419242,25.0,65.0
37,30.052860589256632,25.0,65.0
38,20.46679699321346,25.0,65.0
39,38.94125960155873,25.0,65.0
40,24.465763902487936,25.0,65.0
41,34.81647150761371,25.0,65.0
42,20.747021557512205,25.0,65.0
43,38.62373564218689,25.0,65.0
44,28.68567881648491,25.0,65.0
45,25.5673048639956,25.0,65.0
46,40.097257287075585,25.0,65.0
47,26.786931509669408,25.0,65.0
48,38.05105218246247,25.0,65.0
49,35.48038431120763,25.0,65.0
50,27.23663984067481,25.0,65.0
51,34.460543510746476,25.0,65.0
52,34.46733550219273,25.0,65.0
53,32.55697633168681,25.0,65.0
54,35.99588716671813,25.0,65.0
55,29.071259630197325,25.0,65.0
56,32.19096128942684,25.0,65.0
57,30.53213805691817,25.0,65.0
58,27.896765145348397,25.0,65.0
59,37.07449100611673,25.0,65.0
60,30.74520307968769,25.0,65.0
61,34.93372817639078,25.0,65.0
62,29.113304421799924,25.0,65.0
63,29.08771260407056,25.0,65.0
64,22.60667954882534,25.0,65.0
65,34.30110810690461,25.0,65.0
66,20.32604489378882,25.0,65.0
67,27.016173453427733,25.0,65.0
68,22.651050512503947,25.0,65.0
69,39.46139747829878,25.0,65.0
70,23.927959925219078,25.0,65.0
71,34.37825370371402,25.0,65.0
72,41.38183190375254,25.0,65.0
73,32.34828064294952,25.0,65.0
74,29.995710774235285,25.0,65.0
75,34.64109658950721,25.0,65.0
76,35.27291216464041,25.0,65.0
77,35.593333608724,25.0,65.0
78,36.958431420193726,25.0,65.0
79,32.880857650329204,25.0,65.0
80,19.09343121136524,25.0,65.0
81,31.805596431975015,25.0,65.0
82,35.70566076690942,25.0,65.0
83,30.767213483709565,25.0,65.0
84,19.36729321316775,25.0,65.0
85,46.27961560680096,25.0,65.0
86,30.60396498681397,25.0,65.0
87,29.922483297146886,25.0,65.0
88,30.658291775869216,25.0,65.0
89,38.16919532822952,25.0,65.0
90,22.516927393957886,25.0,65.0
91,34.42739385491781,25.0,65.0
92,24.792480411708077,25.0,65.0
93,22.16534279959133,25.0,65.0
94,33.29670011777398,25.0,65.0
95,33.629642125869225,25.0,65.0
96,26.420117964469046,25.0,65.0
97,35.02039785910876,25.0,65.0
98,36.641367962490754,25.0,65.0
99,34.0347120472388,25.0,65.0
100,27.3217622462091,25.0,65.0
101,28.957522127331497,25.0,65.0
102,35.57040323720341,25.0,65.0
103,32.48085324858244,25.0,65.0
104,30.935961305348137,25.0,65.0
105,31.239896913449574,25.0,65.0
106,26.100513336047158,25.0,65.0
107,32.22232426215257,25.0,65.0
108,25.305750732513637,25.0,65.0
