unit_id,ProductTiter,ViableCellDensity,BrothTurbidity,do_StabilizerAdditive
0,30.099207522177217,71.91556919108082,8.943131229204251,100.0
1,28.39430401508883,63.005291711565874,9.333539805501111,100.0
2,35.49924608202895,62.464121375052386,10.139005240928228,100.0
3,24.358659627812976,66.8438011459594,9.951354981659104,100.0
4,27.039577314942274,64.74387396509914,8.842742506155016,100.0
5,29.04429754504037,66.57564504351556,9.721310197273588,100.0
6,33.71972902829024,65.6377425030433,9.192037763576579,100.0
7,32.467819812408685,78.99287127234658,8.781383156332174,100.0
8,35.38343202083011,70.66856112768528,8.993581759973026,100.0
9,28.03524597659697,75.44268082718202,10.07006201753983,100.0
10,28.385602029375363,74.03705652763459,9.759246325814662,100.0
11,32.75045364488899,98.28822844771558,9.754955466214806,100.0
12,28.130953423484673,73.02799666960064,9.34494765138459,100.0
13,26.192768418029406,79.61755937698483,9.689524311082629,100.0
14,29.89425791175702,78.07998984587621,8.955854010739818,100.0
15,25.007920969600455,79.85369920031904,9.575550587370882,100.0
16,34.41297063577689,108.69347042993634,9.083286701720303,100.0
17,29.847259748080592,81.68851929759802,9.948631785608248,100.0
18,32.548587552865726,86.21954291745851,9.290177332542793,100.0
19,28.365726008636546,85.98222718762207,9.841599758697168,100.0
20,32.64866972821433,80.18403147015853,9.441759617052595,100.0
21,26.033883332919743,86.35805944448634,9.421453080888597,100.0
22,32.392945480373385,73.4716992342687,9.692138497339197,100.0
23,29.631438422384665,73.18032809202563,9.4907329030676,100.0
24,31.270229988387328,72.3288583551107,9.924674710038143,100.0
25,31.60078163755849,78.79969308152675,10.274895311218803,100.0
26,27.235919893059368,67.49868078981842,9.333183964558923,100.0
27,32.90054426410007,86.00321257144047,9.78096035614894,100.0
28,31.926528452751736,78.84140012617453,10.308107059393516,100.0
29,32.34835296755415,95.85352895572684,9.844654028332451,100.0
30,29.727109395694,59.73056724121071,9.017177760649314,100.0
31,34.79125129878869,105.01329662699325,8.872035538952359,100.0
32,27.409210287048136,59.988710120117226,10.477251127864713,100.0
33,33.078635500339026,72.77036955933043,9.486690932327303,100.0
34,36.27493569297612,86.30864609288061,9.389948199191277,100.0
35,27.51799052889196,55.94077396380664,9.505878946962275,100.0
36,36.97995404419071,86.02651718973901,9.268543205557174,100.0
37,30.60364730230284,79.13075915663352,9.410025626219195,100.0
