unit_id,ProductTiter,BrothTurbidity,ViableCellDensity,do_StabilizerAdditive
0,30.341169593546695,8.24763556053167,73.86147960710898,100.0
1,27.519363682728116,9.506750675657837,68.26088687798405,100.0
2,30.679908862890727,9.314397181605912,66.95331143958691,100.0
3,32.38202005983716,9.221451887383466,68.27013534501513,100.0
4,27.684505842004768,9.187479247136523,70.19010464375208,100.0
5,34.36126870161692,10.217600435065622,68.68506693079603,100.0
6,28.66351268508573,9.28224046918204,76.12377490902236,100.0
7,27.510959759662203,10.012843226838601,70.23047131807425,100.0
8,32.194433114956134,9.560616795881211,66.32192684396885,100.0
9,29.625473866191456,9.608784738022456,79.65261526528468,100.0
10,30.47330532622864,9.890618032339843,80.37123377146138,100.0
11,34.45018318280865,9.228685519500061,67.36593599515435,100.0
12,30.382239495648605,10.109953628751448,92.7314466639849,100.0
13,30.8393140018102,9.862965651412923,63.73397302360159,100.0
14,28.591774709314343,9.36853923323544,80.1407687606823,100.0
15,27.86474786150485,8.962630362021565,61.718825346874,100.0
16,32.273868299411355,9.263330352032686,80.1057547618002,100.0
17,28.643025256174173,9.094434343101492,63.52650799440406,100.0
18,27.854248335858063,10.068290397519938,63.41609280670464,100.0
19,25.164116576977104,9.094875901713861,63.7597431926835,100.0
20,34.305959913019564,9.18109078124169,96.28516623810795,100.0
21,32.93520632983968,9.989027461330098,84.04386706978961,100.0
22,28.151753092626276,9.093149425714547,66.78820012454113,100.0
23,31.90085961784817,10.45348494417506,71.03022182307706,100.0
24,37.854319448685274,10.255167881748136,101.53545878853186,100.0
25,27.867023319478296,10.1497853910789,67.66673414408658,100.0
26,26.007504406399324,9.14043744449242,73.29849089718482,100.0
27,28.171807272355895,10.70649351472408,74.900220861524,100.0
28,27.98024678586763,9.580106675808047,64.98195113365948,100.0
29,31.78545068583882,9.663672784582664,72.1681521022048,100.0
30,33.0312197502455,9.169807836610739,98.41305191694212,100.0
31,32.36710653661676,8.998788594869241,85.57879425700034,100.0
32,29.810359410568296,10.24565207678228,81.33640802274212,100.0
33,29.25710175946663,10.087562464295226,99.66734281788051,100.0
34,25.3213490441556,9.20150381464654,67.85569946196718,100.0
35,26.251155624756628,9.960430704085745,75.46194842396962,100.0
36,28.748488814559526,9.16965634449591,93.65953381796905,100.0
37,29.767177395173306,9.532290757968095,76.13043869667742,100.0
38,26.5591738605171,9.413815283226223,56.25204367316415,100.0
39,32.65792525213625,9.911051965437428,92.23586492258214,100.0
40,25.42946151931321,9.804047731838821,66.71367330285138,100.0
41,28.52698289111285,9.327917083973382,88.37369855452108,100.0
42,25.09900448425143,9.084448687287374,66.0029010938593,100.0
43,35.5408640287592,9.014706037201565,80.28258404144609,100.0
44,32.762008712534005,9.922658181460916,62.887206964793094,100.0
45,30.3607061616641,9.640315267826185,64.53330641384305,100.0
46,32.91503859824234,9.354828736199483,86.17998649950917,100.0
47,31.128882473612773,11.151671174696574,70.80452404493131,100.0
48,31.495655798576905,9.26457683407448,88.65697143609584,100.0
49,30.13820063589119,10.343068394307222,93.90698651485945,100.0
50,29.81481794911824,9.973861574294025,71.14730780931598,100.0
