unit_id,WaterClarityScore,MetalColorimetry,ResidualChlorine,LineFlushRate
0,-16.006638238116825,62.071337239078886,88.11596620273696,35.923869416814654
1,-7.036710430152055,70.49794172979173,78.77779239863905,39.774967137411984
2,19.604949796695134,13.661892787494143,86.9224881635239,13.230922307156247
3,5.364576318756441,32.366977138130196,70.02518708746179,9.15284333065477
4,10.892756524368385,63.395407352929666,78.51671051043365,44.80816298803032
5,-4.640868295892873,47.84045149161421,84.213069478883,41.98302973331458
6,-16.281798660097277,50.51285620881121,79.76357914381045,53.83608046212017
7,-11.539087416552562,70.09932483101277,77.24529219386811,51.126109557772196
8,-3.2601818680516907,44.249628826908506,90.95422065324884,47.186334706815046
9,-9.75896816383037,66.67021161142368,70.8822534874648,30.94423687580816
10,-15.19817162863946,24.381899114041595,64.88306480823576,41.20444951358926
11,-24.151631213607764,56.42147803088822,72.38010965211242,64.08767251475155
12,-14.881671175386582,50.52731347182224,64.07502596032633,36.136110171877846
13,-8.7629137462214,28.226306849041237,75.5648489421798,51.73949211230691
14,-16.807790538432954,34.20868376763005,89.21708615062418,53.51632116065945
15,-19.270704152995375,53.36518679469303,80.95411271529466,55.28833747860763
16,-19.901241599562898,71.31774147876939,69.87875990494625,46.91946438986946
17,-4.9184750305207405,34.590858078855575,82.90002739204458,41.69726598152678
18,-11.493451206947437,61.18104352928593,51.62239166063582,21.354676633624972
19,10.436663164456387,41.17616518679597,88.91337328512618,27.253504788156427
20,-5.186510169150939,38.53536570742731,80.3135542984737,32.75563608795168
21,-9.579165444847831,61.758475372701525,80.2405585275907,42.558789813428895
22,-32.014131999486764,34.47701587649202,52.60386315025217,43.932195444395845
23,-21.221306786905505,65.28192605401243,73.28354255622257,53.32477781430487
24,14.859216345875929,29.11192101798156,92.13153517344995,28.43297224791817
25,-0.40351873085340895,33.272900549172086,85.30837662286847,29.381021009609384
26,-31.476907770515115,50.77228296197357,58.06213692261744,52.043574351048015
27,-7.20266583414379,45.88143420102981,67.18791527081922,41.51688886758749
28,-8.704505615124065,28.972703925966314,89.69193188926651,42.07140842523745
29,13.251003703314455,19.420071532116328,75.47113305638977,38.22254083247083
30,-15.776283746116494,68.38773630085225,75.37763478288066,49.712781811456665
