unit_id,WaterClarityScore,MetalColorimetry,ResidualChlorine,LineFlushRate,do_LineFlushRate
0,-6.934376988068535,36.70624132677495,83.10821188866706,45.75329138584671,50.0
1,-31.11151257033633,44.846147369809934,55.937342404066825,47.710904769143475,50.0
2,-2.78621499404332,23.996183685737044,71.93684682156636,46.76531313227535,50.0
3,-16.48415449692654,23.258492583817368,67.4428731626094,43.6734970235975,50.0
4,-24.88383531678015,67.98072586621049,61.206018045342454,49.64553837997503,50.0
5,-20.373840718356924,68.35403641510923,75.23693236225475,51.72793040554836,50.0
6,-20.58294474297545,74.80276768184537,78.243376784459,49.84187342790664,50.0
7,-15.610324746671226,50.07500140114067,85.4155187040978,51.3165602142402,50.0
8,-7.918953191729307,64.77005162863179,92.68577019606803,58.976538749903845,50.0
9,-32.32971524790128,42.873162388620514,54.229344136546416,49.72648430715477,50.0
10,-27.43664606299408,59.87612124042632,69.47123399900542,55.93309484547065,50.0
11,-18.255003560304466,47.7505703751789,73.88955828321177,48.95241307097169,50.0
12,-4.328717239113308,51.428152658896806,79.78314362960771,49.052696162639116,50.0
13,-8.666284638817597,36.56425565800039,93.96667806635126,49.792081787360864,50.0
14,-7.179704280640461,61.89285700789499,87.13616180748372,54.73681588073292,50.0
15,9.189543375781648,-2.6857981299854963,58.78495547018962,47.56894202039647,50.0
16,-20.638570709705583,34.08083814185325,66.18558606465143,46.86404501297197,50.0
17,-22.87715755859284,53.0760705538212,68.29147499572662,48.861008482435565,50.0
18,-9.121658212036493,54.42379947603424,72.128543392833,49.180053394175,50.0
19,-13.095927652843237,29.932577585638995,63.59960149195557,54.291011244710575,50.0
20,22.397083678949805,39.460963382119466,85.79328115009938,52.09029246446198,50.0
21,-35.135340094712916,35.17247187859221,54.139495283045946,44.50064113272482,50.0
22,11.703022324967018,33.10428040637167,77.21128016817377,50.053158815029356,50.0
23,-13.005075553127488,85.65988413258714,92.06568498775096,52.46618343724991,50.0
24,13.534763362327123,5.397948148735946,82.47032576840826,51.35015153298344,50.0
25,-10.45867805377021,10.431513221430396,62.807113558226135,53.770683819655275,50.0
26,-10.362717520613508,28.481378489881884,83.54941485900297,50.05280276597185,50.0
27,-25.826143999652956,61.28018198201575,62.90820517677053,48.46325018422298,50.0
28,-15.478207298732306,63.00879550546882,74.6336652575088,53.00793347054155,50.0
29,-19.130559355393,45.55575356559478,71.99663279953552,48.616960508339716,50.0
30,-14.907115632124041,68.25511540936472,81.84357879724472,56.85908205717403,50.0
31,-24.359286157626943,43.302287869476565,67.7435747176729,50.61175763539764,50.0
32,-18.034117096928767,31.286146596885985,74.46182152572587,50.05993292020808,50.0
33,-14.969836722368335,46.8787515422875,65.35286870717857,54.98017461640523,50.0
34,-18.689520545842093,53.1505289200847,64.4327958240277,53.87387835104123,50.0
35,-6.849066976043478,42.788255590940096,73.13457039784755,49.908675784397595,50.0
36,-8.160318442398518,29.174213017148567,68.34171995848254,52.32448939884529,50.0
37,4.461941570189775,20.25034401245498,81.66871693259179,50.24297109916779,50.0
38,-21.834183993886466,67.49015812383534,65.18548769377233,51.260646278656885,50.0
39,-7.988369690059344,41.881811423378345,74.47769862831834,52.75561191637068,50.0
40,-25.567962497470557,43.15059440292139,60.00759712370881,49.48205870700657,50.0
41,-8.855379069370386,46.91384345382163,83.48817434413331,48.38640468151618,50.0
42,-21.594768735206628,33.57915246324454,78.33028549092228,50.34999151895244,50.0
43,-7.325544974777736,43.64402689079076,71.70823004073614,51.42960294358081,50.0
44,-7.446222561910513,53.12476990845037,67.2447941921361,44.65495062301507,50.0
45,-15.473709533484383,41.59345179043955,67.21152119240705,48.68480592728369,50.0
46,0.17907006940283243,54.9761105636697,89.67777588263327,48.084408433530825,50.0
47,-8.695148816898074,24.785055313706224,87.73786194931792,45.613176961852346,50.0
48,-20.796994636247046,41.91963382662436,70.53939298511106,50.39693963651531,50.0
49,-21.26770836965691,36.54679287539057,82.95552875621708,43.943508617084916,50.0
50,-14.752013859479126,69.55153296153588,80.98294872657627,49.67819281503732,50.0
51,-17.981520501732987,61.30824558737195,88.50063888974509,46.88488067053787,50.0
52,-16.4838279490725,55.81756779440923,80.68572502638379,53.57446738767893,50.0
53,-23.91439540448339,5.99720545748,69.5177270975841,48.67197327461669,50.0
54,-18.31223898385264,34.44480356454952,72.30160590803284,42.95473050732078,50.0
55,-12.54746961101868,49.86396188312521,79.21409079877238,55.188421013432205,50.0
56,-10.491655208358981,39.67853022532304,84.02510052978663,47.37417765244357,50.0
57,-20.88246450047818,65.29902731670683,66.49982589426433,53.966101678959475,50.0
58,-14.595472957004073,77.19315951284148,84.02451309434004,52.06423023753285,50.0
59,-7.615142823727506,59.24856722599782,88.2759992714221,46.52346161967474,50.0
60,-20.183636321641,53.249562003617434,56.44201020007563,48.01311517329173,50.0
61,-21.574583830318684,61.27098152302173,56.5095913045313,52.43289459022046,50.0
62,-12.571174119832953,48.670532555252656,76.26649859024529,50.604163724822335,50.0
63,-11.561511706717909,47.8603526723097,86.31678884271602,51.85246506415916,50.0
64,7.502113579724904,17.93052694987097,83.26252219075235,51.12414601149926,50.0
65,-1.3640594008756997,36.7057265462664,79.23837884114279,48.839799106976734,50.0
66,-10.065415103041058,41.7989614609669,95.43142900328755,53.7628317781306,50.0
67,-8.86574910723333,24.423987209645922,96.21803490753146,50.75024480947183,50.0
68,-20.582958515296653,44.8678528968425,59.33797505660484,49.80898177024268,50.0
69,-13.588693104156718,19.658833111210484,83.83503186227813,51.54656995049291,50.0
70,-15.36514013560071,61.45393406725534,72.15340970197009,45.348201377109326,50.0
71,-13.91995218424749,70.97899790390366,67.36519881306964,48.40870012393883,50.0
72,-23.286990992379486,58.28074560731077,71.3718886430694,52.56256065698725,50.0
73,-26.732308985452946,73.39902745465324,67.8749230869143,51.227086360618635,50.0
74,-13.088287234702822,46.38632653237421,79.42911212258464,47.51773028361944,50.0
75,-18.494958417715505,42.98839947077857,72.2629856665221,53.703267503637306,50.0
