unit_id,OrganicAcidTiter
0,47.230580460434076
1,35.89077757995551
2,59.45652311084888
3,72.98319745462247
4,32.421628480742186
5,38.39743874933957
6,52.99726589871513
7,42.471880386276
8,37.53832389754956
9,47.69131081632276
10,13.293892002928661
11,41.34963104621316
12,48.364057269331184
13,24.696798704156407
14,58.8445993957489
15,51.64399064210812
16,42.87405918330338
17,40.67399238826807
18,43.365211472752144
19,16.845505830653092
20,34.80020950180131
21,43.8968702802386
22,16.523981467182963
23,48.733906361257134
24,16.016691611146545
25,13.518736378021899
26,33.01788444201723
27,31.3617691024624
28,36.61558245681971
29,58.88815622863703
30,46.30095532559105
31,28.806485854649893
32,41.36568483624244
33,46.17832971944664
34,57.63485846701056
35,38.50589134574656
36,25.989052703583113
37,20.264526535526716
38,53.63126108799268
39,49.52818214455777
40,30.65074401120615
41,33.020483134930885
42,72.78968674297559
43,73.55347682602094
44,55.76570930221877
45,-4.9704732504734395
46,72.48500029455221
47,39.555370119542296
48,35.24955303115208
49,30.00226457199767
50,30.582157618725134
51,53.574501802571035
52,36.82325871104784
53,-12.998910379072086
54,27.307792331026505
55,39.82740736914772
56,18.600005001051677
57,66.3230504718644
58,34.276805381752936
59,26.481584987636115
60,32.78139088376744
61,38.34805802983899
62,47.919521419721455
63,57.25182814170121
64,63.09926788712809
65,39.63655605914368
66,27.443772561270695
67,28.388999757025672
68,22.867471647067354
69,52.250360430064205
70,50.096762755917275
71,27.731309275320356
72,32.46658285083407
73,6.451999161236827
74,32.722017041832885
75,68.48006051293063
76,31.94814943746331
77,37.355569605096775
78,45.40081655112344
79,24.736807645438024
80,51.11853870547548
81,85.76495220302263
82,80.86599570359542
83,50.11100598848061
84,41.38600368238696
85,34.33400699136958
86,33.54651228157856
87,-1.2129874385686534
88,17.939166623515423
89,41.42315837962163
90,48.729444368063135
91,38.53688885769269
92,52.30895349175827
93,60.79117381427085
94,66.0876614858425
95,15.432412080675974
96,34.30402346780373
97,63.512421724349224
98,58.60284712807292
99,29.964181894158134
100,38.9187119172952
101,54.204205461466486
102,37.4682230920116
103,26.073292465008002
104,28.898463305480103
105,32.69344131315218
106,51.7930055154461
107,49.62213013420744
108,53.246015526875766
109,49.43302994075168
110,70.51992791463985
111,5.6678931338239735
112,40.23777917134473
113,12.837628395786389
114,65.43518477366302
115,25.687107973463693
116,41.864877125498346
117,44.699171981283314
118,61.1696918585729
119,45.52728559222851
120,18.45350151920382
121,69.12311927990284
122,52.088479558351594
123,41.54713386573616
124,36.50437707658979
125,33.39358475449202
126,61.46551830451273
127,57.11558361656796
128,0.8934100439048613
129,70.0918529627042
130,43.14931903904852
131,60.15576763413101
132,32.88929983891185
133,68.28390124760203
134,30.20631755561212
135,66.7048844878136
136,23.134217883724993
137,47.25412250123162
138,53.89045815234287
139,60.74339193020905
140,53.42722145120862
141,51.64484345160689
142,40.54365521121524
143,40.42179196540935
144,74.15714335223011
145,40.41819054322641
146,68.30828695918899
147,38.933810357079736
148,66.10959151956894
149,41.67064367274877
150,27.16156243167223
151,38.819103397022836
152,47.13093161621609
153,34.990283556792406
154,47.65258190065006
155,47.000128806001584
156,37.00940239448654
157,46.93371846205777
158,44.88641159789017
159,56.47622035974609
160,79.99417917860679
161,27.7839777525176
162,44.2677765265128
163,42.31239225736462
164,25.48562783157778
165,36.69667677044346
