unit_id,JobThroughput,DiskIoWait,CoolingAggressiveness,FanSpeed
0,-22.21169545364853,75.99549070136395,60.12187700356202,38.327141251753694
1,11.62048693883037,61.987135757677386,35.32433739238466,64.07221428660897
2,-23.43740739237019,46.581791617658084,40.89409506263194,49.223904002405924
3,-20.45166018941535,32.52749165415055,63.702099284051506,47.64452957952756
4,-0.8886405964982036,56.00811143505438,37.525600893535604,53.943997954819224
5,-20.949738350784603,65.89939843612079,64.88486289617062,40.54339943070647
6,-3.6342561966342006,28.271865218016487,21.164076288169813,44.69759971511237
7,10.604724670655695,42.036053547308825,25.511227272345074,43.491530790203214
8,-23.456404228175032,55.570512688720754,37.8057224843768,77.98100756264918
9,10.517885727322046,68.80751704409582,16.446679861932786,52.96461721559315
10,-14.662113024087066,58.208071425614904,40.12888987569859,55.59083842631786
11,-22.730075095662542,54.5981356935934,60.2520034283039,55.72944945841664
12,-9.107750194269057,61.73696215322085,44.17468578207942,68.14318062117658
13,12.367063730558089,48.18763047686465,37.08294650808568,51.14415475786358
14,-2.929021152707448,39.79570136697105,39.38463251809509,40.36286738697805
15,5.73956672638455,30.962947513291866,36.68049023215553,35.06807737273352
16,-13.922030467746524,57.15182771877951,37.74912038463326,29.877280620543804
17,2.0995569268030154,42.265282057574794,28.311435045770253,39.04773356219219
18,-14.806388475947793,41.26906142146337,42.95877849576183,57.67164326793214
19,-2.7396043891632305,62.27258461666845,29.829053215773733,41.034627971944914
20,-4.882998234794377,66.73071796898897,35.44185653990419,64.98839440959104
21,-21.241661682817423,41.5688285104918,57.057784290531465,51.213402103258076
22,34.22098529989791,40.75571231978948,26.812241869811757,50.61673506225787
23,-9.343184345568954,58.3252006419065,46.02160650275436,53.23830609800944
24,2.1493663189853347,70.50387384592707,34.329830675738286,50.05011036472322
25,5.797122360874907,45.329234377177535,27.529407513135812,54.250133584214055
26,8.893998414683445,45.06835769846753,31.501336333305463,43.71883017452369
27,4.973225504424393,51.221311857167535,58.2137875493315,69.68731800185972
