unit_id,JobThroughput,RackInletTemp,PduLoad,FanSpeed,do_CoolingAggressiveness
0,12.485062311671,59.6225364321725,57.072764502378014,56.78536876140632,5.0
1,40.18364312664329,90.2951838866142,89.5690835895432,34.30880466598923,5.0
2,17.873017683800207,72.55870490550431,67.20420891155527,44.71037489995656,5.0
3,19.51148821211642,72.93766101605448,67.31256543408466,41.33791470177808,5.0
4,16.073267911566404,51.83770783565162,50.75822607847725,63.674180137264216,5.0
5,10.552064669096174,52.47068976847864,56.38953850920595,43.03925530817687,5.0
6,23.067966146614282,78.4295408361045,76.27684560080759,38.84978920001045,5.0
7,40.58995348131374,88.14960405056769,87.11293239079001,39.478097255850884,5.0
8,24.683760326707674,65.850154613788,75.24837102618696,39.527986926415664,5.0
9,14.289296849306885,59.56633871253931,65.81695692294886,52.8123669510263,5.0
10,20.05482317190016,72.53160853726735,70.3188592908564,54.59871062651961,5.0
11,31.117782995749835,80.63528742204879,83.38202698131774,87.28824904177151,5.0
12,25.21958771314476,66.03978894592969,68.540298350799,57.92047302359454,5.0
13,23.781033210118277,76.50714936087567,78.01154745125065,33.76068214029712,5.0
14,27.443919939305935,80.86353622617199,80.17475369958382,54.75976518715596,5.0
15,18.37702074397824,62.326346857279425,63.6733621406166,51.378360190838606,5.0
16,19.950655309075174,63.50363991291475,63.028176052723445,69.5298754426724,5.0
17,28.887705486441103,88.1141295137866,78.49567939239213,61.32860777601915,5.0
18,24.012975092986437,82.97277076009973,76.88928178323663,51.49153238541224,5.0
19,22.655512875782872,69.81496617351344,62.17212594260709,63.93648994034664,5.0
20,29.073607333340068,73.96523638177446,74.13128848282926,62.12470750555872,5.0
21,23.479182549405046,70.76075872051257,67.16705859468516,56.89815194936828,5.0
22,22.426132952826837,76.12261350554992,75.43794667404835,35.66628346700846,5.0
23,29.272387048471657,63.92818227772314,63.73818685154688,57.39898365571049,5.0
24,35.18923163184604,95.98300859570136,101.29980722413106,32.37027335909706,5.0
25,30.1423170573434,76.79864286204868,83.5572263594916,37.256531748057945,5.0
26,26.390244984105312,77.33027571709243,66.10924395780994,59.40123137447502,5.0
27,31.733490371674804,92.77275693351656,83.59632889014364,67.01162441840208,5.0
28,17.196103019759338,63.25886329211195,58.52099761603046,45.326474106914276,5.0
29,33.91983877601856,84.68892629272297,83.89756026346598,54.20867757896968,5.0
30,37.18096608818479,90.22312247169074,88.25362383990837,47.92241627866989,5.0
31,34.35162821784272,85.53881277608953,83.23940431321284,78.90402465008498,5.0
32,31.203950504172365,73.57155379389417,81.04405527022062,76.21533747687232,5.0
33,17.303766625983066,76.22012468706497,73.73012189271941,51.27152163290429,5.0
34,18.268526623443236,72.0542696300321,68.72060625204605,57.377305180290854,5.0
35,31.72567689496593,75.98382588570458,70.86702071896087,66.06367092616532,5.0
36,34.991569356676806,88.76542626021947,91.1691540969329,65.49720930921234,5.0
37,25.154878397745595,81.4733365607714,69.58226175309646,62.75380137223279,5.0
38,27.675492176424484,77.41201153574978,72.99014292511607,63.34880701526744,5.0
39,31.24106416800042,71.09533008702007,77.08227215301767,42.33404471496726,5.0
40,28.338712781287857,83.2016646745983,83.44323307223864,49.54840354674191,5.0
41,33.90893801324189,88.13624817986091,87.69619970355895,58.24147201428829,5.0
42,31.759141319810787,94.42032483391043,91.5611692270148,40.18050616533596,5.0
43,18.360704723200286,59.16602354064707,62.344894512973184,64.30057517000807,5.0
44,29.049051266176786,81.89831577664748,73.81340668037957,50.29087193260586,5.0
45,30.492515766843823,85.30903983651882,81.02311178916224,30.877710586498228,5.0
46,32.94845093456568,84.52640167518898,84.33068388707066,70.18660924604045,5.0
47,22.144223686001254,64.14756305790912,74.21768199375246,35.68143455711502,5.0
48,31.146019374411786,80.23741280685208,90.14771954864219,51.300373547158685,5.0
49,27.122109469110644,74.12840135933348,67.5541457358363,38.96288039372295,5.0
50,31.724461386467,83.48297120401092,88.57993585210299,20.577338929298534,5.0
51,39.420322565968206,90.48952842165338,86.62052458869884,46.502255121858894,5.0
52,22.682799095954735,62.08904696935601,60.992236334836974,48.08185016592334,5.0
53,25.185921300903086,75.21382377782447,72.2622786129016,62.81949730759928,5.0
54,22.508361834763694,68.26823421574959,71.65370580651833,31.88069277117824,5.0
55,22.948591398370354,68.72240822254466,73.65923586186004,36.26633864191478,5.0
56,12.880907138703046,63.37495370244893,57.270882734989094,51.315199127333315,5.0
57,14.860611071383023,56.79997354219085,53.399950355770244,43.898356626253054,5.0
58,18.174724994807683,72.2176991529041,71.53590766235737,50.230858441697826,5.0
59,29.86807543067682,77.56585091050904,86.34574863663644,45.47618395753074,5.0
60,25.598690707091848,67.21247240763087,73.01536802070453,27.801202463228215,5.0
61,33.33840810049484,89.73860381566035,86.34235163373376,50.49580517456143,5.0
62,40.13166688765476,93.60850532044458,95.14016215022544,45.396093505281485,5.0
63,31.870734484195058,82.15030513381713,86.81666524340737,56.47147921396283,5.0
64,25.908464198485373,77.50175345025056,76.28402115262806,33.670560526859624,5.0
65,20.67422573368383,69.82035538893014,70.57290610824094,78.3867106191117,5.0
66,22.909779832400083,80.14640782052378,72.72428621332921,66.58548470206424,5.0
67,31.914580401135957,89.74083012812369,87.06748666609734,62.35520828741318,5.0
68,15.873751421953571,62.450189830306996,68.57435866208863,52.90966897410106,5.0
69,5.0179279405953965,55.08632701330161,53.46014191889652,51.588765896201856,5.0
70,27.04821605000428,72.28614236232083,72.33607818878198,57.60869694578098,5.0
71,17.57336176494572,61.621622162316164,53.95377395063153,61.83176461439912,5.0
72,14.886983293436998,68.17669646181474,61.127176744584865,70.87124603697815,5.0
73,24.538476023266476,84.83685755680096,79.39594141505115,56.240321577257575,5.0
74,27.73099664845148,77.9850021468826,82.50586445463631,38.845410833084614,5.0
75,36.825900886301206,90.4659153825577,78.39630438597482,50.93123434939817,5.0
76,20.058642187704756,67.81532563693175,71.13048788824182,61.63501203279955,5.0
77,24.925986395686003,77.66613881705352,79.85733912377515,38.700345443000636,5.0
78,16.236203002788066,55.75851936972801,57.95299890678548,55.74240384988964,5.0
79,31.668829022521415,75.91307994678967,78.56730624025288,36.096039912942615,5.0
80,16.69794684549,65.78522984522637,59.475108641168276,50.02095963942073,5.0
81,28.116554091568954,78.20736316683427,75.29880211440575,76.26768493671096,5.0
82,25.65015162215106,63.13590566910574,72.47720938374108,56.334084053422856,5.0
