unit_id,ReadmissionRate,CongestionBiomarker,Creatinine,BloodPressure,MedAdherence,LengthOfStay,do_diuretic_titration,do_adherence_program
0,43.53132923827717,12.916609239823515,37.918511922936304,51.28470630089278,77.60498839332217,34.61487103809134,25.0,75.0
1,15.972996428805658,-0.11730789547140308,51.608636527213406,47.31649297714728,80.20085845261777,18.413845834169788,25.0,75.0
2,48.05944700278677,10.701929695419444,30.00251653393232,55.07890566803965,74.72557749052307,32.67414350717603,25.0,75.0
3,29.70863269260565,-28.80603675731163,39.282237455613085,24.522882594169065,70.01142886801041,39.13320940951991,25.0,75.0
4,23.857557471110226,35.65075116051338,25.244906070187152,43.76894213876068,80.73884697682018,26.334110718141172,25.0,75.0
5,61.04334655384045,59.131567508868656,56.513535847705576,77.63431134563523,74.26323324397438,39.80354780551088,25.0,75.0
6,60.82095929666439,68.87067047074103,33.06291730278103,28.608246013044848,74.78137016569568,42.73009693537894,25.0,75.0
7,46.99059105894373,16.77255050185707,57.510153052768324,50.226286487290835,72.83644162017552,49.07761202178476,25.0,75.0
8,54.437702715970225,38.824817590686415,62.986444540623474,70.30616004198416,68.76313610005926,53.639509582563456,25.0,75.0
9,24.5340045983119,2.1639558659724205,65.90513546351845,50.18094775053632,76.070790134816,21.621798181579685,25.0,75.0
10,32.23251057129366,29.638000990095627,50.39354864731017,48.1973215746759,69.30970623603824,38.33066635370854,25.0,75.0
11,26.803109995649425,4.750872032791823,55.49265128470002,43.54736201578877,69.04087937631384,40.81203868195813,25.0,75.0
12,46.45673215070081,39.41532983431226,44.977319422727284,57.62732980852943,76.67261238575666,42.93581918104515,25.0,75.0
13,77.13249922887013,14.918868922763263,54.80314034926269,48.75236846641819,71.01964384166736,60.95425427703692,25.0,75.0
14,49.4829164289621,30.799598647401574,66.46525002785815,70.78587062948999,76.52507519927808,41.27559382762066,25.0,75.0
15,55.171453924995745,7.710856142810179,55.786964436768706,46.64024087108957,77.96300542500056,26.21884406294295,25.0,75.0
16,27.137259681930853,-6.778483874660978,48.55142024891287,46.66969905776982,77.61352733229137,34.18654994691863,25.0,75.0
17,37.21696202111178,19.632701188716013,54.624998859480655,52.14120891770045,70.73386981205407,36.42522640653048,25.0,75.0
18,39.659563086126425,28.397684374960594,51.248691138401334,36.3029769684523,78.97532794338161,39.857335031592775,25.0,75.0
19,37.72145016691363,7.504928685148117,45.064500592458565,47.70715715021619,74.20956884949287,31.834358953718343,25.0,75.0
20,72.04380811150817,48.092939021762746,53.89233586282966,48.769711298597116,79.05127698671748,47.08524328372548,25.0,75.0
21,30.284262492077605,-3.783192633131222,58.27650337875171,50.19577210132802,74.48079953535911,24.639782091318807,25.0,75.0
22,59.02974706355675,53.98644233790883,44.04790018791706,62.59351722058761,75.43448734574712,35.59570575584559,25.0,75.0
23,54.07168853722081,73.75937203689101,42.39626420212559,51.173667209214294,76.48452110224852,49.411833151806476,25.0,75.0
24,59.79973631406676,18.28786391545627,47.16077807777866,61.06476579405842,77.72668610029704,42.47562709204789,25.0,75.0
25,40.51590559012947,-15.187421319096742,47.11118854581321,41.76290963558424,71.71236169037668,30.320017474821658,25.0,75.0
26,41.75711291464702,-22.331159598133603,39.53367770514012,52.28319958775678,75.62880547401058,45.37875010721824,25.0,75.0
27,25.874137157133255,27.035274103588286,43.04450253267636,38.398318470625846,78.48619392280064,35.774062121161904,25.0,75.0
28,29.43008946476,27.38904880672213,52.581265653480926,49.512758422503616,71.73216641484525,39.44159168541443,25.0,75.0
29,40.19286779805228,7.762170840475628,63.65099881062968,67.2425888240911,72.36550100869694,43.26326356898701,25.0,75.0
30,44.25119662687012,41.977922310539725,50.569116719403915,64.43584622068904,72.89987817405655,42.856989272850505,25.0,75.0
31,24.82628458132081,-1.4446494049272562,35.979476997530845,61.177583037871806,79.03039124735137,34.76547998380894,25.0,75.0
32,45.510297139922635,-10.985113665540027,64.75056039157818,47.116335847963555,74.5137477955142,32.414999901566674,25.0,75.0
33,52.2626845380949,15.236468159990759,25.91438602910467,57.79674523250869,75.29722911483563,43.10739505088732,25.0,75.0
34,27.252019740149564,15.587992093145267,62.7218369542251,56.06734942025042,75.50282402128657,24.80500612864075,25.0,75.0
35,44.10018089146965,30.62153262201338,36.100044953239404,56.79749922659799,77.42881516212617,42.01496430366856,25.0,75.0
36,39.36398264158033,-15.18238283343986,48.482653724035195,43.759063369177056,71.95564461111917,35.203643648430486,25.0,75.0
37,54.37598154531746,16.766945352789975,44.091666566130804,22.064007349966268,78.91729920421366,32.39041144984023,25.0,75.0
38,31.568727529738904,37.35797608456768,31.288699349966937,44.37198664364834,81.59098784270576,39.807995760839816,25.0,75.0
39,37.39677706145777,-5.361267658127259,44.30392769725344,45.25857504807472,75.19746343686627,51.89721637052342,25.0,75.0
