unit_id,ProductTiter,DissolvedOxygen,Temperature,ViableCellDensity,pH
0,-2.6831762988263392,84.45696686026722,60.790802385922674,79.4497345392881,49.840092073929675
1,5.360301106309021,87.60303280324769,42.81903061027599,81.01880046116398,49.10940488579857
2,8.933226343413656,84.44536385312335,44.16389560486984,79.06154958630526,71.27169401071909
3,-5.208422610582936,72.84667505074378,62.49812874072975,68.65642734538318,31.010172344862376
4,18.5875944380861,89.09058633503815,40.67955587774905,85.34207160068182,55.28301949272638
5,9.138608695860396,83.28531488365296,61.49227355002161,81.59737534671143,38.088951374118956
6,8.011050600342635,80.51616537500124,34.675182476131816,84.57927861564531,62.76190530501011
7,11.338345089900809,83.23607175477503,67.49064211124406,76.75414660325416,64.9101829328165
8,8.79807222480238,88.6819387448431,49.98084473365698,96.19062550804475,66.16629938737145
9,0.6722649315572783,85.94554247447904,47.42618374311288,75.59566576512367,25.460245100787827
10,0.3983382483918203,68.88124694907293,46.48184395080758,76.26476793698849,63.0995117201408
11,16.263908975242742,74.16975783654783,38.22179677605189,75.26780805558992,49.28806165003174
12,-5.379780708628385,68.82854964092597,53.46431080211295,70.55293923235412,43.031315743757325
13,14.038832926892308,74.18147673512124,33.63010647564208,83.33823056350302,41.924095957300864
14,8.912052140895252,80.12603977649538,59.84618273727557,88.56819852062308,78.45978999273422
15,10.89635374373037,74.77527420435592,58.16981655739778,77.92611062678276,48.451921831900904
16,9.179010950469902,74.48970582147152,28.601010301991803,66.10091050384497,38.77998239138367
17,8.880193725677417,80.89368152986991,47.2350087325143,81.8283303670165,66.13035150961693
18,-6.9950745409202,60.46371797189763,76.43475296250003,52.32821590759437,62.421928689939314
19,7.237490800152023,86.83903527956774,72.54552259183434,82.49787984800804,52.82237819992311
20,4.35635676824236,76.39237500734001,67.80264961224223,73.14524377936048,69.87928852604229
21,5.604818931717599,85.59247345821271,35.56390328081211,79.44151446066768,55.44662553666654
22,-6.8992403610363695,45.98777755978065,62.813330711090394,52.94089914654296,26.147985614855607
23,10.298208880885685,77.88134578509019,59.57704349213516,73.32691310997724,60.62236985308258
24,9.043670439516706,94.86161801998416,63.50831944035991,100.39095308999075,50.64675864607424
25,-3.7967401845908233,86.50523401316595,58.22950102494157,92.05535334535656,39.94530821901958
26,4.022293471184719,55.04604979150841,49.05029030845546,54.778250513763226,52.448074699087584
27,3.7959200383100398,74.75822857640513,50.1852851586972,77.16144341391868,69.70434267444996
28,4.779591567640255,80.58647208734656,52.4470263071135,91.38037179766626,50.535346496934835
29,20.417104979775544,76.40587970927169,37.63350863624616,74.79313323028245,40.44731937037115
30,9.267644395012901,79.2218024026911,52.54753021513351,72.70218859902465,39.168230048690035
31,8.377607372141295,54.626290084309126,36.87692917954024,58.73462237214379,36.021550132522506
32,11.005725792896854,86.89002924576457,50.05616320435869,88.5097830422205,64.78193486866824
33,17.83612129815897,57.31758223924696,47.22042351963779,61.20295824346084,46.56919155241404
34,17.123559067788413,72.94020249502101,57.94267585990788,66.28681415296948,60.66365822997834
35,23.768027863384663,83.69935862797726,39.89949712532246,83.5927797830581,50.69564883202428
36,6.473774455230375,62.759895178675,37.588501269272214,66.2753652362126,56.72253175086643
37,14.024536028431749,67.30097945835601,52.37384864170756,70.7867153874048,49.03711188493023
38,-1.6471507597063826,86.31525578197643,64.39412598738744,87.26644680964031,58.26018009917219
39,5.059461704278612,81.99398688958499,64.28585059104073,82.27232796443596,29.61006745815509
40,-5.664737734241559,82.81459508724754,63.313453081485,81.7770338555701,63.39487967520705
41,-14.846349188413186,65.46666317570204,70.69317311041854,62.43815276935518,64.54717069817534
42,1.6049342996940958,56.69279563155195,46.66132965862891,65.36312494057873,23.91802799222271
43,5.378121318435896,77.39300048783404,70.54826955036636,72.4910923565949,44.17234947220763
44,17.773724422483852,83.43219328399407,70.35713034449716,73.63642018883813,54.23284718386489
45,-0.04327493694466744,80.04770542583648,21.61728023860084,80.83808004187941,65.14527020258414
46,15.712428043321317,77.12033584964584,49.62106230678731,72.65519698130124,73.11143909492277
