unit_id,ProductTiter,LDHRelease,DissolvedOxygen,Temperature,do_FeedWaterFlowRate
0,-5.350967895354557,35.72520314192431,69.38184383931245,42.8351396964121,25.0
1,16.531533099292698,37.84222115878576,72.1621907791693,42.62626459257204,25.0
2,-16.115074343946823,32.864720931808655,66.74485550188606,34.75287741528067,25.0
3,-3.995882822176309,43.841696430806465,70.87286765984197,43.71306928826771,25.0
4,8.861416150873888,45.530065301792504,73.04285586275523,76.10363397757574,25.0
5,-8.238816181112714,36.005852579307266,89.61505038105216,49.26422382105094,25.0
6,-2.849140258748459,31.390096951688484,75.76718168922508,26.00728890736614,25.0
7,12.28453449706458,-17.415168490235633,63.360111759538505,87.45528254733476,25.0
8,-14.139608415278254,31.443041101277636,67.46176327541811,69.67650672996834,25.0
9,1.897253498896002,41.470146327152634,60.643385881848666,50.02392708892652,25.0
10,-6.651563305935703,42.32321942680743,59.19885121647317,58.68202713439006,25.0
11,-8.71874169303507,23.932618875334246,78.12014994035154,44.774954401321494,25.0
12,6.4945762035916355,31.284184371272847,69.1312846540755,65.93860865555651,25.0
13,17.680143716125734,33.134256153812444,83.29763392066356,28.46860404488749,25.0
14,6.6688432348160775,54.38778386935266,73.67310252252427,47.67044620329294,25.0
15,11.837337041393948,46.52263578370598,89.06399667143823,48.09665288255973,25.0
16,-5.835262241283523,20.28064903281271,70.59249800116353,54.27723854922196,25.0
17,4.4886894443931995,6.76015040074811,70.62210691803892,55.22979462493405,25.0
18,-3.6227494747506004,23.697010999511544,74.35945625080225,41.13732694638754,25.0
19,-2.5452079430301824,67.58694295001632,91.77723304549971,51.44428150350751,25.0
20,1.3432541066534207,34.675651257969314,84.29221328687161,34.39691653495873,25.0
21,-4.523637003848217,32.95557738497348,72.2528013751748,49.14800180816285,25.0
22,29.604227462350533,31.854121195655264,76.07651795039656,68.74480296224915,25.0
23,3.8715756426724077,21.72099008108689,85.20742849777521,28.960319330717684,25.0
24,10.129331846485927,49.00949956945651,82.62254106019452,54.88355239258142,25.0
25,4.055684078847696,7.370164440708324,55.483252749311674,68.391798543245,25.0
26,10.085950273013061,37.691666213740696,98.90984948845579,42.237025958888104,25.0
27,16.147853472407448,39.00940400668629,80.56872509687001,53.931768528185714,25.0
28,1.4885761870419971,14.718857982546286,83.25655075820383,57.59167289009381,25.0
29,-11.869575239115722,51.94035183293778,77.01875228815696,34.04312339735327,25.0
30,-13.246055726094387,42.335852659087365,72.10151083054946,49.95967959046645,25.0
31,0.9731485188546944,11.2079561320818,75.72223353386106,37.321239129905344,25.0
32,12.546420697843846,-13.743559334100205,82.52164679003278,45.69523215418941,25.0
33,0.5499192217769169,40.6295133200966,81.13891415570673,41.75850013034495,25.0
34,-5.615325977270837,32.61517767928567,62.93337569553458,55.99951789716589,25.0
35,-8.232503995726862,36.107213219037384,78.98201378873058,48.959555594499655,25.0
36,7.217448400253959,32.17099869443586,83.83193743637395,33.9775156731785,25.0
37,9.422457106781746,39.56085707833005,88.14590488604287,20.422967889093474,25.0
38,-9.774438602971324,27.015659382449982,49.35550688583252,58.85845023333711,25.0
39,-4.192428700336995,33.563669507668735,90.37077548312776,48.16643434160262,25.0
40,-9.576137723787841,57.18711308518476,78.40933501020643,58.12549398333406,25.0
41,-5.890347193021305,42.01587125845828,59.00123224669967,63.764896970890526,25.0
42,1.8378479605639968,36.36489832831694,81.08092401939811,37.6015007850101,25.0
43,6.031024336257573,25.53626382417215,67.10878741749055,64.10332416594466,25.0
44,-12.231897643926654,44.91322476136554,62.35691897871807,42.13953337683702,25.0
45,-2.4772694801588457,10.21577028943885,70.2336635155624,43.9709074572346,25.0
46,-0.6472479057740017,83.1498304423068,77.80970540504133,47.20535274417357,25.0
47,-3.1931508110906774,22.5868300822519,71.03605929971168,48.33110846800563,25.0
48,-4.863834649510286,28.236741735040695,74.16821744922802,26.22399815921614,25.0
49,-7.335998914471388,29.861114692326737,68.9920593885274,40.05896548994261,25.0
50,7.123651502706397,42.412750677489335,86.26211189232987,12.945181977663502,25.0
51,-21.499914928161864,25.63091273649542,51.94357443698384,50.127210686594836,25.0
52,8.33225136842163,24.61802203683054,73.85587995275492,66.50546875842173,25.0
53,5.413029790285549,54.413735983855176,74.57804969805576,36.68937263873365,25.0
54,-5.190296933288585,10.631652613479638,73.69506507123428,64.25473295261561,25.0
55,11.007145100729186,42.16658259642958,85.02617983210293,54.5514056787521,25.0
56,-6.531506117368753,11.537600072098034,63.906762353443135,45.50745882731958,25.0
57,-4.837423429422303,45.79418508726171,74.33177414505373,57.955622926580766,25.0
58,13.552207253992224,31.764027376017808,88.95433847367737,44.95925453490865,25.0
59,7.195116312857489,47.7364851596371,92.86846708475754,45.38437640843227,25.0
60,-4.1028648718545915,35.58478176837325,79.01002828151955,65.96395645630574,25.0
61,-23.93906920961589,2.4510560278544347,55.108210112779496,53.14393148210274,25.0
62,18.467801138062732,43.7559953001896,76.60832221022144,59.925525601812886,25.0
63,2.067598925734117,45.305535479007524,84.26623292357834,57.81227332693361,25.0
64,-0.7844225637863254,56.904268778664225,77.95242105675986,45.82977091438939,25.0
65,-18.071431809413998,50.681766965609484,57.49562457943458,68.12974543108183,25.0
66,-11.735289347233373,43.707607952385025,62.29322415657119,45.03013158163818,25.0
67,15.623362550584748,16.11712740146835,78.28737304346974,44.66025613385215,25.0
68,-0.773527959800163,14.519339165227816,76.9747952535539,26.965251031042406,25.0
