unit_id,CapacityRetention,CoulombicEfficiency,do_FormationCurrent
0,12.559976512445727,23.51404125701695,25.0
1,15.879971727561692,10.395923813210159,25.0
2,17.16864997251594,35.67827212259732,25.0
3,19.397843669623256,14.752479341256144,25.0
4,18.11253357114602,4.22871682464035,25.0
5,22.94182490337085,21.612708715073595,25.0
6,11.05326642042672,6.231414441562523,25.0
7,19.40439140356215,18.605629503532164,25.0
8,13.162274209728396,11.722208690615199,25.0
9,16.686850745571657,2.106181811233448,25.0
10,16.518274451909345,5.858167756051936,25.0
11,23.426747152923163,9.981436136493226,25.0
12,22.991821110729692,11.52453153020697,25.0
13,23.772187685371208,24.330715097037462,25.0
14,24.490685411561046,10.942592295383099,25.0
15,23.028299514506372,2.4752261852139785,25.0
16,21.005280153939374,6.2724818273904175,25.0
17,19.803549694457107,20.40250699062888,25.0
18,22.427727416790376,5.93225963346202,25.0
19,11.75398454832531,24.046749932887572,25.0
20,15.770934759236443,22.320542809374707,25.0
21,17.742493387442348,22.246164315324787,25.0
22,18.5989961998552,8.26882863490425,25.0
23,20.578015786140632,17.877913309442693,25.0
24,15.786286141307311,14.49432146916148,25.0
25,15.294174751768812,11.173988838769759,25.0
26,21.553839130229974,-4.317236027474356,25.0
27,13.25692397079591,27.149244253949302,25.0
28,19.41597915923286,6.304749511034764,25.0
29,21.15076602954511,9.135643889481575,25.0
30,8.553484474025954,11.451925910613175,25.0
31,21.487983848787014,17.57111376285653,25.0
32,17.7521460175844,16.5115588419401,25.0
33,20.930119844049322,10.092589398940635,25.0
34,17.770025793044887,-2.502375632006361,25.0
35,15.659237106411846,8.740490161024095,25.0
36,15.377327247075463,24.43588170903262,25.0
37,15.19498187751693,7.150821701501442,25.0
38,22.417405265556905,-0.3031236060926634,25.0
39,13.590746331387928,14.103544288038306,25.0
40,20.24962017759121,-2.438715359228228,25.0
41,8.988630210288875,30.167283041442907,25.0
42,18.9482349107672,7.679090266238346,25.0
43,13.702601755174971,34.70004570318743,25.0
44,16.785153596389673,-9.235616709886287,25.0
45,15.306862244402481,17.130253057523525,25.0
46,22.31420760922759,12.599946570645043,25.0
47,25.522598167432747,-1.1217963278790712,25.0
48,15.45189949975498,16.880554957768062,25.0
49,12.172948862390687,13.006004349037315,25.0
50,19.046846874642455,5.334644869439312,25.0
51,16.805888432150613,10.39606561225358,25.0
52,18.47390594544877,5.086159621865881,25.0
53,13.6388751776388,8.170144612767267,25.0
54,18.783165589859287,-10.651844139877186,25.0
55,21.154552460321085,25.462425444425236,25.0
56,10.510541648805551,17.634878953700113,25.0
57,18.370977907648143,2.5681353164953773,25.0
58,20.961317115542375,23.877500390253573,25.0
59,17.18205588720603,9.782412996317921,25.0
60,15.10878639704611,3.0248340652360444,25.0
61,17.542233547580423,12.40666128081692,25.0
62,23.952809122816195,7.2267694019756386,25.0
63,14.171034980322238,11.035745775370932,25.0
64,14.524106669996268,9.260662593581632,25.0
65,10.033774380077494,19.28071296484128,25.0
66,20.365838983269477,9.66703957069763,25.0
67,19.788822712643146,-6.60696657265845,25.0
68,19.48099218176381,7.7576949152729595,25.0
69,10.132628510523547,22.23531152911049,25.0
70,16.209347249684562,9.335313616506891,25.0
71,25.384079443719507,14.654858450411215,25.0
72,13.974403947298946,24.157148946591633,25.0
73,14.69431764979952,16.565040736279993,25.0
74,16.308431918395602,18.6825886190594,25.0
75,13.860951247852187,13.360700002767448,25.0
