unit_id,CropYield,LeafGreenness,do_IrrigationRate,do_SoilAcidifier
0,16.835630086546796,1.987149339818929,25.0,75.0
1,38.59793040269678,19.283962966019814,25.0,75.0
2,21.517197612169902,13.488338565338246,25.0,75.0
3,25.440307858993094,33.69813010680902,25.0,75.0
4,19.182002166888637,-0.36075437766506546,25.0,75.0
5,15.619369483848278,-0.2886844381284437,25.0,75.0
6,23.883335981293115,32.664364524700154,25.0,75.0
7,39.24212719066253,4.577814280277474,25.0,75.0
8,25.63252778745058,1.943947977520767,25.0,75.0
9,19.26909068610477,-5.965658989873859,25.0,75.0
10,24.956517212609203,1.446870956638148,25.0,75.0
11,32.1482820746609,4.577354784843601,25.0,75.0
12,24.171995233608573,-8.64549602284831,25.0,75.0
13,28.18296383578572,6.69125556895004,25.0,75.0
14,27.750584992649014,5.6067983237829795,25.0,75.0
15,20.510380619107366,-5.256075055322226,25.0,75.0
16,20.86376810894133,24.49751127540204,25.0,75.0
17,30.796621506706337,31.092539269348602,25.0,75.0
18,27.17546403262761,29.449173964472852,25.0,75.0
19,23.255486643206964,16.387948342974443,25.0,75.0
20,30.496351168213486,13.399356233866449,25.0,75.0
21,24.356536388474314,14.185135347146996,25.0,75.0
22,27.197561796494092,13.072238430044242,25.0,75.0
23,27.41115963672752,13.541187780725185,25.0,75.0
24,36.891149405950856,19.105224896628812,25.0,75.0
25,31.703994895040275,3.3331167478670842,25.0,75.0
26,27.626168558154195,29.808395266031905,25.0,75.0
27,34.692583857199175,22.78914885374907,25.0,75.0
28,17.58528714769892,16.974345944649933,25.0,75.0
29,34.61657927858106,3.344474972280004,25.0,75.0
30,37.44808635226407,1.2901562895068244,25.0,75.0
31,34.31675201579944,7.665971124909115,25.0,75.0
32,32.14397905546605,-6.665025737408207,25.0,75.0
33,18.64852369808632,34.76956957392408,25.0,75.0
34,21.894562269143925,21.139684271248154,25.0,75.0
35,31.722813249390075,3.328693888399001,25.0,75.0
36,36.22063441924796,5.327116093975727,25.0,75.0
37,26.888724046150077,19.241920486553347,25.0,75.0
38,27.55146616316352,26.537930601550915,25.0,75.0
39,32.794189249386136,-10.026059671868847,25.0,75.0
40,29.929585743391502,20.84142419002543,25.0,75.0
41,36.11622027523345,11.280204423157587,25.0,75.0
42,33.59695514829852,26.11414473372599,25.0,75.0
43,21.37803175911818,-5.369866110000803,25.0,75.0
44,30.31882827143003,16.071925424825068,25.0,75.0
45,32.82720492612817,32.42374118458058,25.0,75.0
46,36.70184565853635,10.366611118243995,25.0,75.0
47,23.28246741550276,-8.124560113540305,25.0,75.0
48,34.38557074577778,-12.921416018105859,25.0,75.0
49,26.655675444627803,23.29751057928795,25.0,75.0
50,33.14970391321948,27.85434018319893,25.0,75.0
51,40.15446848559585,2.90308277176338,25.0,75.0
52,25.054640110443607,-8.069423280289115,25.0,75.0
53,24.684649916885128,18.088662310200974,25.0,75.0
54,23.79696599809653,5.241004008419231,25.0,75.0
55,28.19054756496064,3.3928367610117327,25.0,75.0
56,18.882473528031248,19.35579192841474,25.0,75.0
57,19.386098725737547,17.006304730309378,25.0,75.0
58,19.4434250529386,19.412676733013093,25.0,75.0
59,30.636557946034717,-0.8327377055591931,25.0,75.0
60,31.919364474977968,-15.451639213604679,25.0,75.0
61,34.2759377530327,13.769478101214816,25.0,75.0
62,41.12036316960902,12.631142841435697,25.0,75.0
63,33.13917180885331,-13.842281291076851,25.0,75.0
64,29.137320079386576,0.5835108034698244,25.0,75.0
65,24.999923898689563,10.503429984436739,25.0,75.0
66,23.81362912248626,29.074408054472215,25.0,75.0
67,34.424212654737296,22.19204706513263,25.0,75.0
68,19.286175730669573,1.8069377214441973,25.0,75.0
69,9.583988575539191,21.830084955488445,25.0,75.0
70,29.950017325390686,7.295717374960416,25.0,75.0
71,18.993021404411856,15.825605246872334,25.0,75.0
72,15.699798430531335,34.413814600835934,25.0,75.0
73,25.203397917818155,20.76833403152127,25.0,75.0
74,32.73024206385027,13.329489356884775,25.0,75.0
75,36.31931759136103,24.737029194756133,25.0,75.0
