unit_id,CropYield,NitrogenPPM,PotassiumPPM,do_ph_acidifier
0,18.93401476701996,29.442634753408697,57.304522522921985,50.0
1,20.71858599915325,44.51036107048305,51.589703813573784,50.0
2,16.975374571108134,43.707537101527315,43.5767021276137,50.0
3,25.31543643916922,69.48088182771647,46.554943841176886,50.0
4,24.465794425841523,63.622894252411584,66.00376258580927,50.0
5,21.300464766145467,27.53585598935916,38.64651674922923,50.0
6,16.95834524186529,57.7045089144184,64.71900423238415,50.0
7,20.789760183543923,40.023903929802856,48.877829867638056,50.0
8,21.803589124382828,37.111733662193394,62.785554507276174,50.0
9,20.001480594578947,49.580554586944615,42.85651603537667,50.0
10,19.39934858058235,45.48359644248508,63.495872960874095,50.0
11,19.94587622350884,69.79286441586801,53.16858666968419,50.0
12,16.620787593113402,55.2178903968239,62.50987134877774,50.0
13,20.817354761181825,53.56792166073586,45.65376646832857,50.0
14,15.229331779793188,62.143132880297955,60.51128875763102,50.0
15,18.220890736196765,18.804196778573427,36.47993788207547,50.0
16,21.416539234235437,65.4237352681161,56.54566080323656,50.0
17,18.900703231740344,25.017579373365034,61.3632406597487,50.0
18,18.859018308695987,66.58716697725636,80.5171957288892,50.0
19,18.67938945689376,56.48749369356703,62.69564963934666,50.0
20,24.064623505769678,73.49227541460186,59.394873245136765,50.0
21,19.16644451687623,24.51153716647976,45.192339251464674,50.0
22,21.607743060312334,57.75690664456905,44.18434259814977,50.0
23,23.293742793177707,44.978562404174816,72.3998143708094,50.0
24,18.77397929599453,58.59349717691579,56.06639764732424,50.0
25,21.830744342257145,48.108065738584834,40.4859820440749,50.0
26,21.589416551197747,62.24743049249286,44.65206668253246,50.0
27,19.612270984032236,68.53752369886263,40.252698617928615,50.0
28,16.937950105708726,55.50210569875743,45.433273151209875,50.0
29,19.60720223499156,76.74435334684523,46.40255113533817,50.0
30,18.519397658794297,47.69131231565243,22.949222694062087,50.0
31,19.28299874786736,52.19623573904161,63.01150526765168,50.0
32,22.222058170700226,33.80745267411791,35.46590145621808,50.0
33,13.88340987256262,69.49196602805142,66.60960347548163,50.0
34,19.20879530395609,63.33828814710632,45.946786164225344,50.0
35,21.095800932034997,50.21369245473899,50.000343362826776,50.0
36,19.999859697354935,52.970103725442065,65.9011342549725,50.0
37,16.930859777573424,80.92101633272185,35.81520688519396,50.0
38,19.632946540585124,31.435184402741825,39.51185148494107,50.0
39,24.390913303572745,51.58613659900218,64.26461126097051,50.0
40,19.063334267431294,70.23280404421064,39.610695032844134,50.0
41,21.60143139979146,50.559561440905306,45.532878187898234,50.0
42,17.4062837737998,51.62821466276898,52.94827889733439,50.0
43,21.43536009368904,36.928627650218715,58.64569818510654,50.0
44,19.24810470788878,45.751613258966536,69.56393189589052,50.0
