unit_id,CropYield,NitrogenPPM,PotassiumPPM,do_iron_fertigation,do_ph_acidifier
0,45.53032796019087,33.615995163576095,17.34383915019587,60.0,50.0
1,44.89666466335376,39.97602302311477,52.034209635802085,60.0,50.0
2,44.029319390745634,62.010612566210945,62.983014539225266,60.0,50.0
3,48.96841408599482,55.51548447085399,60.97238179638694,60.0,50.0
4,41.773861415322635,62.96060819582776,38.10068069099296,60.0,50.0
5,47.833637161243686,58.61943114710649,54.51186563310795,60.0,50.0
6,47.495059497247745,49.2548106478602,34.30538653277154,60.0,50.0
7,45.11152329631827,40.21201772879959,45.284496004346586,60.0,50.0
8,44.77702841964339,50.21477959247301,43.55202040412452,60.0,50.0
9,41.589919057350905,46.49241608268086,57.35206260149,60.0,50.0
10,45.71169203839003,56.36293668972231,56.233946940361484,60.0,50.0
11,45.82881957954398,42.129309997740776,49.28232347209195,60.0,50.0
12,46.86523687031649,43.76383910307901,72.9713603655543,60.0,50.0
13,47.585959392798195,51.22682207578294,50.46488990560608,60.0,50.0
14,39.97471890583579,56.044252625085164,50.88171810354013,60.0,50.0
15,45.929817140215405,52.501259165223054,66.3982410741525,60.0,50.0
16,46.59640089252029,60.23239721122109,45.771872972631314,60.0,50.0
17,45.799173194567025,53.30017806765571,57.93795722408069,60.0,50.0
18,48.41964670599801,44.622978982728526,58.300631975780696,60.0,50.0
19,39.40199455748098,38.06099083595394,47.70424753596725,60.0,50.0
20,41.41583405628197,31.134921023779302,59.44835386121049,60.0,50.0
21,43.033202125747444,53.43984891824467,65.81690897388323,60.0,50.0
22,48.30869015664617,39.2348348189225,28.0748702806347,60.0,50.0
23,38.76221664671888,29.364466325530554,37.70681570451096,60.0,50.0
24,41.45670552280954,54.85831840045062,45.56410312728374,60.0,50.0
25,39.25583717355121,55.90104309056005,57.331304239201955,60.0,50.0
26,52.556651629098965,44.87911601744014,27.013912416182805,60.0,50.0
27,40.7364436114999,31.426017652683925,32.0929082471205,60.0,50.0
28,45.52392795868778,48.27028662695274,34.791836903549914,60.0,50.0
29,43.5707323861152,55.37752669074686,32.242904847488056,60.0,50.0
30,45.44322484528626,47.05663470037956,56.601078883807816,60.0,50.0
31,43.26669412116262,28.966342244235378,54.58897340190771,60.0,50.0
32,45.770133772972756,74.37463596683537,43.299991404992554,60.0,50.0
33,39.92742669657541,37.30043741143746,56.20310185219936,60.0,50.0
