unit_id,CropYield,NitrogenPPM,PotassiumPPM,do_iron_fertigation,do_ph_acidifier
0,62.492630375826046,51.26518796907381,74.58372505861976,90.0,70.0
1,62.80137272744007,57.535569745580474,45.247438574266376,90.0,70.0
2,62.02168832030392,52.12984192674072,39.40510500614559,90.0,70.0
3,67.70478661140369,60.3681603419741,36.56044582057372,90.0,70.0
4,66.4158341975285,49.76859779652664,44.12765415346477,90.0,70.0
5,68.1522353209506,37.84606398540991,52.39808801278226,90.0,70.0
6,65.33420489945658,42.319522235686144,47.41884899377094,90.0,70.0
7,67.14181967535659,52.84181665281226,37.96849079041535,90.0,70.0
8,64.95637553639591,28.72648933775505,28.670059753106376,90.0,70.0
9,62.236807175090306,58.78927066135104,40.89180069642789,90.0,70.0
10,65.58728176473201,74.72581459310175,57.16928895304893,90.0,70.0
11,64.81263241521805,38.30518046652818,36.96931254687083,90.0,70.0
12,61.52196703259136,63.65286513485036,42.28115025967143,90.0,70.0
13,65.04488955055402,49.99793902705946,63.664491721958264,90.0,70.0
14,61.360479485522475,46.29210349840746,48.70668427565333,90.0,70.0
15,69.32870363636043,39.72606522772778,48.32533713027968,90.0,70.0
16,62.585268671962645,44.88157236003269,61.80384297849868,90.0,70.0
17,68.71911687337958,48.72203361470228,49.75949512615532,90.0,70.0
18,64.82627250384067,35.146315147182044,79.0068622675673,90.0,70.0
19,68.61549271771197,27.364140995549615,54.925989296644076,90.0,70.0
20,66.1709293578573,67.4180862387102,68.69498861825655,90.0,70.0
21,71.24018028845418,80.25986392996134,40.638465033120745,90.0,70.0
22,59.0122116755403,32.94624070476594,60.607232758364646,90.0,70.0
23,65.7793492340151,62.69209517670475,62.44166924218668,90.0,70.0
24,70.58849592921923,61.068946789037014,51.82900607226954,90.0,70.0
25,64.9818684320966,33.57948992329102,31.286392676770923,90.0,70.0
26,64.32835701124908,61.34491977015969,45.89223567492229,90.0,70.0
27,63.693518287192596,45.47486546880232,53.893085560043275,90.0,70.0
28,59.95661671129473,44.10802791568417,40.323595482832836,90.0,70.0
29,66.68152585850562,73.06351854088241,60.738096953105064,90.0,70.0
30,72.14593369308086,51.93197759835348,54.35905393701576,90.0,70.0
31,70.63111679007237,48.762081280073346,56.91858175671306,90.0,70.0
32,65.50618096490354,48.22130264219786,42.85269648689959,90.0,70.0
33,61.71645015902265,48.15102715681901,58.167608830063415,90.0,70.0
34,62.341889729333396,52.080898865233856,39.15901879707037,90.0,70.0
35,64.00993909324924,54.525944762259975,37.97184748451223,90.0,70.0
36,67.72526116621418,49.5788104011753,52.892899477194426,90.0,70.0
37,67.2195432454942,72.38715051767913,53.87356119814006,90.0,70.0
38,57.275494551761156,55.80720952547539,30.6580294634748,90.0,70.0
39,69.11895172499268,55.03066716256461,46.40529940024548,90.0,70.0
