unit_id,CropYield,NitrogenPPM,PotassiumPPM,do_iron_fertigation,do_ph_acidifier
0,53.29989374722916,53.96917857558946,41.194800103573904,75.0,60.0
1,63.44253105046082,61.10023578689287,34.431974832748445,75.0,60.0
2,64.06332389292714,39.285579371771135,71.34562924387318,75.0,60.0
3,63.59200542765031,41.536278178283695,60.09025025382484,75.0,60.0
4,60.03611486214578,55.566406150339226,39.25168111511466,75.0,60.0
5,61.917284055406554,43.734126326303475,41.367675854162805,75.0,60.0
6,61.3406386010419,32.93947638165952,54.54663858541677,75.0,60.0
7,61.14992985236477,36.99001193553263,52.49560627227902,75.0,60.0
8,56.75896336053217,49.29967213788702,59.095807843899514,75.0,60.0
9,62.88551374595809,67.27557449815119,44.11119048487535,75.0,60.0
10,61.231212439010186,37.58354139401197,42.47185381435726,75.0,60.0
11,66.17066221917898,45.031513218968854,49.32084757044573,75.0,60.0
12,59.677271504403706,65.29858106261341,63.94606385560956,75.0,60.0
13,58.16193367447211,45.48525712372956,52.90427054642812,75.0,60.0
14,59.36219623671832,34.24163630329907,54.19419936102366,75.0,60.0
15,59.37275592956088,36.45538012051333,54.1852205372223,75.0,60.0
16,57.44945366385361,50.264909280622376,62.15098525403881,75.0,60.0
17,55.37127259641393,73.37304533261677,27.68018767598462,75.0,60.0
18,64.40429899704003,61.078149618463215,36.135594846656524,75.0,60.0
19,59.476650602371066,47.76634470854555,34.431985842631526,75.0,60.0
20,62.80131196939277,52.026955839621266,59.40056305354718,75.0,60.0
21,57.60928468152056,69.52794429351022,37.76492313318519,75.0,60.0
22,55.97020950148096,40.07020036140609,63.14582988615893,75.0,60.0
23,60.05385261908381,41.45454523042041,47.91247126618102,75.0,60.0
24,58.18528463629192,55.51486692917529,56.631347915663035,75.0,60.0
25,57.90270047307449,70.69196964842313,55.90050382808162,75.0,60.0
26,60.2836214870246,35.2711834415156,69.32539652606857,75.0,60.0
27,60.53919060445201,82.03864798621132,74.69349795917196,75.0,60.0
28,55.06772726802255,47.73768784820209,41.96765173205577,75.0,60.0
29,57.8631465453877,39.604078225598364,43.16155639450532,75.0,60.0
30,63.301754979936966,46.97159169957679,59.227489558726816,75.0,60.0
31,63.590981471987014,37.448355055399546,31.224028464717026,75.0,60.0
32,61.68187983313929,58.63171357004533,54.219736962929694,75.0,60.0
33,59.457698152742864,49.860949547847504,62.30869363864577,75.0,60.0
34,58.79375598866832,44.38180199394529,42.72877114402141,75.0,60.0
35,61.585536619474404,54.69756170796066,48.848073964431805,75.0,60.0
36,61.69303239016956,29.69280633465337,64.40684114778841,75.0,60.0
37,61.57711376815697,33.011887201341224,48.28219634836849,75.0,60.0
38,63.313831763611745,58.728462395130975,46.33848387064586,75.0,60.0
39,60.60371379086688,43.284910792715266,36.34417927108367,75.0,60.0
40,61.17442145239012,34.24633638149011,48.341219164136014,75.0,60.0
41,62.21566160561491,39.17441667272583,65.63382451704157,75.0,60.0
42,58.38521087548306,41.278606361992615,52.13722109050116,75.0,60.0
43,55.85675300831071,29.766516830479077,69.23724387456609,75.0,60.0
44,62.531752135064536,61.63609500417009,52.69368491331039,75.0,60.0
45,61.13477708976159,14.580165871295165,82.49918092327353,75.0,60.0
46,56.29310607113465,68.66374714293637,70.59953487206008,75.0,60.0
47,59.09893648662226,43.751295297832215,35.78528522168359,75.0,60.0
48,59.61824987835377,41.28920182214132,48.35679592467708,75.0,60.0
49,56.828017866829676,80.64512279812087,48.86507960751248,75.0,60.0
