unit_id,CropYield,do_iron_fertigation,do_ph_acidifier
0,39.18184281347281,50.0,50.0
1,38.465199711238306,50.0,50.0
2,40.765916284680436,50.0,50.0
3,40.26771707902864,50.0,50.0
4,37.14753073749955,50.0,50.0
5,44.167702455695306,50.0,50.0
6,36.9092458121548,50.0,50.0
7,39.72713102236656,50.0,50.0
8,40.69120412126731,50.0,50.0
9,35.753797916555364,50.0,50.0
10,38.68177611354522,50.0,50.0
11,44.7015159104122,50.0,50.0
12,36.38855690999827,50.0,50.0
13,40.81966294076496,50.0,50.0
14,35.558478261788416,50.0,50.0
15,37.06195611613559,50.0,50.0
16,39.678282172218275,50.0,50.0
17,34.75503508164337,50.0,50.0
18,36.88468739865159,50.0,50.0
19,31.565064845684176,50.0,50.0
20,39.62135845622036,50.0,50.0
21,39.98614880537362,50.0,50.0
22,35.878692397649694,50.0,50.0
23,39.556181277556334,50.0,50.0
24,39.85885743407685,50.0,50.0
25,37.14004826092998,50.0,50.0
26,32.406439415307275,50.0,50.0
27,38.23606558420611,50.0,50.0
28,36.625818431902815,50.0,50.0
29,42.7196705330183,50.0,50.0
30,36.03021627361288,50.0,50.0
31,39.3174500149834,50.0,50.0
32,35.51217711244086,50.0,50.0
33,32.289116057710906,50.0,50.0
34,35.40167713623171,50.0,50.0
35,34.70471919623086,50.0,50.0
36,32.92003198606804,50.0,50.0
37,37.34826362682781,50.0,50.0
38,37.1400256287801,50.0,50.0
39,35.44071799308986,50.0,50.0
40,34.56028756280093,50.0,50.0
41,35.610509004284665,50.0,50.0
42,32.12224955130697,50.0,50.0
43,39.42925781156771,50.0,50.0
44,41.88338324302644,50.0,50.0
45,38.624975904014384,50.0,50.0
46,38.86897144545172,50.0,50.0
47,36.25710371012111,50.0,50.0
48,34.74533175102555,50.0,50.0
49,36.31649850973038,50.0,50.0
50,36.774044407893236,50.0,50.0
51,37.95334694626679,50.0,50.0
52,36.95431164084089,50.0,50.0
53,39.59684442841715,50.0,50.0
54,39.6046196211168,50.0,50.0
55,32.837912367998186,50.0,50.0
56,38.661110424195044,50.0,50.0
57,35.06519354111579,50.0,50.0
58,39.843604122398595,50.0,50.0
59,33.85214319355694,50.0,50.0
60,40.18532680924238,50.0,50.0
61,37.52392247960806,50.0,50.0
62,38.22641688254654,50.0,50.0
63,38.67637625549064,50.0,50.0
64,37.7350993652812,50.0,50.0
65,38.10955249717287,50.0,50.0
66,33.9680826045548,50.0,50.0
67,38.419698219590074,50.0,50.0
68,34.48278396530571,50.0,50.0
69,40.020424476275906,50.0,50.0
70,35.749481549270016,50.0,50.0
71,36.57972242037399,50.0,50.0
72,37.565870481278154,50.0,50.0
73,40.06796431408237,50.0,50.0
74,40.496686963097325,50.0,50.0
75,39.8934315638684,50.0,50.0
76,40.0283366277766,50.0,50.0
77,39.719102002787544,50.0,50.0
78,32.136108498722706,50.0,50.0
79,38.241469730884305,50.0,50.0
80,33.962600263236446,50.0,50.0
81,34.546371878604894,50.0,50.0
82,33.81348035286596,50.0,50.0
83,40.85934676584775,50.0,50.0
84,36.488212651856585,50.0,50.0
85,39.9625387654338,50.0,50.0
86,38.35624279108841,50.0,50.0
87,41.56943704460015,50.0,50.0
88,34.85287619192259,50.0,50.0
89,40.27381198619116,50.0,50.0
90,28.294728429098527,50.0,50.0
91,34.23687346502645,50.0,50.0
92,40.64296900546149,50.0,50.0
93,30.32040017612111,50.0,50.0
94,46.6413739949425,50.0,50.0
95,38.451818036676734,50.0,50.0
96,38.474713183974316,50.0,50.0
97,40.55273013273105,50.0,50.0
98,39.24630571877193,50.0,50.0
99,45.26745573294297,50.0,50.0
100,39.70943475252325,50.0,50.0
101,33.840888253183515,50.0,50.0
102,41.32006456408803,50.0,50.0
103,39.240445382938276,50.0,50.0
104,36.5175959984135,50.0,50.0
105,36.99186905762639,50.0,50.0
106,36.070047496488044,50.0,50.0
107,41.831806915463375,50.0,50.0
108,38.93915040377333,50.0,50.0
109,41.548983881187226,50.0,50.0
110,39.17130444558163,50.0,50.0
111,38.35347652847576,50.0,50.0
112,41.10645336048747,50.0,50.0
113,40.18251973349094,50.0,50.0
114,42.61002779260881,50.0,50.0
115,35.77690491394862,50.0,50.0
116,41.34557981124661,50.0,50.0
117,39.96073432676484,50.0,50.0
118,40.795965727775275,50.0,50.0
119,36.30020790424261,50.0,50.0
120,31.207784041739338,50.0,50.0
121,37.443507678701735,50.0,50.0
122,37.944331907557725,50.0,50.0
123,37.96367475484989,50.0,50.0
124,35.9108070484953,50.0,50.0
125,45.6136050901288,50.0,50.0
126,43.56236318874782,50.0,50.0
127,45.75190483264369,50.0,50.0
128,38.52387621434767,50.0,50.0
129,43.46948496815588,50.0,50.0
130,44.331571119984886,50.0,50.0
131,37.9546622690374,50.0,50.0
132,39.24180670557412,50.0,50.0
133,36.53473176590264,50.0,50.0
134,36.52805341082694,50.0,50.0
135,43.98129910996765,50.0,50.0
136,35.961494889456134,50.0,50.0
137,39.27111979690364,50.0,50.0
138,40.33689173477277,50.0,50.0
139,38.43441181548772,50.0,50.0
140,36.84537758861697,50.0,50.0
141,39.1944651065378,50.0,50.0
142,38.1159736465118,50.0,50.0
143,37.06321269441962,50.0,50.0
144,37.46924230495863,50.0,50.0
145,36.996366091259,50.0,50.0
146,35.55134946591196,50.0,50.0
147,34.213202658480355,50.0,50.0
148,42.93721700315692,50.0,50.0
149,35.10616655325585,50.0,50.0
150,34.806229582387154,50.0,50.0
151,36.03681721363765,50.0,50.0
152,39.133062570116145,50.0,50.0
153,40.29252880589319,50.0,50.0
154,42.30714617816546,50.0,50.0
155,28.696923214676247,50.0,50.0
156,36.21174617872543,50.0,50.0
157,42.49054591937291,50.0,50.0
158,38.62749598564702,50.0,50.0
159,39.47100225211983,50.0,50.0
160,37.09809362060025,50.0,50.0
161,38.45239667412436,50.0,50.0
162,44.359297985513614,50.0,50.0
163,41.911279097541424,50.0,50.0
164,33.88504152207219,50.0,50.0
165,43.9329050490889,50.0,50.0
166,41.88847410960438,50.0,50.0
167,38.946984712471945,50.0,50.0
168,38.1892938647155,50.0,50.0
169,40.4404164568925,50.0,50.0
170,31.132996485748183,50.0,50.0
171,34.25091868550706,50.0,50.0
172,33.95039358502194,50.0,50.0
173,41.965149755458974,50.0,50.0
174,33.71261309269642,50.0,50.0
175,37.747230767131164,50.0,50.0
176,33.29995594121488,50.0,50.0
177,33.640485493390095,50.0,50.0
178,36.46404012718341,50.0,50.0
179,39.76521315119924,50.0,50.0
180,34.84957100779553,50.0,50.0
181,37.914404878769396,50.0,50.0
182,43.36702855195731,50.0,50.0
183,33.74219039057439,50.0,50.0
184,41.031810865260766,50.0,50.0
185,34.90917353382049,50.0,50.0
186,39.12411224376557,50.0,50.0
187,36.27572232067146,50.0,50.0
188,36.67406959843219,50.0,50.0
189,32.76623937631649,50.0,50.0
190,36.361161088222914,50.0,50.0
191,34.61284031568965,50.0,50.0
192,37.42836644291137,50.0,50.0
193,37.884848131114815,50.0,50.0
194,36.636229999904806,50.0,50.0
195,35.87937810659884,50.0,50.0
196,35.85327696136466,50.0,50.0
197,36.32174850709889,50.0,50.0
198,38.54085310983854,50.0,50.0
199,33.96548892684482,50.0,50.0
200,37.60852277384645,50.0,50.0
201,32.60807698175908,50.0,50.0
202,38.267110063852314,50.0,50.0
203,37.16090368587989,50.0,50.0
204,35.720437968830545,50.0,50.0
205,39.73472823026404,50.0,50.0
206,41.673200324896435,50.0,50.0
207,29.794566500853836,50.0,50.0
208,41.16264181373212,50.0,50.0
209,40.36603205726563,50.0,50.0
210,34.70090249410199,50.0,50.0
211,36.46033913662517,50.0,50.0
212,33.66317514690222,50.0,50.0
213,40.668874974724275,50.0,50.0
214,38.9196289635726,50.0,50.0
215,34.31999817414547,50.0,50.0
216,38.063805046182914,50.0,50.0
217,32.2986297611241,50.0,50.0
218,37.86411150093461,50.0,50.0
219,37.49183513147172,50.0,50.0
