unit_id,ProductTiter,DissolvedOxygen,BrothTurbidity,Temperature,ViableCellDensity
0,3.8814418763368437,48.29291694580979,71.74917436741981,38.127496234684635,61.51774463966395
1,13.830534080702751,63.075484471610935,44.80870507559021,36.4939504648371,43.57946030172871
2,18.679013846326626,64.61831572510773,50.1109918263614,41.03556474344981,50.422618722404955
3,20.10874377087229,44.29200210879343,31.6085950906298,30.80529963342093,66.15892977047116
4,22.944700547023373,79.88612727578169,46.40799632033419,35.163251592812955,37.78869343823334
5,15.01114555983005,59.651172617943615,57.429634294143945,47.217491601817414,32.90555740844403
6,7.780239341540771,54.00565484473027,50.25548893940713,30.607728450328892,53.540106129287956
7,15.002347974108769,68.48733105664553,53.102962220945145,34.900399816083855,41.27927032840429
8,11.649252865464122,57.84092422277394,59.35910494326026,42.63752847743259,35.213995141842474
9,10.178242298463148,53.01184447313526,19.906639082619993,36.723157181112725,59.98197412022531
10,12.127550571174002,47.7659113496226,18.460101171286915,47.32133037692661,41.37496326086596
11,-1.2967056793116565,32.5451056918461,46.5129672631215,40.79668736953303,41.8744899314846
12,21.219918133135124,59.19318231221989,34.27260375710551,37.37466201468474,42.401203622930154
13,15.760049846119962,49.72980164971725,39.18037908335689,34.375169899473626,53.468875104151756
14,0.7596191892706079,37.18611325300665,65.05850685044798,46.47886795765355,61.17610610930536
15,8.00260519081089,43.826749320106025,69.18989151081004,39.62510525293473,49.82338209511485
16,11.832985815176002,45.19372890612458,47.90617852041471,34.15396064167992,43.37866888785924
17,13.590544041461156,54.959480045284984,49.87498778301393,34.53242243083397,52.19150131671083
18,48.2012271073843,53.86397143680383,10.680006298922379,36.38240104269969,34.3640440255998
19,17.968936547946345,69.36874390657786,66.3481729218237,38.23748175855468,55.27966778184397
20,17.588143680949447,56.83979180805806,57.97342269474988,36.56192742494776,39.626069273662104
21,11.86166120884226,65.93129743381377,50.03629036905599,37.29224719199486,44.97922641414148
22,48.419275754449295,46.467258539863124,22.99367545208737,23.04517115931675,50.56600700428946
23,5.849849071379407,45.56473813378442,45.70021709303901,37.86794468583828,42.24165400152815
24,16.018495228205744,54.60906355992216,37.833432275633626,42.53893777489101,56.439657439207416
25,7.863357700605939,54.56987549159472,43.72582290830895,44.86294235376099,47.10267752436301
26,25.939773312459838,43.84505769982216,40.73433889502401,34.46120262373164,39.21645314089352
27,19.125957030935005,62.99109227058036,29.298839074808672,27.52933907624819,45.33548711594827
28,5.8897356545207575,35.16847296111862,61.719372821661175,47.11825780949703,59.60200809345596
29,22.704250520310055,72.87801803688454,44.01339912010385,40.697977283320775,47.055517440716564
30,14.418109024880753,62.73975837308829,54.67092437173279,42.61089702158744,42.41038712128938
31,28.29135083747528,48.19448605733125,31.766915582055812,35.11795422397005,41.13594382359802
32,9.247825213347618,54.33164908365719,55.82580988656156,25.037135247965733,78.75047244975279
33,22.231846003189517,56.85835510949718,36.491830849107195,38.878968686894076,47.47623057669206
34,28.486728037361353,68.72035017721818,29.74541459476299,34.392272164645746,39.347110215622095
35,23.93680162595975,75.03612708323038,53.973003102128715,50.37777668453572,55.200901709315396
36,28.377063874227105,61.87032883137475,56.485245626581,28.95243476914493,70.72302991355394
37,13.018826693943575,50.91111241409042,55.31742221593864,28.288619382134335,56.486650845194355
38,11.071237991175748,51.3777612299357,68.42803781871243,36.93254051537221,40.76590816593669
39,-2.63907624398536,37.656920855261774,68.68118641339323,31.88786524769422,47.29527462457746
40,3.8990502313509907,45.706800184360816,48.10230003198764,31.53869067446595,52.51943192283795
41,18.47783446687069,38.859840929505204,29.408188628052343,32.08172532614052,42.56941229479432
42,45.4398979483753,61.56183662648321,30.01077713411217,34.55380537136205,47.84674869426699
43,20.052138506889865,67.79203775182455,52.11591017700371,26.983878878994155,34.94083349064154
44,17.697641614313476,63.085940612170184,37.8404527905204,30.910199221580058,34.209266832648595
45,17.73672866475571,55.470251917889016,16.29958695714606,42.534339060901885,56.46130314830565
46,17.573338405954846,64.01058039245919,46.98813479139034,35.56226969735316,41.08538671392761
47,29.641866914677564,54.896315746967836,38.91593227280643,41.09187482908589,49.005765708038744
