unit_id,ProductTiter,BrothTurbidity,DissolvedOxygen,do_feed_flow_controller
0,28.125788181060315,17.396900441323094,56.472731284354154,25.0
1,34.449548550183394,26.27103932671045,60.518946130017284,25.0
2,32.424974424497066,22.405405366718234,53.923973079534704,25.0
3,25.60588051014797,21.87653274604888,57.3062188571913,25.0
4,15.84171989627756,55.608917072829264,50.819407070957304,25.0
5,8.032937145814964,62.10717301877296,38.710535007917954,25.0
6,33.036268886558545,37.12581821269296,60.32490935739769,25.0
7,36.87040923019629,41.15495163041775,58.223077036809755,25.0
8,18.546187525709158,34.77976223015069,57.48657584678794,25.0
9,50.493756727726506,21.814666947704485,63.220143904744134,25.0
10,10.812239026397437,29.912526852156653,48.54864282091976,25.0
11,48.02262041148053,13.530545520755641,69.12849079837181,25.0
12,20.170952199917334,38.68007800329929,50.29232505755272,25.0
13,22.366134765095737,25.17224170255105,57.964896049954206,25.0
14,19.709670231460404,42.03491204972082,52.440514891068545,25.0
15,24.55473298863251,61.495514556300286,64.9339704935736,25.0
16,32.52363018633965,25.556019878178283,49.02129015758327,25.0
17,11.265861468229824,26.659345095260512,43.57658095258041,25.0
18,17.78936558115172,63.07327561779312,46.68240596777675,25.0
19,32.82780390263574,41.46877270483262,62.20148106490948,25.0
20,33.234445078132744,34.93152824580808,52.14978560227936,25.0
21,42.06642922016287,44.75501993469402,49.50271149682458,25.0
22,69.03082945892419,-2.769353179400243,79.36718770625005,25.0
23,4.892941003026124,49.460467599539356,48.83962646582476,25.0
24,20.145407382393902,64.04415617533647,53.780952422129026,25.0
25,15.695627898891622,49.18011830286691,45.530626440044834,25.0
26,13.48071818555022,43.48443639633242,37.10912827320041,25.0
27,37.538408145531164,34.90908507073492,70.66190887779834,25.0
28,17.324982419712494,48.20516574462534,46.87519241235217,25.0
29,18.990369576785596,49.92333754961122,48.82735900186456,25.0
30,54.14362629026129,25.569775901307942,59.48624796020774,25.0
31,41.46527429541832,30.413117331748847,47.422852129526824,25.0
32,12.777617129941682,53.275144624302,44.24546359466073,25.0
33,25.839331772272107,26.66360161329842,50.720513701634374,25.0
