unit_id,ReadmissionRate,BloodPressure,Sodium,Creatinine,FollowupDays,HbA1c
0,53.26410884869551,58.79402967396466,56.84226230431296,61.699154865831076,59.275787015047115,39.77385830831946
1,60.54443525910249,33.125565465738234,28.944496157780293,62.444689845729236,50.12838394685691,39.83723416189839
2,58.09337899254439,44.50336010567528,53.034145003336725,35.30113165294304,50.94263368889196,48.10436875104638
3,76.29305606633449,45.22485051449777,45.240934650797364,39.84624199836473,50.28992780161578,43.86242387476836
4,49.86088957004853,63.76800983245447,56.760564291651896,43.98342857047388,70.8841593266674,51.32349874965991
5,62.24002019632016,42.96096922297145,76.27075398896066,68.13535916738118,38.10806498475427,43.07032819783894
6,36.19890167251778,49.41632950667933,51.695625679724685,51.39400891900365,68.48432994294697,60.201686193690485
7,56.50292602041152,40.44946204259285,31.3730511245411,36.31972404183079,54.1547069299276,61.997490555155146
8,39.10405925965464,39.41732759794153,79.68919902464182,39.43883821307585,61.99634964294418,69.70108113800885
9,65.36844482103784,52.01892736878348,65.42491705272724,37.427412040854655,41.9391112248605,38.709372829510556
10,66.95280250788433,51.31907945520948,45.05033924260444,35.45082711209573,70.67431224885557,50.382588956023895
11,41.96411930151225,81.76135812840428,41.40794730399233,54.05696661664224,54.11846507740821,39.86612022323567
12,36.75526695800347,56.63412591417067,50.20296765601349,61.475894391702305,63.790335034776255,44.677846021795034
13,67.86973445150535,32.23835697098921,70.04058861938191,53.747400728528675,44.44874196278472,71.1479440440494
14,33.60105914906449,57.73577217548765,40.96262968292365,33.92562556333921,58.831952380600036,54.71091360527043
15,41.692970807987614,50.93102880177667,50.51831807261622,44.945157560960894,34.5569614784614,40.73482223649154
16,32.51986611016182,72.63952156404608,53.69845159717205,30.056402004931197,51.72407430692437,54.38075831944587
17,50.02810244070646,67.79823724578392,56.61209037163347,47.5294806810102,65.42169890486986,32.21746775981975
18,56.885004602236236,56.4059197983677,50.40778574416661,35.349779783479796,77.64867731530603,51.34248081475196
19,31.785633273567175,61.4137954725177,57.219267531639154,48.374551869821325,63.95153867158473,31.820133292042186
20,47.75094583310148,60.92352335342122,45.730603183577315,27.851918585353392,58.19972932822762,40.40949751394607
21,36.91428544626123,66.26742330904789,46.15418383752454,55.69335089126427,49.45959450980565,39.17423730253649
22,69.62835076827123,37.160790583089785,52.04960033654155,54.52877132565259,41.33309285223124,28.14693006421462
23,53.048279946398104,56.60659383550269,53.91913148551673,43.154726687663114,74.96628744481413,17.598738287647212
24,53.97382523331176,33.48632125783219,51.46746412244941,51.63863081199878,49.147303357736696,72.10565658348511
25,51.84628670597159,35.95756438803982,36.87920040946176,45.74071811918017,40.08187675880205,50.47885417352155
26,39.0762625438378,60.53241415541509,47.674496745521665,74.63322678690837,47.80790795804383,45.19165835861037
27,64.83938466196228,68.42294614891347,38.35585770019001,50.803211281963456,45.46235102847942,33.923194431471195
28,26.775329608397197,48.95703366014082,50.4858713190811,35.2953415266308,48.52630111529643,45.98298512680484
29,42.303918972371484,53.79630311618894,30.407211044018908,36.47860191231117,47.899900623305065,51.61053639670125
30,42.53547246915879,46.63269926014509,44.20731344656517,53.60834813027561,19.24154317950363,40.127438621727336
31,36.67956306911887,77.1236337087547,30.962758711721413,57.061634168486755,65.21232752441836,60.08032815812585
32,45.71640585199533,70.70284797420699,66.14439791973986,42.90570577730044,34.273297726147604,48.189170607171164
33,33.51909118570158,58.66160190390632,55.90909087813008,34.13877175156569,62.23846450178628,30.949727108589414
34,51.660448170360866,57.123221177425464,37.81103134857908,48.81468074761469,44.48335059711083,51.809713779701134
35,34.46579192602139,65.37332092062046,67.17326072281976,50.241627808194245,57.16155231261299,51.78110811237836
36,49.93968253398643,64.68260518040161,53.60609841388365,50.382119344609244,61.92478186852911,50.166388443408295
37,44.23021252762781,60.50975699908024,40.69245971067014,44.13449665195774,39.94042391331206,64.49680946573939
38,30.896123283997593,64.92615666474269,50.24529323733527,36.446184646791366,37.338144746685884,41.507574795574584
39,47.502521892770694,40.82692879398544,40.23349419823644,63.99853971863614,62.6444890056765,35.42766389211449
40,48.05123057436785,50.82373963739575,58.932365813532684,44.96934369925755,37.8461032895908,45.25705078658447
41,55.66748058403417,61.27014531773008,39.28615481215044,54.578451097463585,47.00150037423175,68.57093959477338
42,52.22751340318651,41.068111984674296,61.02319453988494,61.31721200327241,47.61379591636552,38.14699386536055
43,50.169119361456424,58.75770360214496,68.71843865309617,40.19849695823067,62.64237584767554,62.533802898686325
44,41.82264987064382,53.42716299789402,45.01711173134971,62.561934234488824,73.39474843051588,55.74335018418538
45,58.16645768245571,39.46352541302798,53.81146304233406,46.68132657592801,42.89362546874372,60.18435676827979
