unit_id,ReadmissionRate,LengthOfStay,Creatinine,BloodPressure,Sodium,do_adherence_program
0,53.433471234587,33.73792976565355,74.8832446948443,51.89351616844236,40.05855161037621,50.0
1,50.55720339290272,33.3755789707228,34.66660522646554,57.90543605539818,58.41948260210162,50.0
2,44.36589952065112,28.941050204163428,48.22500755868318,52.50131417682887,51.22608617092237,50.0
3,51.92154927611899,37.05247244717659,42.729245274508216,71.55691625287845,54.88671323351582,50.0
4,62.93529187531104,43.90330311843503,38.76617754915512,41.09012644824976,63.21073575270256,50.0
5,74.57425978496087,54.93789917264394,53.26652484543367,24.2887582350005,54.07936441573662,50.0
6,38.24934310044877,34.08940174503623,67.10368381891112,54.63235599029541,45.2366768220704,50.0
7,39.825526266575324,35.953813381981554,55.09652165987268,59.64231838013461,56.476903282120645,50.0
8,45.34298995810211,36.30659727410142,65.83868873735472,73.31879319609364,82.78816719099245,50.0
9,20.067283278091125,25.325322028584274,54.54217801557059,45.284576324746176,50.09816412495415,50.0
10,56.92778235921743,47.32224707471772,67.81720555523603,40.51624368415479,49.31366943531869,50.0
11,21.04742754807167,22.89595238664079,53.4343896445573,47.70679309349403,51.40543666822197,50.0
12,56.942366142461225,41.4586781305579,79.8726192591622,57.27831303980306,35.930402828086734,50.0
13,47.58470028627063,41.911675606166014,31.71209727883145,66.79545792700475,33.38665578409961,50.0
14,60.351102847925084,45.25257167671731,45.16369153897622,63.76104272440624,69.16693337878023,50.0
15,42.22991524998878,51.66243183505429,55.688804888124544,56.9261986047728,65.28634120307512,50.0
16,41.18869013133409,30.762831991548943,55.203821946855065,54.12689420183658,50.256562152753816,50.0
17,74.91884139953486,41.56640964577016,52.21750502331256,61.8708973113506,55.14123006300041,50.0
18,63.61891101490279,57.367266960546736,38.7473783150335,39.71982226111569,38.20470197120946,50.0
19,39.42241272605539,35.58881653030995,70.27068946464047,55.89060732636178,45.045341108729616,50.0
20,40.49925012895978,33.60681836937706,65.2570504638759,61.69443179384724,54.7777877392641,50.0
21,50.59759542473212,36.3163164725994,29.885027910338234,62.719855358143,35.34371384842841,50.0
22,32.86731439463901,13.619481609935978,39.84434255546753,37.325562482186,51.222718535050035,50.0
23,67.9111268030487,68.9198176082025,46.89192367152353,54.10353155633902,23.541208591013348,50.0
24,47.62841235345088,46.342485684166654,74.13996603993344,49.06928402308063,41.778696983914216,50.0
25,75.40477884107544,53.04418788653321,43.126010424639674,25.71570852459165,43.83242156483105,50.0
26,57.628542683545874,40.65998576477633,58.470854900141205,41.79689438695834,58.80337127496195,50.0
27,51.23065912441449,38.64742674561416,42.18000515138705,58.94706785148057,40.50881702108,50.0
28,51.65184431473662,40.22248217933886,54.58988651172056,47.86332973662646,55.721455708418745,50.0
29,49.49634579226058,45.190796476837136,50.80002392710749,50.9721819244724,41.4803631657503,50.0
30,26.743342980530596,25.35107170284555,46.15147517452586,54.48132532228098,63.55818562981239,50.0
31,63.26029932524771,31.188734849744325,66.68215317857268,44.51916782308239,36.336792609473335,50.0
32,66.86425148537936,46.36928999596155,39.926438425642424,62.038980263513956,51.37295386139977,50.0
33,53.04175080708026,30.632238844191946,61.65701949905609,49.14045635351795,57.31378349352373,50.0
34,33.288825309882874,10.249919213699602,49.48777040349165,52.84026772810152,37.07304064584764,50.0
35,45.04005051564005,19.752322027990765,43.62352201139471,41.99662411024229,69.57512316910226,50.0
36,36.65922290495833,29.530547654954823,63.74777063054554,30.11114904458288,53.98655359732845,50.0
37,51.92787853859455,32.39712780971081,42.19119844192261,43.15211694795725,75.93292182375083,50.0
