unit_id,ReadmissionRate,Sodium,Creatinine,BloodPressure,Hemoglobin,LengthOfStay,FollowupDays,do_diuretic_titration
0,43.53132923827717,44.72017242199336,37.918511922936304,51.28470630089278,63.81015650347327,34.61487103809134,62.06915958691468,25.0
1,15.972996428805658,40.92662435981748,51.608636527213406,47.31649297714728,51.71900109072338,18.413845834169788,35.478077964035215,25.0
2,48.05944700278677,47.970423779943246,30.00251653393232,55.07890566803965,42.30602768461908,32.67414350717603,55.39809495997303,25.0
3,29.70863269260565,52.82309378544046,39.282237455613085,24.522882594169065,57.350767539366075,39.13320940951991,48.33448368514598,25.0
4,23.857557471110226,44.04848521652402,25.244906070187152,43.76894213876068,52.63335899791943,26.334110718141172,42.244020133839925,25.0
5,61.04334655384045,53.062273137355355,56.513535847705576,77.63431134563523,54.70233356725799,39.80354780551088,58.218523872093655,25.0
6,60.82095929666439,27.812795585452353,33.06291730278103,28.608246013044848,43.89689214452248,42.73009693537894,60.54772912367744,25.0
7,46.99059105894373,78.79168026672339,57.510153052768324,50.226286487290835,55.71075632626021,49.07761202178476,40.56097723101124,25.0
8,54.437702715970225,37.948673799592406,62.986444540623474,70.30616004198416,37.57210884182783,53.639509582563456,49.532556365657996,25.0
9,24.5340045983119,38.88684467173671,65.90513546351845,50.18094775053632,44.156992702197726,21.621798181579685,37.91034580058173,25.0
10,32.23251057129366,46.768999087597834,50.39354864731017,48.1973215746759,51.687410751680815,38.33066635370854,45.93243561601501,25.0
11,26.803109995649425,67.27017858454401,55.49265128470002,43.54736201578877,22.849622208149313,40.81203868195813,41.74418813064118,25.0
12,46.45673215070081,54.052465341335235,44.977319422727284,57.62732980852943,60.00836132501597,42.93581918104515,43.55213042543767,25.0
13,77.13249922887013,48.07781815415958,54.80314034926269,48.75236846641819,27.6596088214169,60.95425427703692,84.31868147953911,25.0
14,49.4829164289621,60.227567388043894,66.46525002785815,70.78587062948999,50.38737698657569,41.27559382762066,38.30779063552035,25.0
15,55.171453924995745,35.78581148355391,55.786964436768706,46.64024087108957,45.79536455127205,26.21884406294295,59.72233446940916,25.0
16,27.137259681930853,24.99976797492367,48.55142024891287,46.66969905776982,36.3229453570009,34.18654994691863,44.487731373112055,25.0
17,37.21696202111178,77.26913093050334,54.624998859480655,52.14120891770045,34.672136955457326,36.42522640653048,64.28477426008627,25.0
18,39.659563086126425,45.35323376393429,51.248691138401334,36.3029769684523,78.34374502354856,39.857335031592775,32.45135559821399,25.0
19,37.72145016691363,47.369582458223356,45.064500592458565,47.70715715021619,48.32036245013087,31.834358953718343,28.53932194150802,25.0
20,72.04380811150817,49.193711246673,53.89233586282966,48.769711298597116,76.42602770186757,47.08524328372548,70.48923427314152,25.0
21,30.284262492077605,47.60281590384659,58.27650337875171,50.19577210132802,43.68141316732159,24.639782091318807,53.99816436197741,25.0
22,59.02974706355675,35.1419946912897,44.04790018791706,62.59351722058761,40.89332665872229,35.59570575584559,68.5822484123144,25.0
23,54.07168853722081,63.60317925974859,42.39626420212559,51.173667209214294,63.357181686559514,49.411833151806476,44.51611688056596,25.0
24,59.79973631406676,43.45453667246315,47.16077807777866,61.06476579405842,61.785252715946356,42.47562709204789,49.31150664815314,25.0
25,40.51590559012947,44.29991979684986,47.11118854581321,41.76290963558424,43.17187796737316,30.320017474821658,58.64133173092859,25.0
26,41.75711291464702,44.13442117151366,39.53367770514012,52.28319958775678,69.84166253209513,45.37875010721824,58.47980755402886,25.0
27,25.874137157133255,52.185983477052986,43.04450253267636,38.398318470625846,48.4626666361977,35.774062121161904,72.30772564263539,25.0
28,29.43008946476,50.74362460503858,52.581265653480926,49.512758422503616,60.79746203347946,39.44159168541443,35.63257599652897,25.0
29,40.19286779805228,54.15799493501199,63.65099881062968,67.2425888240911,49.940893975643036,43.26326356898701,74.28811427517267,25.0
30,44.25119662687012,61.03167018453447,50.569116719403915,64.43584622068904,38.40638144366199,42.856989272850505,66.80310418558591,25.0
31,24.82628458132081,39.8613096616133,35.979476997530845,61.177583037871806,38.222578854687555,34.76547998380894,63.56704135641438,25.0
32,45.510297139922635,38.84777562320886,64.75056039157818,47.116335847963555,22.366476902278098,32.414999901566674,60.730711494190224,25.0
33,52.2626845380949,39.25710372309487,25.91438602910467,57.79674523250869,51.13967590156423,43.10739505088732,34.67412354898884,25.0
34,27.252019740149564,52.951262547421344,62.7218369542251,56.06734942025042,48.95189749983208,24.80500612864075,64.04574707244961,25.0
35,44.10018089146965,54.669289525871555,36.100044953239404,56.79749922659799,24.02167747025385,42.01496430366856,30.849017479935835,25.0
36,39.36398264158033,41.64140992298826,48.482653724035195,43.759063369177056,60.45499909473679,35.203643648430486,48.73538361439498,25.0
37,54.37598154531746,21.621656046259602,44.091666566130804,22.064007349966268,57.727939535313915,32.39041144984023,40.67944621301324,25.0
38,31.568727529738904,63.2561078043191,31.288699349966937,44.37198664364834,68.00487478747948,39.807995760839816,59.32565541563238,25.0
39,37.39677706145777,56.471241318492076,44.30392769725344,45.25857504807472,45.18803257035198,51.89721637052342,38.536266488696384,25.0
40,36.75029658388651,40.960867518852865,47.98808551032769,37.138003079910554,49.595353233154725,29.388397647924208,67.15117520427971,25.0
41,41.877965319651175,47.77906193092994,60.81257731540517,56.10499765953324,49.98607449589036,40.806367863089704,34.866949424013995,25.0
42,48.72594832385035,31.405903408668536,48.81508433752274,49.744492600288275,52.910007260510625,34.45993333227156,23.15519894295448,25.0
43,42.38769248649772,20.895004525854734,39.68387286780449,70.57389037903326,62.19317654970788,43.86889168229926,64.64841718355838,25.0
44,42.65417763464932,60.288964120205684,55.90531272551961,52.20992976627102,66.36910596542354,37.40564127775407,61.032684304758675,25.0
45,34.00000171726778,47.319241057751434,63.908213246278606,64.76861246203546,45.363983668749455,36.760789165461226,36.229505106461815,25.0
46,49.16394406785664,30.70739840153869,78.76872451362364,47.91934014032466,77.58063285002326,58.86015994683246,45.862563636465154,25.0
47,40.12280511669606,31.419815189367405,59.60365687870317,58.498914412318996,35.118697328345476,61.774287209901836,63.103705782277494,25.0
48,45.66343774425806,66.04406280480929,60.39554082324539,58.954987056393826,53.92710770969538,42.35578795874085,31.204721183577995,25.0
49,38.952442642205504,15.526637578253023,64.0345427753924,48.04494354868031,37.42653394531877,44.81708848832388,40.756474157345004,25.0
50,33.610946029243976,37.32824392705205,57.02504526134624,50.48941953029695,61.88328615927967,40.52248062989301,49.79478696923948,25.0
51,71.89436958193143,43.077634725561396,61.48850659395608,53.363865020911895,56.16772474014408,57.34661119218627,54.52401259202964,25.0
52,43.58867484403457,57.73160452195671,46.3960324108796,52.00254134402851,62.29416521348908,44.12908755035279,39.2712570253734,25.0
53,52.588380051335164,24.909034194901864,30.39604530962401,46.83304791259317,62.112707374192595,29.95099888150357,45.995484151297774,25.0
54,28.02163792847046,44.47118712414757,62.8651147711312,40.367702813852695,59.08753889906417,35.741317500748565,45.39446145443233,25.0
55,35.49585853273523,54.134722095066735,50.999643742034365,33.69094168162718,51.66457566222439,46.692726501519665,32.65623573325014,25.0
56,36.57961414599291,42.445901935239135,50.225747531091365,36.118758285067194,44.52568619780262,50.14485443893446,61.596895366621,25.0
57,52.536091899143614,46.575575816221026,50.75000362488532,48.8669080356115,52.76271592428217,39.10721273444706,50.316498989112944,25.0
58,72.44250751296104,70.64588967474855,40.73358123718304,46.55709935172515,41.04200810990023,47.174452035240186,59.42782008642039,25.0
59,37.696431736602804,66.63953272875744,37.252546408737075,45.300634856302096,50.26988745134356,48.57724706087982,62.740349650760514,25.0
60,25.94628944835606,24.182620071222296,52.943448514478135,55.97989667031294,32.15804190160658,23.582001344239256,56.9483197126405,25.0
61,30.099848933856588,44.47232050805302,50.584319713278724,53.298919712028265,48.05865926102871,18.837917184004603,43.273789284206224,25.0
62,41.73141809113825,48.256002463600865,47.74150986349654,21.610177539911213,57.25299790645042,33.142128859789764,37.45890027557138,25.0
63,35.000525401470234,62.66275238572248,65.98315555038255,53.65452805064427,44.41710554211905,36.76525261526826,46.75933515999882,25.0
64,58.27875512343367,27.067902514918114,31.717618913772032,48.21820096278146,61.4968236813457,52.48524165209813,50.357959547515115,25.0
65,49.60770280799678,46.32668626324503,66.91407443055951,4.776013235220946,34.75489540452301,42.012913175646915,63.45214612615077,25.0
66,61.801742541556635,44.64411630833743,58.142318791421225,59.7342142627861,57.100777429910764,53.93234407942615,53.51872087019319,25.0
67,50.169826686187506,22.46834566625227,63.69459272520693,57.77628264468459,49.93891949547564,51.55203343301782,59.953255999790045,25.0
68,24.476320217608535,54.59784572306373,47.317283250665255,36.83167823002665,35.65578260603703,26.756418352689163,72.25959051054326,25.0
69,43.69948144183768,64.96039528550965,54.04583327807563,66.38469456185328,46.6106053880825,47.08330099210468,33.56328004544954,25.0
70,31.837846727204536,49.832544295625326,35.82330992985515,38.57120682503301,52.80213521768431,42.47369210940372,48.94898506439,25.0
