unit_id,ReadmissionRate,Sodium,Creatinine,BloodPressure,Hemoglobin,do_diuretic_titration
0,33.30590622094619,50.28090987183671,38.04394333752607,68.79032867164486,44.46736298530725,50.0
1,67.04086199266082,56.24081384904292,40.05926323286404,44.74932577997623,58.99950490250529,50.0
2,39.36970040864396,38.89202496054021,40.16283052104471,79.75344134134642,63.15514749574525,50.0
3,34.89076890671162,46.560405026675475,49.80613565543006,76.50987989069765,81.79728062010182,50.0
4,56.93470313789846,56.09633657965748,75.43956713432429,57.11259939433229,13.880288208051693,50.0
5,43.51119601213334,49.288263207831264,52.82205448081619,27.857754154084937,50.82243036896512,50.0
6,44.87975513149564,45.248424418857084,28.4673591731859,52.683860371900494,40.333337599258044,50.0
7,61.82230803647796,36.43357924462769,81.44687930928777,44.02824595241654,61.1409885423329,50.0
8,36.54737913419761,59.854846880521755,62.387464461883184,54.75547535613996,30.442356564219462,50.0
9,46.483330519279576,69.92424847656949,48.440570482643444,40.17960397708081,50.037467654085084,50.0
10,40.295026456315895,29.946979632710498,63.19024696897589,50.6979564607266,33.444293935884495,50.0
11,33.1942921962937,39.650409436493355,40.39107660117189,71.94216306941442,44.23344415580621,50.0
12,51.92477477063406,49.872740235338,57.40256748469601,43.80044633101541,54.13528604226335,50.0
13,67.33478401213681,39.378191648156715,30.091169695254518,47.03799835649029,45.76459312871335,50.0
14,51.20412770920997,58.913401591717374,48.243603440711595,66.94495386005244,71.88447555738134,50.0
15,55.188365428327124,46.06832430116634,51.133813926332515,30.77916924040093,59.85788043061047,50.0
16,34.194113053573105,56.559318460084086,56.08094424353974,37.67482592489905,59.635544265816684,50.0
17,50.420884428692716,40.72610214013347,61.69695509932818,51.042095311344795,57.52847172291874,50.0
18,34.13833242601631,62.38469689034309,36.65669131708477,42.66973327023417,45.027156317560085,50.0
19,34.159614925187576,74.38443492710122,55.632922565558935,40.561537988904966,46.69143170532093,50.0
20,41.37628743531269,64.8721761102121,32.389064788701795,55.28416346303796,62.22424845377807,50.0
21,35.52951765707823,50.24057414552412,48.69014191717343,49.18472878151275,55.45466987767607,50.0
22,87.7630836304086,59.21025046808489,64.17211112947321,39.252319190576635,56.01073547306655,50.0
