unit_id,CropYield,LeafGreenness,SoilMoisture,do_IrrigationRate,do_SoilAcidifier
0,6.573811826250781,39.34887553616143,60.591849533134436,25.0,40.0
1,13.738798776292755,24.202110150013446,55.93322669725869,25.0,40.0
2,33.45311286180313,22.412772317215186,83.17569992711441,25.0,40.0
3,12.37389144992386,24.333805738772046,90.12764784626572,25.0,40.0
4,16.623046091148886,-13.203227803338542,69.19633796510826,25.0,40.0
5,7.575596405595464,32.57622622834218,74.04086854703623,25.0,40.0
6,25.094457289388068,23.057552548639343,87.8975165983937,25.0,40.0
7,16.134748629094815,24.93388731674387,76.11562930723399,25.0,40.0
8,23.40092951005267,-1.9111253531249481,71.8171499672056,25.0,40.0
9,34.29494141804044,3.9519119698822696,85.35667149456752,25.0,40.0
10,22.471414297502598,3.731148117036887,61.13114993004733,25.0,40.0
11,26.725579593872038,23.65136345947839,82.13621488826303,25.0,40.0
12,23.39482281337937,24.192812261165898,59.65744340408635,25.0,40.0
13,26.86427311663014,16.28276673011364,81.74329317923268,25.0,40.0
14,20.627050169961837,19.399384385989425,63.05186061149076,25.0,40.0
15,19.308428495589972,18.47369900899418,75.76939245277269,25.0,40.0
16,34.264025224722204,33.51736883773992,80.21088688988094,25.0,40.0
17,22.158349496066354,38.79286052288483,69.12749947102337,25.0,40.0
18,9.463672954177376,20.268131917840815,73.62582171155847,25.0,40.0
19,18.185312607113374,31.36458876495477,68.14855473764734,25.0,40.0
20,23.58800499053471,10.053764434044249,65.612739940973,25.0,40.0
21,19.680491962788015,42.93770488072707,87.55318222513843,25.0,40.0
22,29.324499475041907,10.551819395717645,87.63087357879016,25.0,40.0
23,31.50610085988169,17.451411214813735,78.21239154827445,25.0,40.0
24,31.939576774362422,38.27607397065136,83.11930905898042,25.0,40.0
25,10.442218155853592,37.4409786819196,79.13018943643874,25.0,40.0
26,14.204634931388226,-12.741627223875383,64.0098008140209,25.0,40.0
27,22.34953852130951,16.39011854645951,78.60940562055298,25.0,40.0
28,27.56128098778625,-6.6814312096623745,88.90572378716753,25.0,40.0
29,8.442941127983701,32.99759498540727,60.574073173893595,25.0,40.0
30,30.612174462281878,32.13965977257416,90.14547302926432,25.0,40.0
31,22.361806664778847,10.902220647506581,81.88197343892487,25.0,40.0
32,27.56106104692653,19.635148865662824,78.49233525675606,25.0,40.0
33,21.989251845282077,17.627993884221798,88.26459894354176,25.0,40.0
34,24.25119281413252,-26.665545866038975,85.76356080372341,25.0,40.0
35,27.803161521835932,8.805975329834384,91.77274458230723,25.0,40.0
36,26.611699921866933,26.252261042659104,83.31344734264496,25.0,40.0
37,33.362113551456346,5.539195071246724,84.106774554293,25.0,40.0
38,29.7252508558271,5.49084986278336,79.98581588341231,25.0,40.0
39,11.476549152827873,22.294732375518628,59.40692754125346,25.0,40.0
40,25.270781734295852,29.59705252343158,69.03570778257689,25.0,40.0
41,28.49921221782234,30.124741691378695,82.31827225351476,25.0,40.0
42,15.01101099060801,6.011892757258069,74.97454122599632,25.0,40.0
43,23.554119744481827,20.179913641223834,88.80431278960876,25.0,40.0
44,2.30334092806525,16.188944532004996,50.21204803530557,25.0,40.0
45,36.04008758449069,-7.226460570902031,80.1401686989287,25.0,40.0
46,29.933248292538305,31.78248667799439,84.78932091683181,25.0,40.0
47,25.496584825066346,8.924557227950265,71.52119123366045,25.0,40.0
48,35.71919299623362,19.081605621528155,86.91949510025677,25.0,40.0
49,39.45419542242023,-2.155707964090345,99.40401988584611,25.0,40.0
