unit_id,CropYield,LeafGreenness,SoilMoisture,do_IrrigationRate
0,-34.44173368622083,49.9670282489457,57.072764502378014,75.0
1,15.191048355025067,42.49008034172802,89.5690835895432,75.0
2,-29.33437767515251,61.089738820735946,67.20420891155527,75.0
3,-26.503510430460178,82.27041303076747,67.31256543408466,75.0
4,-31.265156381012357,46.881164331580266,50.75822607847725,75.0
5,-35.999509692453394,47.99476371858416,56.38953850920595,75.0
6,-23.07890127024919,76.80857541495999,76.27684560080759,75.0
7,9.78793751218863,33.15931621669873,87.11293239079001,75.0
8,-21.676320283916965,46.39625737429192,75.24837102618696,75.0
9,-32.31203427014787,42.28422986012849,65.81695692294886,75.0
10,-26.590062330695943,49.66605277290939,70.3188592908564,75.0
11,-15.358666286857417,49.205753328415426,83.38202698131774,75.0
12,-10.6516888481857,24.708889827635485,68.540298350799,75.0
13,-23.12154479791597,54.69526324335154,78.01154745125065,75.0
14,-17.553624907882185,48.27720712425516,80.17475369958382,75.0
15,-28.92356417372375,41.085209204972095,63.6733621406166,75.0
16,-26.355366382867967,68.87007526812143,63.028176052723445,75.0
17,-18.331935959694324,77.16236812837141,78.49567939239213,75.0
18,-23.31620225254017,76.73065510684421,76.88928178323663,75.0
19,-23.07729437177333,59.972642578512485,62.17212594260709,75.0
20,-17.834839201225368,58.760414340034316,74.13128848282926,75.0
21,-22.770516923401146,58.47584940214741,67.16705859468516,75.0
22,-24.289532446010167,61.23854442338136,75.43794667404835,75.0
23,13.70645361894508,28.123148685420684,63.73818685154688,75.0
24,-11.923129189100724,64.89569475889688,101.29980722413106,75.0
25,-16.87688635557217,48.91612230396703,83.5572263594916,75.0
26,-20.336448220786544,74.84183240286812,66.10924395780994,75.0
27,-15.625456255257134,69.9162956203769,83.59632889014364,75.0
28,-28.03130686286841,59.92242950959867,58.52099761603046,75.0
29,-12.010520357320239,47.190785759747826,83.89756026346598,75.0
30,-7.699257192510729,43.821128329306646,88.25362383990837,75.0
31,-9.453043413452491,48.97245595091082,83.23940431321284,75.0
32,-15.143070555685505,37.767907250282065,81.04405527022062,75.0
33,-29.533659329441903,79.99817670950472,73.73012189271941,75.0
34,-28.94460952103739,68.73005919585377,68.72060625204605,75.0
