unit_id,NitriteLevel,GillHistologyScore,HarvestBiomass,WaterpH
0,45.414794866899385,11.862409746777205,9.844451153057893,37.34924114094811
1,53.74339733258039,18.329067696035025,14.779121468077175,62.43553999372632
2,48.29988270485003,34.50927460476756,-11.269203425460343,41.21534383826339
3,48.72344466567335,53.9388057329964,-7.966252390037599,54.87537373882146
4,56.13108091420098,22.699340248824758,-6.174685814974367,36.09358105585316
5,63.79379984388545,3.4054718930702688,11.63714104979405,42.196544762087164
6,43.44387354444998,34.49919413366912,11.345245548696258,61.724554974573536
7,59.11716480647296,6.381975432787002,5.193928591518635,45.95234359008573
8,51.11058859913569,10.489742047466581,12.44009246624242,69.7507346436464
9,48.79073925585594,16.500490091944208,2.3448319781045646,19.833481057398217
10,40.761964013838856,4.355318232877755,9.312934089784378,51.23969677940024
11,39.857497458074455,6.649516569139732,12.599086001058248,45.499437496906
12,55.22272225547834,12.108205176432952,-4.50227765190825,54.25909707218286
13,46.60537363942252,11.363453342692013,8.95668320133263,61.728622048374675
14,60.94249905315475,29.23939210150988,-7.2525754731656615,40.67035887168758
15,39.27163741158707,0.9506470749166667,9.316784841290328,46.67292705372775
16,57.20973737921328,24.284206889391225,11.493911927909068,48.369154091810294
17,8.639125649023002,39.262163859166634,-1.944848705216863,29.853052848321177
18,51.403642556230935,25.63603200189324,11.004278983471941,41.371788340859055
19,56.531294396969585,23.245969191327198,1.118310386823607,55.58245569729224
20,49.3369304161868,15.980589928925394,13.94073470547768,61.49914037507189
21,75.17971490331868,28.571906088498636,0.953257010580959,32.863208036825945
22,48.537271290800035,32.90142299888948,-7.753742573688022,50.81010136643386
23,63.21064177842824,17.29629785290975,11.74416342112446,47.71961140121411
24,38.66720241377706,20.106213525005913,16.87449091609476,45.26968672803308
25,50.04113126628991,45.14913513793044,-18.010505498692964,36.52716511999498
26,34.44713952214501,39.989685297220575,-1.7812929522104817,72.49295666738797
27,48.3843700309941,43.603563498851386,-13.409428550991525,76.088652041445
28,65.87665835065505,40.3525213331866,-16.69405389826885,76.37502738661834
29,66.04229159143935,22.366053033907633,0.8092730581875904,41.33820153070963
30,53.221813094398335,4.328204744946469,4.146372932216011,44.45204486111007
