unit_id,HarvestBiomass,GillHistologyScore,do_set_WaterTempAqua
0,2.17201503251146,26.720218293930493,5.0
1,5.3598512556076825,18.879705935158068,5.0
2,15.389529537671542,19.685190904507664,5.0
3,3.522439741400679,16.27960973088649,5.0
4,10.495196268162992,-14.34967037389309,5.0
5,2.577927618887255,19.94888762499618,5.0
6,10.405861354299617,15.899349791991774,5.0
7,4.896405133145327,18.3367547228277,5.0
8,9.262543257045106,1.1540246272996129,5.0
9,18.705517339340254,3.6084309898138933,5.0
10,9.099534072469922,4.0438322649291525,5.0
11,-4.514647337638897,35.03161302915534,5.0
12,8.774907474612917,22.245302924033385,5.0
13,5.777820082715838,18.570058753716307,5.0
14,7.303099386809789,17.445413281764736,5.0
15,4.426494289199361,16.201761121595922,5.0
16,16.690487651338316,26.58895441684327,5.0
17,8.338402692934324,31.752242554905624,5.0
18,4.055066880979101,11.648821999819564,5.0
19,8.648115257945806,25.896116369836733,5.0
20,2.404895661915674,18.90949864598403,5.0
21,8.796889183854818,29.98837037614736,5.0
22,13.166321401576894,7.737454177969187,5.0
23,16.629971113053053,13.992845721037195,5.0
24,12.685365399906821,31.172404336472265,5.0
25,4.140398847955246,26.513987620027486,5.0
26,4.188511442281479,-8.773482032725855,5.0
27,8.051226900803647,13.660035441057413,5.0
28,13.640311364700091,-7.088661145115003,5.0
29,4.09119997711414,22.71501249918621,5.0
30,16.245050587706853,23.432222560877335,5.0
31,10.527340742503352,6.505289773762991,5.0
32,8.912604149029482,22.3706103525367,5.0
33,13.744262940473636,9.044738081961906,5.0
34,13.365246064190655,-23.838597239600873,5.0
35,14.16722634049485,3.3587468720097426,5.0
36,11.53687131463246,21.374052445596433,5.0
37,8.108501015429315,14.889318391874259,5.0
38,14.862963048199074,4.9066206315718315,5.0
39,8.03174453403607,13.0695815105318,5.0
40,9.734614907796322,25.532933300702716,5.0
41,7.99808295173567,28.668603785468363,5.0
42,7.03103573250211,2.334350151943447,5.0
43,14.218442526020453,10.988817448868058,5.0
44,2.551036144360289,7.471960004835454,5.0
45,15.658103335178447,-2.5131783603312456,5.0
46,13.63028813678099,23.80276710261962,5.0
47,9.77903522026022,8.936297835303748,5.0
