unit_id,HarvestBiomass,GillHistologyScore,do_set_WaterTempAqua,do_StockingDensity
0,-20.070023511703702,39.54494446653518,5.0,90.0
1,-24.23800446899363,69.74800065784028,5.0,90.0
2,0.0974519752223939,34.48247070794277,5.0,90.0
3,-27.484333147038424,49.56464788359505,5.0,90.0
4,-22.060966835999764,63.22098232938322,5.0,90.0
5,-27.66899097157107,35.324151350127245,5.0,90.0
6,-19.894077716835557,45.445302836549324,5.0,90.0
7,-32.57142512172312,59.93830911603884,5.0,90.0
8,-31.666144510465294,64.72851989134685,5.0,90.0
9,-25.993569368182232,72.51431410336909,5.0,90.0
10,-26.14805609284442,56.82044489719222,5.0,90.0
11,-28.151974693468155,38.58051928012271,5.0,90.0
12,8.134157040227052,-4.538694882316186,5.0,90.0
13,-31.844290499433008,34.45797412578072,5.0,90.0
14,-27.162852547997907,38.69426439345753,5.0,90.0
15,-8.927293853633191,44.90981213053871,5.0,90.0
16,-13.01923215774787,45.38571050190832,5.0,90.0
17,-17.51926752078957,49.80939876307881,5.0,90.0
18,-24.750091514496695,17.297218071990862,5.0,90.0
19,-28.480246311342892,46.57631179778804,5.0,90.0
20,-25.364419472423254,46.360318231702685,5.0,90.0
21,-23.549225910734723,44.61474953212707,5.0,90.0
22,-25.02440894489463,40.442111249922576,5.0,90.0
23,-12.363057851630574,33.75969623260444,5.0,90.0
24,-18.3587538037865,49.472690353692215,5.0,90.0
25,-17.81985838768487,56.59188649837678,5.0,90.0
26,-20.327033204308574,62.07897208445052,5.0,90.0
27,-23.394989653151836,43.91980911512201,5.0,90.0
28,-17.628227296568344,37.362036034828364,5.0,90.0
29,-18.871875461455936,45.404765827026594,5.0,90.0
30,-24.509985214227324,54.71801751465997,5.0,90.0
31,-22.0993803318215,54.93303499823814,5.0,90.0
32,-16.081416570817506,42.94334318283834,5.0,90.0
33,-11.158801744415147,46.663342296488416,5.0,90.0
34,15.545222328283765,11.035168289206599,5.0,90.0
35,-23.879374447682327,29.07265107701269,5.0,90.0
36,-14.061526302491913,34.98924490748351,5.0,90.0
37,-28.198365341638993,54.03113889855065,5.0,90.0
38,-14.210585908565067,47.011370864445276,5.0,90.0
39,-24.3396918639302,59.32189124386665,5.0,90.0
40,-27.345569811765024,54.88943796781297,5.0,90.0
41,-33.39083332753173,68.30638010592389,5.0,90.0
42,-22.07525673782156,69.00082100011295,5.0,90.0
43,-31.91772748868823,63.22998402887136,5.0,90.0
44,-16.346446875122233,42.84382669822697,5.0,90.0
45,-27.315394774804904,58.31296096211178,5.0,90.0
46,-25.43304172513445,43.945260929234365,5.0,90.0
47,-24.723447669035146,43.82910473201843,5.0,90.0
48,-24.845971154787566,46.39990560937846,5.0,90.0
49,-16.132560627984933,29.156129263697643,5.0,90.0
50,-2.1410087245909764,22.2528900163567,5.0,90.0
51,-27.749083447618297,47.465947679757676,5.0,90.0
52,-27.997452647188492,62.570691847100555,5.0,90.0
53,-32.059971370837225,53.47028903396885,5.0,90.0
54,-30.297915229477802,51.90381158443135,5.0,90.0
55,-13.071507972166433,62.851256876964385,5.0,90.0
56,-24.971589713503437,41.21935531920581,5.0,90.0
57,-12.116792130685846,45.939639901722515,5.0,90.0
58,-25.20440821392928,51.74277617753178,5.0,90.0
59,-23.37785557915359,31.18352313914768,5.0,90.0
60,-30.30035396566036,61.80842174767405,5.0,90.0
61,-19.933718827948812,52.8791022925381,5.0,90.0
62,-23.419350669313904,45.94166841548824,5.0,90.0
