unit_id,ConversionEfficiency,EffluentByproduct,ReactorPressure,do_ParticleSizeCat
0,20.63039274878794,10.285387057252494,73.86147960710898,100.0
1,33.69777989496715,25.668218151882154,68.26088687798405,100.0
2,21.46715267160545,11.796964256322019,66.95331143958691,100.0
3,23.63672359896886,12.120350336903384,68.27013534501513,100.0
4,43.69620808534783,34.09124554085656,70.19010464375208,100.0
5,66.4314723023731,49.324273670831744,68.68506693079603,100.0
6,21.48273970135632,13.562714971232213,76.12377490902236,100.0
7,18.679538472943566,12.834226670529791,70.23047131807425,100.0
8,27.96985621405671,16.472261925545453,66.32192684396885,100.0
9,39.7017720883454,29.23140311261935,79.65261526528468,100.0
10,51.93584641182171,39.57272281849816,80.37123377146138,100.0
11,23.92542035151456,10.547080202983654,67.36593599515435,100.0
12,18.916744311804717,10.591829360656696,92.7314466639849,100.0
13,23.275215048176342,13.804395399929039,63.73397302360159,100.0
14,23.416374786276357,15.425239748184504,80.1407687606823,100.0
15,38.64765723658046,29.218767545329897,61.718825346874,100.0
16,23.096096890327633,11.775891142419944,80.1057547618002,100.0
17,20.039234208881666,12.118472816850748,63.52650799440406,100.0
18,22.09183490072981,15.612630735637469,63.41609280670464,100.0
19,13.472798031450605,9.37586097097077,63.7597431926835,100.0
20,26.53385605333105,12.936614577794534,96.28516623810795,100.0
21,25.02666050771735,13.606785543711995,84.04386706978961,100.0
22,29.133774460283483,20.63435390498334,66.78820012454113,100.0
23,24.092700104644678,14.180252305007967,71.03022182307706,100.0
24,61.059131284445456,41.52568521977641,101.53545878853186,100.0
25,26.194684871209038,19.32892068806723,67.66673414408658,100.0
26,48.046685637218566,39.36536478054529,73.29849089718482,100.0
27,18.762422145463557,13.014292915513401,74.900220861524,100.0
28,30.042192889497098,22.076320575292616,64.98195113365948,100.0
29,21.05673005663607,10.79984431984539,72.1681521022048,100.0
30,42.69767068259442,28.434186521034054,98.41305191694212,100.0
31,45.98226183416385,31.751166499697536,85.57879425700034,100.0
32,40.82873839753047,30.70459527086955,81.33640802274212,100.0
33,31.29218799352072,22.518891157994723,99.66734281788051,100.0
34,40.093485720606644,32.995336072963894,67.85569946196718,100.0
35,54.300133395487464,45.5432426078277,75.46194842396962,100.0
36,60.032775020041555,47.638141418358046,93.65953381796905,100.0
37,59.40866279369437,46.475304080919685,76.13043869667742,100.0
38,31.97122012669872,24.88425971734779,56.25204367316415,100.0
39,43.296744462072034,29.981975653274503,92.23586492258214,100.0
40,53.681072163101675,45.575648470313794,66.71367330285138,100.0
41,43.087125000076696,32.91891703313499,88.37369855452108,100.0
42,38.99689441493358,32.09255558089116,66.0029010938593,100.0
43,62.53939632870596,43.677539400324925,80.28258404144609,100.0
44,53.35356095761596,38.86768047114803,62.887206964793094,100.0
45,27.55684452014991,17.816219275401828,64.53330641384305,100.0
46,21.584276897066847,9.95532967061137,86.17998649950917,100.0
47,48.352510479882824,36.955643766957095,70.80452404493131,100.0
48,46.74043611349966,33.478689923792494,88.65697143609584,100.0
49,44.3178653075895,33.595504751732584,93.90698651485945,100.0
50,20.862894841750194,12.688824059098778,71.14730780931598,100.0
51,43.98083018157906,29.859686079964384,67.69419600332931,100.0
