unit_id,ConversionEfficiency,EffluentByproduct,do_ParticleSizeCat
0,16.83181745783869,9.807534961519009,100.0
1,44.03702509011919,34.494046148589945,100.0
2,20.526787964097434,11.032676845763884,100.0
3,18.578981525802586,10.416216122568077,100.0
4,40.45162813634025,27.659310223889417,100.0
5,55.4240769658852,42.23224320425075,100.0
6,47.670656176957415,35.424723080601446,100.0
7,55.50492481689424,45.160748765338056,100.0
8,27.478051941202057,21.038153559210194,100.0
9,25.697518188778588,19.59766693536447,100.0
10,19.73862467187107,14.31291693180626,100.0
11,22.652314315374653,14.117388260832483,100.0
12,44.93818673570301,33.66883753366475,100.0
13,29.895235203207665,22.424235273015803,100.0
14,43.066354522218866,35.002695902288686,100.0
15,49.91453593244629,34.75395382325669,100.0
16,21.89301671849238,12.289232100859142,100.0
17,49.25932741350486,32.62582668834864,100.0
18,51.63912773779947,39.094223365846304,100.0
19,30.7214897364078,20.189059181951,100.0
20,48.418077490646134,37.50725783125853,100.0
21,24.88850952417206,11.523755116140585,100.0
22,31.51525425379794,25.0551648863497,100.0
23,60.711856892483155,44.46174014181503,100.0
24,58.86747310126348,41.30221554230775,100.0
25,20.6406352883655,10.912603491425152,100.0
26,25.601410849544088,15.616989273822107,100.0
27,31.979688572527316,23.256384006543442,100.0
28,34.09697769253182,25.143723387139758,100.0
29,23.86994798996559,12.289925016367796,100.0
30,23.09323906319011,10.360698350111045,100.0
31,56.651016635807544,39.98742671982613,100.0
32,22.90947188924335,11.59488168901258,100.0
33,16.592956612015197,10.537412340288972,100.0
34,30.879043630696685,19.13778139877303,100.0
35,37.957292815046934,27.12980336128405,100.0
36,37.41696753650669,22.886960391902445,100.0
37,18.52560503712019,10.588126828764619,100.0
38,14.389121141766402,10.908435309323554,100.0
39,23.656143184771665,12.372061525309801,100.0
40,55.61452081310394,45.82991504492351,100.0
41,17.329656106267418,12.594456679980013,100.0
42,49.023340272371826,36.88798544724918,100.0
43,41.59185269929714,30.537267358562712,100.0
44,32.11525215975388,18.04039610455858,100.0
45,40.55506737734949,31.81142135019544,100.0
46,49.17296172472169,41.57563758373794,100.0
47,49.48900690146596,38.89013991700861,100.0
48,24.328828968164565,12.666304547861799,100.0
49,25.32298929326803,11.386918349894081,100.0
50,20.015683170046284,9.215595588443746,100.0
51,14.542672090274523,10.207126488510793,100.0
52,21.078761129270433,12.165166560611802,100.0
53,33.99004264749251,27.460986647150996,100.0
54,37.83875547820369,31.035126316952525,100.0
55,64.87694704985137,45.223362957411005,100.0
56,21.154181822594353,9.284495177938016,100.0
57,53.242789000174334,42.43011104840652,100.0
58,39.942299955174704,30.199069146161435,100.0
59,15.469851686103238,12.105123542905542,100.0
60,55.64518391841171,45.22444180976382,100.0
61,21.725177351631046,12.579834940595507,100.0
62,54.12564200169894,42.769536604215176,100.0
63,15.37863627522017,9.817802867348004,100.0
64,18.414152558484947,10.160476639745657,100.0
65,57.52437390165714,41.115250782503814,100.0
66,44.00256896924971,30.79661329202932,100.0
67,19.939321925585848,13.886745353837666,100.0
68,27.830100051938892,19.65342555642327,100.0
69,42.64816246522953,33.7172760552797,100.0
70,46.45285378859811,40.081000056076384,100.0
71,41.17249151957681,28.95283388035282,100.0
72,13.172731117144052,9.18654001240603,100.0
73,19.637345522449323,11.924478829778447,100.0
74,19.979280185080007,13.38057147044374,100.0
75,32.663288510113226,19.412832099627863,100.0
76,30.451851872271067,15.940871210366582,100.0
77,23.021992382918825,14.47556473279839,100.0
