unit_id,WaterClarityScore,ResidualChlorine,do_LineFlushRate,do_MaskingAdditive
0,27.668083904094644,76.01265764105717,10.0,70.0
1,28.05905447259468,96.9044675724123,10.0,70.0
2,40.47648980342483,91.93472852796268,10.0,70.0
3,16.173848700280185,59.38418358232299,10.0,70.0
4,30.704060239356938,105.1721468766472,10.0,70.0
5,16.004895463835474,55.05590938287382,10.0,70.0
6,27.878064628060013,75.18371264316906,10.0,70.0
7,8.663510376490033,72.26702196115909,10.0,70.0
8,12.898340173185751,81.01245257456779,10.0,70.0
9,24.297500314585836,90.3540880734494,10.0,70.0
10,12.981711302721596,51.15458940066323,10.0,70.0
11,20.01877603601849,85.9124193480496,10.0,70.0
12,31.766260735261344,63.77026966219504,10.0,70.0
13,11.666389336513664,55.8744632123737,10.0,70.0
14,21.099858490008472,71.78315997233204,10.0,70.0
15,29.974997654843037,65.7710824818743,10.0,70.0
16,38.1350481919835,94.53100765842063,10.0,70.0
17,35.694457199512726,93.37640003065695,10.0,70.0
18,22.44872426507803,60.7107864158292,10.0,70.0
19,15.65394859896357,68.60705445875428,10.0,70.0
20,18.61747379062653,60.11043353450237,10.0,70.0
21,22.908748903154024,77.49603772176515,10.0,70.0
22,27.188000019903825,86.45069336550318,10.0,70.0
23,36.73598319775817,82.68957540018783,10.0,70.0
24,30.156525352563364,76.17755882633054,10.0,70.0
25,33.12434723670862,89.40568969237626,10.0,70.0
26,33.5356050221419,99.26752297907474,10.0,70.0
27,24.15710877290774,72.41049118110612,10.0,70.0
28,34.928221949738756,92.31827961456602,10.0,70.0
29,31.96438404246672,83.26922871889573,10.0,70.0
30,20.071690405399494,75.6909643336732,10.0,70.0
31,26.228825485165146,83.2027609426773,10.0,70.0
32,35.11082870024286,86.51529520332306,10.0,70.0
33,29.240049505290663,77.84523990892036,10.0,70.0
34,40.11393786485413,80.37420706323026,10.0,70.0
35,25.990170110677123,73.87040004169049,10.0,70.0
36,34.55565246864573,77.40070331044187,10.0,70.0
37,16.739940573911298,67.47141266507064,10.0,70.0
38,31.716589157087476,90.67794603859576,10.0,70.0
39,23.444354514302695,86.46684989547138,10.0,70.0
