unit_id,WaterClarityScore,ResidualChlorine,do_LineFlushRate,do_MaskingAdditive
0,35.72959474074125,93.61831346741737,10.0,50.0
1,20.976790877181926,73.27191051309008,10.0,50.0
2,29.382062225144384,76.325964772695,10.0,50.0
3,27.741825039187383,62.330186837686895,10.0,50.0
4,20.367217948886672,85.34322273755505,10.0,50.0
5,35.88019471576574,79.45848820768981,10.0,50.0
6,20.683967970070956,66.99979707379165,10.0,50.0
7,13.251104778336039,72.34423889522881,10.0,50.0
8,26.443404752677324,78.02001289642556,10.0,50.0
9,16.82473909968377,64.29944837261748,10.0,50.0
10,24.50198445575198,72.36228374985667,10.0,50.0
11,43.6026447841696,80.10959029303515,10.0,50.0
12,22.624397580999574,81.50593287534987,10.0,50.0
13,34.139367845243335,71.0183445484036,10.0,50.0
14,16.617684188781883,63.78565639658004,10.0,50.0
15,2.7118547146014995,58.85295588897257,10.0,50.0
16,16.495647659997868,73.7156380012654,10.0,50.0
17,7.6978287226159345,68.0201379406945,10.0,50.0
18,5.325944626319731,64.2032156456114,10.0,50.0
19,33.30291368843155,85.6434474062604,10.0,50.0
20,20.615587435608525,84.36906313967737,10.0,50.0
21,10.498893646560962,65.7870039719062,10.0,50.0
22,37.67075647049291,81.49916339486612,10.0,50.0
23,21.804165274737358,68.11378385857688,10.0,50.0
24,26.358248009424162,77.42923137367342,10.0,50.0
25,24.86450458882608,73.49544560040832,10.0,50.0
26,21.521471913470002,76.2228918845941,10.0,50.0
27,32.063577627540425,83.36088298007077,10.0,50.0
28,21.332987318899193,73.35199160173268,10.0,50.0
29,29.723104518343582,92.95212858065884,10.0,50.0
30,24.937764074993016,81.14295189506505,10.0,50.0
31,35.36230777689268,71.11290222421916,10.0,50.0
32,23.337564316077238,80.19055918718526,10.0,50.0
33,11.250348055701938,69.21426162518377,10.0,50.0
34,33.252279936993176,84.54867183890445,10.0,50.0
35,17.29176049745645,63.35424701151083,10.0,50.0
36,3.94760489038758,60.61674899203321,10.0,50.0
37,29.66460821399309,79.07449680672605,10.0,50.0
38,28.099454245382457,82.72717619652818,10.0,50.0
39,26.694068300659037,75.54497449492702,10.0,50.0
40,28.151292361024506,73.39085122856501,10.0,50.0
41,29.83389721319417,93.34664813198184,10.0,50.0
42,36.704609022968405,82.89573009071312,10.0,50.0
43,22.487071036145466,80.03855383027239,10.0,50.0
44,9.588316572641148,56.66408328990581,10.0,50.0
45,22.881278203613107,79.75205201222138,10.0,50.0
46,34.231451875332496,97.79765169482754,10.0,50.0
47,47.00754825194024,106.42629692855132,10.0,50.0
48,6.588122311519671,67.32946192310071,10.0,50.0
49,20.03805355967649,60.404305650971,10.0,50.0
50,31.98295149771433,78.7311905091861,10.0,50.0
51,16.832162475956782,67.46195345155708,10.0,50.0
52,18.030513049959666,70.38836386802055,10.0,50.0
53,31.15792474415433,81.66099794160056,10.0,50.0
54,26.2221464493242,67.31077363560809,10.0,50.0
55,34.25771526088035,89.6818756960107,10.0,50.0
56,22.588100694141787,74.56272826942038,10.0,50.0
57,29.962503093003363,72.61269405811687,10.0,50.0
58,30.787983095259932,72.96224580115468,10.0,50.0
59,24.130795796672363,74.0786260145058,10.0,50.0
60,38.56804382035365,86.67660776239444,10.0,50.0
61,17.131522153405086,66.28732736181915,10.0,50.0
62,18.624671298773716,65.72852550404964,10.0,50.0
63,25.41047181033961,69.68571254487685,10.0,50.0
64,28.707918930539172,78.8161081205898,10.0,50.0
65,7.031179504938904,67.17405653688074,10.0,50.0
66,19.5695845770013,69.47997132637262,10.0,50.0
67,12.23313103879655,75.70690128576383,10.0,50.0
68,13.932845517103852,64.51750545397373,10.0,50.0
