unit_id,CapacityRetention,CoulombicEfficiency,SurfaceTemperature,CoatingThickness
0,13.297601101425649,20.606706475960785,88.11596620273696,43.639634068216424
1,19.382626527520156,26.010289069060708,78.77779239863905,39.788889859901765
2,18.121976686404672,6.246674239889533,86.9224881635239,36.46019783957224
3,12.410988312215103,15.098082941904362,70.02518708746179,54.35198059391355
4,21.4115127817453,29.630903577589393,78.51671051043365,70.9933353179949
5,21.273630477941644,12.729153865585376,84.213069478883,45.02335113576664
6,9.193310024715416,17.679168026840504,79.76357914381045,37.09809366406104
7,12.105198999729753,29.514493382759884,77.24529219386811,53.63267430804102
8,19.984644425379592,11.809076615624274,90.95422065324884,23.58703686161083
9,17.6658366053947,24.125015462086004,70.8822534874648,29.387355675370006
10,14.514684949049947,-1.113319732504257,64.88306480823576,53.67320165174415
11,-20.775257546561097,45.02659379955874,72.38010965211242,36.163482702640025
12,11.411813881575133,16.67656584938459,64.07502596032633,58.83499266447318
13,16.604628985573818,4.79590057699215,75.5648489421798,53.218584052403834
14,3.830793064950968,12.965532692017865,89.21708615062418,39.5975093040414
15,2.3517463396336487,25.73574754099116,80.95411271529466,38.95373972864238
16,8.103786265830225,31.71812714985431,69.87875990494625,39.333476945546344
17,21.95900540757477,4.071120711294731,82.90002739204458,44.0019208265996
18,15.833653559178373,23.98898574142602,51.62239166063582,55.804017642268164
19,18.38910905707367,17.75055102526968,88.91337328512618,34.30294650934875
20,18.5404546157189,9.88791113908755,80.3135542984737,32.984283448174246
21,14.398647712938416,22.717485040153655,80.2405585275907,53.40302587322086
22,7.230625799765345,3.4840699690456844,52.60386315025217,34.43601332624125
23,0.06786268526080341,33.00614175868836,73.28354255622257,51.82900905377401
24,26.574081470208938,7.867803325358776,92.13153517344995,38.31218096405853
25,15.112555742786355,9.222611706978324,85.30837662286847,55.92802933371429
26,-5.825678170028911,25.496613847829085,58.06213692261744,11.047483213032653
27,16.68068004767879,13.812585813481133,67.18791527081922,51.554365910821424
28,21.65093984122142,-0.14346470477599382,89.69193188926651,31.225080837320498
29,17.993468083497923,7.4565740285821445,75.47113305638977,62.315088146947794
30,10.614716147147291,28.066829900731506,75.37763478288066,44.83879946955483
31,10.333263691779623,3.9536117669971667,58.072829685962496,44.501104575378555
32,15.768232569720997,10.459154474753642,89.83395907359824,50.3464954037116
33,-13.886286143223916,28.89125964161824,57.43487873600821,49.2393648911892
34,19.366664130105057,23.594965119598164,62.48087667948616,56.573581378746354
35,21.415272870722042,10.438533993146155,84.39084947608686,51.74014475922116
36,15.930251399487375,6.87983129832801,69.27357071350825,34.68829872368119
37,-11.648360648067625,37.36408836651734,68.53886068929049,45.2420805179817
38,19.612381158578653,14.27335628761515,91.27906822990506,50.35160912164397
39,-0.011570683045698082,30.509616266836275,85.13313374597475,43.956086380683544
40,14.58121914547348,8.979816824675163,83.37942604292074,38.2496075083844
41,10.264214457853004,15.540865974724388,62.355419532284245,39.486685955559345
42,15.748092665073237,7.245477533663368,58.805280710496454,25.995478494608108
43,16.772554583892127,17.793620255359365,75.2611177268962,53.05056354488311
44,12.520938551038551,35.09631079639766,72.11717172570097,50.81595634911194
45,19.82111954909615,23.917829037210723,64.37986451962779,41.70561981926278
46,4.934675008811171,37.197844846567534,69.64698197484127,40.617599935154914
47,13.021078080908756,5.9256806525497545,61.763191858587646,33.755715854009765
48,4.094527834814359,20.102453734945104,76.44674041923882,55.58145944347435
49,18.569856353432154,10.774513006945279,69.1178807137023,56.7967441640391
50,15.578601188115062,10.70934333558088,76.83208145276367,70.24193959807661
51,-0.7815750269983117,51.553155554659284,90.4245526124487,40.80296106007062
52,17.731776392546163,0.473749998006344,72.5104868457977,61.09888558613827
53,9.322292015055458,5.380602683359783,53.66841174052073,68.3621346205245
54,-2.373785530917382,37.45803511460989,93.4889538996312,27.882184745321
55,13.090164001293498,24.416400975210877,62.39693415768337,33.0780756379309
56,15.735527439304798,6.877146844434462,72.41398734660488,60.58156679843207
57,17.882444440022645,19.070720708811553,84.59721743490526,44.08702643873373
58,23.994272941579485,11.523999543621404,88.1667559865542,52.45993279826099
59,19.437609702026446,-0.22716794290075804,85.71274441951138,56.41076266544419
