unit_id,CapacityRetention,CoulombicEfficiency,SurfaceTemperature,do_DryRoomControl
0,24.747049665869817,-7.39224154223648,78.77783020446729,25.0
1,24.34114305347208,1.9841178245811815,76.6751083557206,25.0
2,15.079925835830329,4.194260923808976,67.48077664285819,25.0
3,25.677333323144254,-5.899198889773244,82.77110995811209,25.0
4,2.1801858102281937,33.314089005939024,81.4962663584068,25.0
5,20.255138183431892,21.666383185215118,84.99843968806438,25.0
6,10.547864762380017,18.251018573873335,71.91100074034676,25.0
7,15.611163480724802,19.114387902631524,67.92336531067738,25.0
8,1.8857445512925022,16.693537077256085,79.25063794310313,25.0
9,13.11890858004469,9.618353952115307,55.10096924529621,25.0
10,-3.844147043024179,18.121625816234953,86.99619248594435,25.0
11,12.957611448284682,2.533923927903622,62.43019001067981,25.0
12,20.72897604403292,7.2996909785953585,78.82508518840879,25.0
13,24.094352285472908,-5.020113676786311,84.65397947493082,25.0
14,23.978259321852633,7.986460571781011,84.87108649147756,25.0
15,23.56450206865652,21.299304195084297,87.17392441037852,25.0
16,16.40452415998278,4.464230948149782,60.68087676741123,25.0
17,19.011284844874716,-0.8591066833629171,86.61675196821723,25.0
18,26.35913379818243,21.005421826859777,84.74846214302713,25.0
19,5.72914211509515,25.06774091070927,73.05582380664403,25.0
20,16.93563628716929,11.168301918513396,63.638037830299865,25.0
21,24.780763036600597,19.028635185059912,61.134979682060965,25.0
22,9.3440420182987,0.825953341000405,51.997479092978814,25.0
23,10.540831672155715,20.83381393274312,108.03671429031215,25.0
24,14.173090424554552,28.252782904599496,76.13388232373846,25.0
25,28.182826628228682,11.163715476780084,90.59596635819082,25.0
26,13.762092602587032,12.23605371178923,67.71711398177986,25.0
27,22.272515730914197,4.993007689897932,71.91077258004076,25.0
28,12.997485319306431,17.15765928019696,72.36005912390483,25.0
29,17.830539838360053,15.880737967741553,75.54179413675223,25.0
30,8.211184171857603,20.854532203551255,54.372698330909536,25.0
31,24.266590914323615,10.94424207397429,63.45034688888823,25.0
32,15.785583608295472,19.660206310863067,81.02771802629398,25.0
33,12.490312025449327,6.483595884328355,69.75537081320003,25.0
34,4.839669883271329,0.9451788752984402,47.66533777663301,25.0
35,14.23946162920886,8.103761213476744,53.69126491866573,25.0
36,13.71524762974774,-1.6894348069335745,66.8655059823546,25.0
37,6.075956428405297,17.003248406659726,66.83164775296797,25.0
38,17.578429004055206,3.7722491328814014,67.33614295478525,25.0
39,26.360590011822186,1.74324442989775,83.60851300700054,25.0
40,21.704059492559008,3.042730315662028,78.33975790923374,25.0
41,16.367671585619327,25.19024661617415,75.18500501036216,25.0
42,23.33322808471512,26.794581873977545,79.36610284187884,25.0
43,17.621815371392636,10.429419624507174,69.19889115173866,25.0
44,17.044864682172324,22.88899520239663,82.35806935934899,25.0
45,17.684907121870452,10.981228846125424,70.5769475943881,25.0
46,19.44107970762991,11.161011135921795,80.8112568062527,25.0
47,23.136172912174953,12.970092673545512,86.16734296838041,25.0
48,23.95663900102103,12.4624689353428,101.31433565178968,25.0
49,19.726457671391064,34.41915742601515,77.84295006415155,25.0
50,21.025908799367816,12.593595016207091,74.90537891011925,25.0
51,16.090522894636024,8.83122387960833,64.82240016432112,25.0
52,20.391179771397297,18.187806673849284,57.09056906943581,25.0
53,22.859136418168557,1.4842755558821477,69.30570521431393,25.0
54,13.096926827016842,18.626658602059308,85.89912348473445,25.0
55,20.620261873495156,31.881233361173496,72.6312893082838,25.0
56,16.74085619899983,14.123382738203965,87.2414911519217,25.0
57,15.497027844761952,1.1075222163171077,71.8755431545645,25.0
58,24.517526254601083,-6.952943629813056,88.33987657775822,25.0
59,20.58293712699069,20.21299880409405,78.96385980756202,25.0
60,15.477073705288781,16.56653499034297,62.329464561705834,25.0
61,18.26417798630736,5.2878408600167806,64.13000538602874,25.0
62,17.253960036223944,6.116731399843785,75.90784355654242,25.0
63,5.75032716381693,4.384370644376679,55.65483187847658,25.0
64,24.698285225125993,1.7096990264206369,84.26418542515538,25.0
65,20.557867852307467,18.97717596673896,68.60781005472232,25.0
66,27.65552469698754,-1.0747913848674262,91.71168705565152,25.0
67,11.228080661541535,9.115464985510084,73.33726929643343,25.0
68,19.972029353088143,10.641209517119261,83.72422919208628,25.0
69,26.43974890030494,9.28068660111063,83.11295429222295,25.0
70,16.193154202653787,16.54691768684083,80.96863970428376,25.0
71,26.119230484845815,13.127279935735439,86.67085000173219,25.0
72,8.89823515738084,9.691586572560471,61.01326134282295,25.0
73,7.892380501863338,30.118667146132342,68.25638299866291,25.0
74,19.658993938252074,-0.9819084960681206,73.6741706082661,25.0
75,10.259903545548209,21.491403474376902,70.50317284946621,25.0
76,18.64231254975792,0.6031339412647192,79.69439800460566,25.0
77,10.716451042828156,-0.6614519447599747,99.00315831047041,25.0
78,19.029206443442543,11.85994268000238,85.6013432341903,25.0
79,21.060954533104315,3.7563429827017485,72.12720689581982,25.0
80,20.004045300395628,11.772736344167809,69.99711096884852,25.0
81,23.852679839321688,12.3900010109394,76.04049741435483,25.0
82,10.052215808989846,19.793496688909293,66.88197377459396,25.0
83,14.274147047643762,26.94586135617748,65.8399393353047,25.0
84,19.93643837878913,11.81036083949048,93.75231712671949,25.0
85,11.569928279653311,-2.36596817222636,60.28548419265905,25.0
86,18.961042333037128,6.479720906953775,68.85369181927571,25.0
87,19.419340072881106,11.793066933412536,76.52634156451144,25.0
88,13.392421770560222,22.742913882023302,65.37601882110299,25.0
89,20.071344034064197,17.652557813959007,69.90295293137949,25.0
90,19.474117576478555,12.163780520283382,64.63251685768208,25.0
91,12.87540363551561,7.509365800594106,72.47760248483814,25.0
92,19.546792329435583,0.2411346308024367,80.21820613345139,25.0
93,9.934666102616115,17.82244119763434,48.20219030228761,25.0
94,17.901274864411253,16.23308576298581,78.8361115718413,25.0
95,18.452112398679887,10.708718397031527,67.52561457995448,25.0
96,23.587653461983006,17.16137417471733,94.0623155672935,25.0
97,17.206388708745248,24.761824666339393,63.25242433154872,25.0
98,18.29390927811766,18.70030620129185,71.97056243230693,25.0
