unit_id,CapacityRetention,ImpedanceSpectrum,do_set_CoatingThickness
0,1.1460623175515896,44.15167880126079,20.0
1,9.835989788012165,38.53707269147367,20.0
2,-9.001011633213047,57.63858458208137,20.0
3,8.833988323948716,56.88130579220094,20.0
4,59.87832939997381,25.034259477780914,20.0
5,1.980954640743514,54.287405305814644,20.0
6,5.305963190735204,50.503613402899866,20.0
7,-0.7154935513471437,45.63214224931919,20.0
8,11.741291410525692,56.37888999000656,20.0
9,13.823273949309907,27.649638721477714,20.0
10,17.68077119573178,40.31777854808661,20.0
11,13.183608132931475,26.233038027485517,20.0
12,9.785816902965877,36.654560201981646,20.0
13,29.822283861581326,22.134380722425284,20.0
14,-2.0625393272899544,56.13488243294603,20.0
15,2.5427011752030446,47.81849541918238,20.0
16,-7.3017785799582695,41.98436557138882,20.0
17,-2.08474781770191,55.9687082068374,20.0
18,2.6220314500470763,52.90998023166667,20.0
19,10.140556752484454,42.576263249133525,20.0
20,3.248810872179349,47.09176972266049,20.0
21,-8.391775756302524,55.68462388444236,20.0
22,7.2920307226817975,41.27730799857118,20.0
23,16.338799549333203,38.04952762783697,20.0
24,10.258611926904813,39.473651650867964,20.0
25,15.378419929125199,37.087506763047635,20.0
26,8.887730863852441,38.41469109331686,20.0
27,4.898259925794328,39.05508086181859,20.0
28,-5.230234850862756,46.2976104662754,20.0
29,5.158229543450577,39.211029427353715,20.0
30,4.073300311882465,54.01083384545319,20.0
31,19.62748160770492,49.347127768171305,20.0
32,5.367459765150352,57.27031273575826,20.0
33,9.252876879117377,44.14837240891894,20.0
34,-11.319014240980984,55.35165820835829,20.0
35,17.484761953139255,49.013953220614916,20.0
36,-1.8890110659240058,52.22835449251833,20.0
37,15.311195500606825,35.84536876978699,20.0
38,6.901026314644625,31.774014800468102,20.0
39,0.8294574233294645,40.07985476334262,20.0
40,2.3116205464089012,56.56621392626775,20.0
41,0.027121334206952064,52.44338968841899,20.0
42,13.703993894953706,49.08106550800868,20.0
43,6.397249305012108,29.803502990001025,20.0
44,22.252991743753217,56.8634858618942,20.0
45,1.3668566680513576,42.90927119911831,20.0
46,6.673573836657483,54.37060985269044,20.0
47,6.324170713083977,34.42697303983493,20.0
48,16.064197676320024,49.32437534099281,20.0
49,21.933331659604896,48.5033450021328,20.0
50,8.558771756371126,38.71991611367173,20.0
51,5.641661639792103,25.06619296573766,20.0
52,17.779158118923696,49.14787554990116,20.0
53,-9.00012977673621,56.29740379947898,20.0
54,4.629154219429244,53.95875603724128,20.0
55,9.093344328526001,42.09593651831938,20.0
56,17.700039211738183,30.620241272556527,20.0
57,-3.896862934637598,49.750082673371196,20.0
58,-0.31147630104366364,39.91887534421629,20.0
59,6.728111684540638,51.23432267110566,20.0
