unit_id,CapacityRetention,ImpedanceSpectrum,ChargeRate,do_ChargeRate
0,-4.098475005939784,49.28633839035889,39.45978653914435,40.0
1,2.103761347555161,52.19850583762489,42.619999703417584,40.0
2,-3.9192970751332323,50.31924294320745,40.80988455925382,40.0
3,3.9058602371852116,46.019431908306956,36.39441759977881,40.0
4,8.90650049084867,50.056380925187284,40.243973433922676,40.0
5,23.811886112664553,52.08985133657073,40.9743925438478,40.0
6,-1.3889356629412017,50.46325273827636,37.959169135827565,40.0
7,-10.430972609712445,55.34778645616038,41.4080341517156,40.0
8,9.791621068943556,43.88183158233089,40.91139129764273,40.0
9,15.065768915451558,45.85026331993631,36.60110115752704,40.0
10,13.75732581563347,51.1004853571438,42.78445330317449,40.0
11,-3.671065661861018,50.07070885538367,42.22556279096569,40.0
12,-6.176734718387549,46.72493530116013,45.0412523221439,40.0
13,3.978175175477584,44.024008705083574,46.98222813905047,40.0
14,3.988580382759638,47.16127237603047,39.902349666484895,40.0
15,10.262502148678237,45.692050533556355,38.49303950472532,40.0
16,1.955602768810134,48.060624866283995,40.27905930757698,40.0
17,19.475230125841176,26.4473465738489,36.0177809224768,40.0
18,0.1367149078593286,48.83775517123851,36.49739901131784,40.0
19,-3.0383092074967086,32.02078921736388,35.113683848015484,40.0
20,10.500440762730259,44.95844831583863,45.37996227931786,40.0
21,4.958685827954729,48.329873749403795,42.917612512565064,40.0
22,13.805726143246746,38.6108600249633,40.866287627138014,40.0
23,8.026884880137333,43.52045382777975,41.09515666181765,40.0
24,39.470259153849824,38.58182744531039,38.784078752352634,40.0
25,1.0247176716142201,51.47243801879936,36.64848269177617,40.0
26,22.465058520107934,37.38538205236136,41.172374873366984,40.0
27,-7.965554175112071,53.73895311753917,42.00591122654663,40.0
28,5.865787382717613,47.77123849691701,36.57192862129312,40.0
29,-9.453742142412477,53.47634900949174,42.16617416029462,40.0
30,30.834720896431637,34.779024344969926,41.92214846941194,40.0
31,15.121387169918515,49.12846166752444,40.67330811071441,40.0
32,17.437658369720175,44.77525908239851,37.393702446774135,40.0
