unit_id,ReadmissionRate,Sodium,Creatinine,BloodPressure,Hemoglobin,do_diuretic_titration
0,67.53132923827718,44.72017242199336,37.918511922936304,51.28470630089278,63.81015650347327,75.0
1,36.21684091075403,40.92662435981748,51.608636527213406,47.31649297714728,51.71900109072338,75.0
2,72.05944700278677,47.970423779943246,30.00251653393232,55.07890566803965,42.30602768461908,75.0
3,53.70863269260565,52.82309378544046,39.282237455613085,24.522882594169065,57.350767539366075,75.0
4,41.659065995850824,44.04848521652402,25.244906070187152,43.76894213876068,52.63335899791943,75.0
5,37.04334655384045,53.062273137355355,56.513535847705576,77.63431134563523,54.70233356725799,75.0
6,36.82095929666439,27.812795585452353,33.06291730278103,28.608246013044848,43.89689214452248,75.0
7,43.06445016706906,78.79168026672339,57.510153052768324,50.226286487290835,55.71075632626021,75.0
8,50.91267175934325,37.948673799592406,62.986444540623474,70.30616004198416,37.57210884182783,75.0
9,29.86675865240807,38.88684467173671,65.90513546351845,50.18094775053632,44.156992702197726,75.0
10,33.08100865535452,46.768999087597834,50.39354864731017,48.1973215746759,51.687410751680815,75.0
11,50.80310999564943,67.27017858454401,55.49265128470002,43.54736201578877,22.849622208149313,75.0
12,70.45673215070082,54.052465341335235,44.977319422727284,57.62732980852943,60.00836132501597,75.0
13,53.132499228870124,48.07781815415958,54.80314034926269,48.75236846641819,27.6596088214169,75.0
14,55.13378959413332,60.227567388043894,66.46525002785815,70.78587062948999,50.38737698657569,75.0
15,79.17145392499575,35.78581148355391,55.786964436768706,46.64024087108957,45.79536455127205,75.0
16,51.13725968193087,24.99976797492367,48.55142024891287,46.66969905776982,36.3229453570009,75.0
17,37.378836253986414,77.26913093050334,54.624998859480655,52.14120891770045,34.672136955457326,75.0
18,63.659563086126425,45.35323376393429,51.248691138401334,36.3029769684523,78.34374502354856,75.0
19,61.72145016691363,47.369582458223356,45.064500592458565,47.70715715021619,48.32036245013087,75.0
20,96.04380811150817,49.193711246673,53.89233586282966,48.769711298597116,76.42602770186757,75.0
21,21.6878565680276,47.60281590384659,58.27650337875171,50.19577210132802,43.68141316732159,75.0
22,83.02974706355674,35.1419946912897,44.04790018791706,62.59351722058761,40.89332665872229,75.0
23,42.69519567129244,63.60317925974859,42.39626420212559,51.173667209214294,63.357181686559514,75.0
24,83.79973631406676,43.45453667246315,47.16077807777866,61.06476579405842,61.785252715946356,75.0
25,64.51590559012946,44.29991979684986,47.11118854581321,41.76290963558424,43.17187796737316,75.0
26,54.469623965055725,44.13442117151366,39.53367770514012,52.28319958775678,69.84166253209513,75.0
27,39.22638762407467,52.185983477052986,43.04450253267636,38.398318470625846,48.4626666361977,75.0
28,53.430089464759995,50.74362460503858,52.581265653480926,49.512758422503616,60.79746203347946,75.0
29,41.59856812733323,54.15799493501199,63.65099881062968,67.2425888240911,49.940893975643036,75.0
30,45.92256094180926,61.03167018453447,50.569116719403915,64.43584622068904,38.40638144366199,75.0
31,41.96698317953938,39.8613096616133,35.979476997530845,61.177583037871806,38.222578854687555,75.0
32,40.02931657496663,38.84777562320886,64.75056039157818,47.116335847963555,22.366476902278098,75.0
33,40.62363362322159,39.25710372309487,25.91438602910467,57.79674523250869,51.13967590156423,75.0
34,51.252019740149564,52.951262547421344,62.7218369542251,56.06734942025042,48.95189749983208,75.0
35,68.10018089146965,54.669289525871555,36.100044953239404,56.79749922659799,24.02167747025385,75.0
36,63.363982641580336,41.64140992298826,48.482653724035195,43.759063369177056,60.45499909473679,75.0
37,78.37598154531746,21.621656046259602,44.091666566130804,22.064007349966268,57.727939535313915,75.0
38,42.311452325217665,63.2561078043191,31.288699349966937,44.37198664364834,68.00487478747948,75.0
39,60.107843748850044,56.471241318492076,44.30392769725344,45.25857504807472,45.18803257035198,75.0
40,33.28826515529377,40.960867518852865,47.98808551032769,37.138003079910554,49.595353233154725,75.0
41,65.87796531965117,47.77906193092994,60.81257731540517,56.10499765953324,49.98607449589036,75.0
42,31.83844930650876,31.405903408668536,48.81508433752274,49.744492600288275,52.910007260510625,75.0
43,66.38769248649773,20.895004525854734,39.68387286780449,70.57389037903326,62.19317654970788,75.0
