unit_id,ReadmissionRate,Sodium,Creatinine,BloodPressure,HbA1c,Hemoglobin,LengthOfStay,FollowupDays,MedAdherence
0,53.433471234587,39.926184048275175,74.8832446948443,51.89351616844236,54.27667220162334,28.001589199046947,44.3758666640701,63.320491397891836,23.419260450602
1,50.55720339290272,40.9999400617503,34.66660522646554,57.90543605539818,65.51796396527358,35.331854266828714,40.66551235821077,42.31368370092852,50.151816937972036
2,44.36589952065112,31.953965674409375,48.22500755868318,52.50131417682887,52.58732467801076,66.49307887235824,22.684233753589776,59.81301673685514,44.77873829522787
3,51.92154927611899,40.41392306794977,42.729245274508216,71.55691625287845,60.37938352308342,50.46116404982729,48.02820150598648,34.22041874350108,59.2849465956009
4,62.93529187531104,47.515242014978455,38.76617754915512,41.09012644824976,52.41929506917944,27.86243103303936,44.58888595538197,35.32169521063901,48.13561786528511
5,74.57425978496087,50.831803546484025,53.26652484543367,24.2887582350005,41.379783205210174,57.51241571275696,44.097429479096945,43.825592064222676,64.7956904752551
6,38.24934310044877,50.64332575234742,67.10368381891112,54.63235599029541,61.331252869131326,46.05021935240022,31.844733711176247,65.83348677109217,48.43436393293469
7,39.825526266575324,39.46128063172913,55.09652165987268,59.64231838013461,52.242895115601954,46.640861321427074,30.636017998429303,41.99454080261167,62.564555200634366
8,45.34298995810211,45.49962361529659,65.83868873735472,73.31879319609364,38.10840839838033,51.3814293986422,43.562130525951474,43.69892509608376,44.59236721275812
9,20.067283278091125,61.76321767773454,54.54217801557059,45.284576324746176,50.16294819567614,61.098481943172196,24.637772327510607,57.68524613492541,37.46270578552169
10,56.92778235921743,47.719078262006576,67.81720555523603,40.51624368415479,81.73889060008034,64.77479901981945,49.35431297604349,39.2494669838875,64.378938270417
11,21.04742754807167,60.54166871505414,53.4343896445573,47.70679309349403,73.0881540765182,65.67138030201758,22.690729615133765,49.35959195524582,35.10637812378313
12,56.942366142461225,42.03957378771904,79.8726192591622,57.27831303980306,58.21074221490864,40.722363162667016,45.61447468435064,53.85750776409194,49.653044607715096
13,47.58470028627063,24.74878271396017,31.71209727883145,66.79545792700475,60.487823175681804,39.82505169873159,47.431812208676746,48.79169245810233,41.94653912112312
14,60.351102847925084,61.62217751238149,45.16369153897622,63.76104272440624,53.370161818745025,48.51912532848488,48.00061050332544,52.65064976784016,37.04673002558401
15,42.22991524998878,42.97783915280668,55.688804888124544,56.9261986047728,53.0781335332895,39.137111401132366,48.96749778655057,54.999613313460415,28.01893026664597
16,41.18869013133409,47.426310885130256,55.203821946855065,54.12689420183658,39.17723514234818,34.41190904088287,28.12595256412654,46.74893601253977,60.464617180341186
17,74.91884139953486,45.14890095279659,52.21750502331256,61.8708973113506,37.91090125147624,59.121380802357486,51.445885364913465,28.55887274671023,50.492140164556226
18,63.61891101490279,67.0516785774029,38.7473783150335,39.71982226111569,35.093904901189454,38.26474056051768,56.96562772626288,61.70762008067819,52.432480906960144
19,39.42241272605539,60.857743696214534,70.27068946464047,55.89060732636178,50.37688206212138,46.67462313479032,36.08665366332767,37.07933133522599,25.215556998565603
20,40.49925012895978,55.69506675121102,65.2570504638759,61.69443179384724,46.03126534223814,39.101408115468736,28.150325513103052,70.19904244791809,36.032588830626814
21,50.59759542473212,40.863451324840824,29.885027910338234,62.719855358143,43.3944909500929,32.05628768935224,25.896204967869885,30.665692942298886,42.95687375259673
22,32.86731439463901,37.50653528108997,39.84434255546753,37.325562482186,43.61647716271326,29.32234364468489,19.088531724364945,56.42975173521564,43.23962296356513
23,67.9111268030487,24.8259838577067,46.89192367152353,54.10353155633902,55.2262898346198,57.31133631860443,67.8168118615793,41.61363176549762,72.26771199652084
24,47.62841235345088,43.61737495345619,74.13996603993344,49.06928402308063,56.157888243986946,59.02803768968218,35.6515450260962,44.73781629231738,58.07124497599268
25,75.40477884107544,43.15684114952289,43.126010424639674,25.71570852459165,49.757605097855325,72.94365917820201,52.42442718050307,46.710584253461384,54.711906078890316
26,57.628542683545874,70.86427376399692,58.470854900141205,41.79689438695834,69.4169849287266,65.54073793249015,40.74801046348943,33.743057545651645,30.810322317237883
27,51.23065912441449,39.91064653956202,42.18000515138705,58.94706785148057,54.51907033935698,71.44729639249367,41.0191838122415,56.55878400626963,44.708609972384636
28,51.65184431473662,63.157346637073616,54.58988651172056,47.86332973662646,48.711067883360535,58.44667298199724,42.47011578922218,56.78893617769655,28.57784942776209
29,49.49634579226058,53.2265316709321,50.80002392710749,50.9721819244724,34.56965751076591,44.94657288181578,40.9141762116068,51.277316951444526,63.93633687270216
