unit_id,JobThroughput,RackInletTemp,CpuClock,PduLoad,DiskIoWait,JobQueueDepth,GpuTemp,FanSpeed,MemoryUtilization
0,36.61159101764557,42.89190960984439,55.20343700340337,45.353494612721875,63.55426260067698,47.51098197979238,64.30689169631847,46.50738708880772,57.071817234039706
1,33.856231691850304,52.45723361600512,50.18866726246215,53.099347617681744,44.76517744053248,36.42441929876467,38.17066210369495,57.905041203258136,41.83813093840059
2,35.121666013957054,36.8596240009832,56.16412248729431,24.2589764742344,50.450937208731574,50.97799808903102,45.41277758045281,41.91583307899865,67.75610704756741
3,27.906009832223436,44.26295138677018,35.378083650998185,49.3805450902319,40.43741886091596,51.08080137348351,64.84745199438453,54.02707737944677,65.19293350174809
4,40.117099693111015,59.25981019674808,46.153207690301144,43.8050255982763,50.05320827841844,61.72385148576787,47.98186948735902,36.21866250490536,39.02918597493299
5,1.666089858399491,74.17760050659625,67.92613311295565,63.18453839109455,59.38637857208113,54.36864697374022,48.69110137746847,65.57729488321604,49.9116292937729
6,4.945038483778956,75.89280267163367,34.913872329042135,42.01425635460114,59.602224733184926,54.17585132511773,57.73475493473522,43.45355709336353,44.837830569213395
7,13.898817372641089,60.24879491475403,49.25721310253404,27.282279710239916,36.680233552605,41.463195099729305,35.10232874331247,65.3374175572607,20.169686239920907
8,5.621931545309466,64.0634311060902,58.754835038153544,49.647344001415014,42.30179800283595,51.41140214303991,36.31335796665345,68.50606582554134,55.77891200690157
9,38.084452627807245,55.82678215193898,50.34936384833506,46.13341372571179,40.226966536756684,21.90415249559091,50.626977365211104,73.52531554282845,46.162151946797465
10,10.535767363639618,61.57088793249712,44.83792854975972,79.42523274023709,43.08942751543905,59.05795710153948,13.523357088720747,60.46906027761636,56.69181155618169
11,17.079718687221693,51.7997784315175,46.631220381490905,46.506668153824094,35.57651460909689,49.343525611933444,26.56589434688327,62.96018593103648,13.142431289796024
12,21.505932585483155,46.067814803454674,57.32923168876302,80.01954095904941,44.6143823816664,33.06723566158056,60.36109075211702,53.57227874434981,62.49373900388399
13,-2.1986251671081227,67.93981797859338,49.915593505845806,44.77430428866147,75.99298465929051,54.28016781401256,33.900458661075874,61.01157841083942,35.74542484030111
14,12.87427758261039,60.82055706116904,62.256656369823034,56.34062231085585,40.79018746333754,50.65681502177598,45.336893669478975,70.3435464836343,23.331767035314606
15,35.20376827620777,26.405745922879728,47.896634338793795,37.350337456183915,66.42027543596622,65.42435248280326,23.512724415467943,65.68176080832784,67.14829019179305
16,26.693356397278404,45.64335406329148,48.98318552094125,50.45116057859371,49.871513049305726,44.244104324737826,69.2483418782008,61.94518426609551,44.14934598453175
17,13.857245672946114,59.940556676677545,52.76374178426059,62.957061329536785,58.463681144045914,65.39190377912367,45.0496964198375,64.36931193194651,51.04885574712836
18,22.50671540059039,49.99743992641649,41.075111022112466,50.848029644467445,37.927608584600684,65.18859947656394,44.86734150826872,57.878146081863754,71.0033767520421
19,26.693727704879894,40.22816011228882,44.68655706270153,72.2289862887517,26.09716520976167,55.83012184700793,53.88155049394557,58.04347110127778,46.347296042086114
20,22.330242255521227,39.46995515423126,46.52989065195964,25.062962198151396,74.2880187070972,46.79803928185706,55.760794908879944,65.23077822831503,70.4813600619322
21,31.748390326550886,57.54782681988455,53.895745360313875,27.400273594677824,48.70982883635386,56.83196385367993,61.010479313360875,66.80430697597563,46.65534954977019
22,34.69471876887105,36.520978525630156,59.26321771890914,49.211337009289785,70.19072738740716,35.376378150084804,51.45556570311858,56.29396058944731,45.19641170999594
23,14.715045016256271,71.79499769673407,50.77056505413791,43.96866106256277,46.96513756384549,32.0763765415273,46.49709715344832,48.486200372764124,59.67539500094725
24,19.42997073177327,28.68120371748618,58.192325628358056,40.58751729151558,41.50113916634396,37.85528358297636,52.56880589260522,52.1350516012174,56.17058209242858
25,40.25273065764333,33.96442486513206,41.06716504494986,52.09242159718055,49.742957119262115,29.44453579788111,69.74830747287197,57.06528831853908,48.776084781368546
26,7.833769133876856,50.032674422049595,51.958988873077054,42.344756941716874,57.50610224653811,46.4727475553621,50.40480138396184,50.238015395592534,39.33510530379984
27,12.739601784334285,58.62352732222889,41.19563227723732,55.994156365294806,80.16480408760776,49.45366351720671,35.08443321333361,58.39382561847472,47.204984977162226
28,15.21920696386461,56.00185595412659,47.24572496628852,66.27288787963421,26.54137377697731,52.224271263838176,53.965768986750064,63.69473363561065,66.6601880324604
29,7.15729325305183,57.59674698927199,62.67467042516453,77.9502170807638,73.19241400176153,59.10794874604391,53.696251334262506,72.76468968831338,42.27323570869131
30,10.616649946226064,63.58640790797056,54.81852703625974,64.05297728172145,65.91047378468159,42.56110433137556,42.1921766626836,61.63094046737853,35.14848523993122
