unit_id,JobThroughput,DiskIoWait,MemoryUtilization,JobQueueDepth,CpuClock,do_set_DiskIoWait
0,22.40568660612879,82.5866924520592,62.879077415964545,65.49781959034625,47.7922657468213,80.0
1,20.20528200344364,79.59133132643085,56.04749943849567,53.40358455888435,62.882471633307716,80.0
2,27.174409227454348,76.46667982801871,62.48318964572559,41.087591222909566,28.131710997419425,80.0
3,15.502098780543644,79.07678187748841,27.055647244799683,53.81381663042107,60.42081128909112,80.0
4,19.309078322920524,82.98194966547018,41.851350038148865,52.6902976811332,51.769140740904184,80.0
5,21.734113214236014,74.02780755812863,55.17095260411993,31.637848388649658,47.81600969296051,80.0
6,25.982523734730464,76.02005278249776,40.47187564650815,56.52153112582573,54.04204471604487,80.0
7,25.02466451213354,80.45092509307928,35.19552253761013,62.555169007800245,38.35767911026685,80.0
8,25.73043057777689,78.58255840413509,42.21470191798019,43.0936180825706,60.194952416784936,80.0
9,22.178957257526463,74.70753534627961,73.35516696614455,42.210840757135976,48.86560522862787,80.0
10,20.275779013812443,82.79118986214927,47.35882975135194,48.01617074580489,55.44065655227533,80.0
11,25.135476874968,81.64761361159435,50.401852564916865,63.02709816404144,64.7141248445279,80.0
12,23.32686235806921,78.50007926320271,56.51534038542265,30.748679050159314,32.217457709888826,80.0
13,18.698407535560257,81.72297830271519,47.22392047804546,27.939471909785905,62.49220613293822,80.0
14,19.926899260660715,84.46598859348185,47.98635896287563,50.912918516444336,34.42757484863758,80.0
15,17.99823396207593,81.1239164985406,41.75994542423383,66.60990454556851,26.830260940648873,80.0
16,27.520820512019387,86.44424593131002,24.30153777505574,59.04050492401943,60.29110608475325,80.0
17,24.036749297515772,80.12721881929407,61.84480747607486,60.329957349053295,43.17817459540823,80.0
18,24.648965980952237,77.16130645472062,41.6308930238096,35.68706838753402,62.31602908586294,80.0
19,19.579890279378837,84.48353507314948,54.18462163512563,54.049654126717556,52.48126969345467,80.0
20,27.262739288031597,78.13156642611222,58.82448931036067,49.17915308973959,30.425915798721142,80.0
21,17.346487933027632,83.45682496364375,45.14961260921063,54.0146031511579,46.74374326203624,80.0
22,25.810184263586617,75.08427945358336,51.08316683733863,50.77707696233818,48.9049332045449,80.0
23,18.46818082926643,80.15263504192703,50.463283829105656,52.387774687997805,76.0715418579106,80.0
24,23.976021432292374,84.19938377221231,47.616868464683236,21.726365402549053,49.10763076900702,80.0
25,26.163156419036714,79.64693561687922,35.028417343695615,43.16027760849373,79.10508679262962,80.0
26,19.123990139970108,80.70583151429103,34.86352118398407,47.25893994854307,52.819276959636156,80.0
27,23.305725198200918,81.26714539509301,59.28857504290912,60.25570806019305,62.812266533269565,80.0
28,25.716676191374674,79.50609333705277,45.915265950513636,42.490163695080675,49.17960318123915,80.0
29,26.00482353575262,79.71921665620197,49.41117244831199,58.931041694008655,59.71672913537224,80.0
30,21.302000239931697,78.0030808713949,42.1622485157009,49.8643049221071,47.271030407197,80.0
31,29.119597598461517,88.36658642378531,55.15301921532485,54.395369754291636,72.76304280833008,80.0
32,21.28972610297694,80.52284426242255,34.319215199087616,39.33284176817029,73.01923153091364,80.0
33,30.12929470781692,75.3944742233189,37.73076385542251,33.18036164742993,22.949936337532563,80.0
34,26.687868377182248,80.21245502924063,52.719595625659174,64.22272278877618,25.512716888217547,80.0
35,21.72741734032111,74.46011454173532,79.80652769508004,55.99900234685622,47.24031686218816,80.0
36,30.707666498330724,82.23782670530352,55.401043774510555,65.27988486378757,47.51202425379844,80.0
37,25.514860178807012,77.76918092633572,71.0458070798526,50.68001728779943,58.26068902804703,80.0
38,17.564795563675553,84.1854996232687,39.36595718413098,57.6614352599055,45.47339467612631,80.0
39,20.195855521839828,79.89419409338879,58.79934771845825,54.81914600092344,36.62498778289233,80.0
40,27.90010694731282,82.25996605102182,51.57602641137667,36.086056878383566,33.15732204694582,80.0
41,23.39221431212451,82.95898111158782,58.14359971810173,58.683934335226496,39.68170050346226,80.0
42,23.89283709044812,84.6246106538406,43.83942923403643,57.315653758488764,40.98557952992773,80.0
43,20.83307839893075,83.87353946220612,64.33545171199138,40.22839154880921,38.70198154552404,80.0
44,24.041435782183097,77.08854385609033,24.03383157385836,42.88488671678035,59.53932056624809,80.0
45,19.515550679527074,79.44092323199507,53.262144284354754,47.22614874136613,53.39903164389583,80.0
46,26.808866167965416,80.01241016831725,35.64363675629498,67.26746867320487,74.09956722735652,80.0
47,17.126038842288168,85.81849963417287,56.14516088352831,43.69733454150157,46.46026056007924,80.0
