unit_id,DiskIoWait,MemoryUtilization,JobQueueDepth
0,26.819624933421053,85.80488854498897,61.93323068472478
1,61.70777242977669,43.40283841859683,65.71367538494857
2,55.0619600664119,31.54238875832904,36.91768812721249
3,54.321977322507166,56.05942738719564,57.436494823570676
4,59.36351191522357,49.124042527779444,62.802092044874186
5,47.608550650232075,65.92807957395237,61.33722805720979
6,41.96035370963982,58.944651987751975,63.991296706961386
7,43.76804936913161,58.42481127652555,42.257059977042665
8,43.57335908061238,48.91667105684979,29.773281822173793
9,55.753338113950385,35.435309724696694,53.56300092208369
10,38.86065837451403,64.88620441698006,56.82488781370677
11,58.455499239187034,49.56637588865382,42.00521797324772
12,45.43080981602357,53.91041637466744,51.05377413185539
13,40.90848819714625,40.448575440406124,56.81443606278314
14,59.53826764323735,42.75672515792844,44.57625847133181
15,59.093983298609295,32.90948559585514,47.88759680037978
16,36.40589705608273,42.63280315516178,52.33181347008258
17,49.54240243040114,26.16029484070582,74.1191487828304
18,71.70369594910304,56.88265784481703,35.961310034729095
19,40.405106372057176,73.02187687890074,51.50049491695987
20,62.90949217692012,55.82032198185012,48.71384498993365
21,53.054645252647084,29.991879823999852,43.25032888409083
22,29.76161670257864,59.56046893362798,54.51524216704333
23,45.93681560518797,74.59493932354938,31.246587955319143
24,55.044850270466966,64.63794761788654,62.57482610398575
25,61.69162495488065,32.7444695828233,38.65653822306274
26,61.31535606454436,48.923459764047685,65.80343169801871
27,70.40480231473393,47.7191198105055,53.78935962092041
28,36.31337712268389,49.09804174432977,64.7468165119132
29,54.984694247567276,43.90510320302169,58.862317454541355
30,35.884201607045206,54.22182953797915,51.05318722425168
31,54.3611294470386,45.707406939726724,67.35383439291004
32,45.528345198789296,45.39632694078188,36.501257200400154
33,72.5701096443303,96.20271716856483,31.497866110413113
34,35.61750154138006,49.85326440269436,48.90786973202522
35,44.93938472804407,52.5930703485211,36.23622666255218
36,65.73698370408664,22.89239169243972,39.1345750015072
37,30.694841894680074,35.34122515923671,73.39707865152405
38,38.77622674464843,61.70359437071845,41.694037290830785
39,56.14068352113905,54.112320141797575,62.47436830121707
40,41.43275914380246,35.72897195003782,23.45630273885124
41,70.18654486528303,42.27827387545492,11.924630667670908
42,73.95176465874198,41.49269632393065,61.45770671934439
