unit_id,JobThroughput,DiskIoWait,do_set_DiskIoWait
0,25.780098644090188,73.91366933624248,80.0
1,28.849531322666618,77.07940154997037,80.0
2,22.369705224780972,77.52965550162095,80.0
3,26.646664650051022,74.61090664816113,80.0
4,21.448624539037063,84.04677584341918,80.0
5,23.48244589159304,83.78736403087916,80.0
6,23.52278757820231,81.01056449175115,80.0
7,26.864048020965452,81.73382402576458,80.0
8,18.5098158565118,79.13953603718043,80.0
9,18.395821922940407,79.90766980648917,80.0
10,29.1515604937676,75.45643641527059,80.0
11,18.009199919900183,77.58026271933205,80.0
12,22.694074412712393,79.01154010452704,80.0
13,26.002417029989022,74.77279367832571,80.0
14,25.285356043477435,79.30129547149993,80.0
15,23.02667171750585,84.11563143180761,80.0
16,22.08566533861399,77.89901860419747,80.0
17,25.25951776021571,75.26758794566824,80.0
18,26.943225505557788,83.75868665513049,80.0
19,23.667867519917028,82.04913003244171,80.0
20,22.323225994827972,80.34223194759842,80.0
21,29.717550813657404,83.0542693516799,80.0
22,17.47969259707493,76.99295930456108,80.0
23,26.872764814497547,79.21820084097739,80.0
24,19.003908857108375,86.245156381396,80.0
25,29.55737670908024,80.29266355668469,80.0
26,14.30107029248499,80.81635821142561,80.0
27,26.322572947836626,78.46657610787746,80.0
28,12.885971701875349,82.64516703846488,80.0
29,22.719304401795934,81.78664716693615,80.0
30,22.588842415972483,82.0209655207296,80.0
31,31.79726141393091,79.73531483676791,80.0
32,22.321502106984436,82.59903797049131,80.0
33,16.703548249042502,78.42683086256203,80.0
34,16.04996605227948,76.11347911830623,80.0
35,19.54075944865817,79.28673766462961,80.0
36,18.13479018681791,75.59301858214819,80.0
37,19.853488097881435,80.23262783306201,80.0
38,22.538585450785522,77.5688193817878,80.0
39,27.08721691774221,77.18669143416547,80.0
40,23.110005323910016,77.83138022826239,80.0
41,20.43705799649061,85.32830253767787,80.0
42,23.65417944769914,86.0492699467589,80.0
43,21.686343156507967,79.89028840482494,80.0
44,30.669991518312088,81.7741563594888,80.0
45,20.88513523829545,80.43695249095911,80.0
46,20.82724225736437,80.5771900531073,80.0
47,21.49775931054653,81.23284021814429,80.0
48,24.46934318552933,80.94323144381981,80.0
49,23.8504065867958,88.2753396250252,80.0
50,29.273169394849138,80.00723576522165,80.0
51,20.669997695932597,79.40236812023957,80.0
52,24.55121303761178,82.91215237733635,80.0
53,31.052949002399224,76.23415082476377,80.0
54,23.051455104699617,80.99361198818279,80.0
55,23.821621110236485,87.40994360423055,80.0
56,26.55983806447157,80.30214184265508,80.0
57,18.66172585595473,77.12461654033376,80.0
58,23.2703522548323,74.26508168662409,80.0
59,23.45313280356597,83.36165442921525,80.0
60,19.528376827490945,82.53487458919635,80.0
61,25.52436952568237,77.98317005326177,80.0
62,21.61094495297111,78.49243874765085,80.0
63,20.29763105568551,75.94229899816573,80.0
64,27.34050534443287,77.14099535579217,80.0
65,29.161564455755094,81.88982735743897,80.0
66,26.45780516513763,76.13584501737772,80.0
67,22.897259604280354,77.90083278311033,80.0
68,28.78319739808609,78.75566136789993,80.0
69,28.951219661074745,79.56824394121986,80.0
70,20.164238414626816,81.91146501502841,80.0
71,27.051952070241533,81.31226938110672,80.0
72,20.323630648108768,78.92130677673573,80.0
73,30.4941099961024,82.38190811444123,80.0
74,22.90791960589374,76.16414089919444,80.0
75,27.145444148094832,80.94205462431677,80.0
76,17.020042192474396,77.00695455149265,80.0
77,19.417914847616743,74.56875641253765,80.0
78,20.72271980324894,80.68407594570331,80.0
79,24.66016960519231,77.83187271992604,80.0
80,25.31305398498198,80.59390402998933,80.0
81,27.82643594742069,80.55862606070525,80.0
82,20.884052543461717,82.12217953174336,80.0
83,19.54833215217627,85.8019997487429,80.0
84,19.695073025743053,80.815888576939,80.0
85,16.237431738975324,75.78789995925864,80.0
86,25.58570305340953,78.09293182248088,80.0
87,22.377668474459984,80.75047840623807,80.0
88,27.41122761356348,82.63052984768332,80.0
89,25.015019503647554,82.44304650098373,80.0
90,24.451805645701498,80.8844870921279,80.0
91,17.06766824291907,79.14041975892358,80.0
92,22.332901167819614,76.63203683011398,80.0
93,15.963524916921104,82.83264567832082,80.0
94,22.317551563835757,81.65285717882277,80.0
95,20.29861338501275,80.1535787329302,80.0
96,23.655051048060567,82.60079270193715,80.0
97,19.901184200933507,85.21213708357749,80.0
98,25.765523219176178,82.65127798582955,80.0
99,23.180226565388047,78.50857079993277,80.0
100,19.58597367109759,76.7149007607856,80.0
101,17.62905618215522,79.04570901105821,80.0
102,25.058773319265235,82.8620737391584,80.0
103,21.461884161722168,80.86272669727121,80.0
104,22.66078441765165,80.94534125959184,80.0
105,27.33496728493374,82.30961551940275,80.0
106,21.482272788919413,81.16388690120255,80.0
107,19.72048812057487,76.45997753697355,80.0
