unit_id,ProductTiter,BrothTurbidity,DissolvedOxygen,FeedWaterFlowRate,do_chelator_dosing,do_feed_flow_controller
0,69.58309813355906,-25.337494713641398,56.472731284354154,1.05310894500686,0,1.0
1,70.95687586922071,-9.003163458573582,60.518946130017284,1.8958078706836732,0,1.0
2,61.982841357790505,-6.256253811309009,53.923973079534704,-0.2028907879556594,0,1.0
3,68.56242573151044,-21.51651991305087,57.3062188571913,2.989229222153505,0,1.0
4,52.293460147415814,27.119253498233807,50.819407070957304,0.5276695500631268,0,1.0
5,53.62760331758839,25.239699429268658,38.710535007917954,0.5164267070666064,0,1.0
6,62.64935874492318,11.77995068061718,60.32490935739769,1.2463097978632651,0,1.0
7,67.87626587500357,15.27022005993926,58.223077036809755,2.4817590835029315,0,1.0
8,53.80064298964106,2.6106866537078526,57.48657584678794,-0.4028558553659576,0,1.0
9,69.39778494042511,4.921833793800795,63.220143904744134,1.3877662641757018,0,1.0
10,55.29549643550155,-14.020257865618778,48.54864282091976,0.38229479680483136,0,1.0
11,68.03853325635393,-6.600456379333085,69.12849079837181,0.6841390753412715,0,1.0
12,62.02679874190292,0.5193698447993578,50.29232505755272,0.7667757541306575,0,1.0
13,67.76749492027339,-20.23748899078089,57.964896049954206,1.7764568025121434,0,1.0
14,63.923851041718365,2.058003618608122,52.440514891068545,1.2027999110477812,0,1.0
15,69.12602928123627,25.855028235844294,64.9339704935736,2.514155947053471,0,1.0
16,64.16909576348593,-4.604231539671949,49.02129015758327,0.2518255855237215,0,1.0
17,55.524262328170686,-17.256120654985402,43.57658095258041,2.1471288596209046,0,1.0
18,65.26307477075356,24.50782010477317,46.68240596777675,0.5837484332131702,0,1.0
19,62.293493736083086,17.257874106461976,62.20148106490948,0.7718917723418923,0,1.0
20,64.31093574798211,7.638805199731558,52.14978560227936,0.6125351087515725,0,1.0
21,72.1643536139863,20.9537697356971,49.50271149682458,0.852358786732038,0,1.0
22,72.82187258937056,-9.045975300943518,79.36718770625005,1.3460641390648136,0,1.0
23,54.66992354268031,4.458521710569341,48.83962646582476,1.5249482114469006,0,1.0
24,57.00795383332795,37.314432720966785,53.780952422129026,0.09472338308546746,0,1.0
25,62.99654522392838,7.417766563184973,45.530626440044834,0.34298773592954246,0,1.0
26,52.96589672144353,9.175646191027578,37.10912827320041,1.3553348704487855,0,1.0
27,76.52288784459677,-1.2260955352640703,70.66190887779834,1.413757322689924,0,1.0
28,53.879413005481,18.269333361124936,46.87519241235217,0.95705590519282,0,1.0
29,59.87603043371176,15.307620160381795,48.82735900186456,1.3450427259227828,0,1.0
30,66.4219045683109,16.60935076863581,59.48624796020774,0.3264120429174244,0,1.0
31,70.21481959400275,4.602103630771673,47.422852129526824,0.6890062645211039,0,1.0
32,53.740439135652565,19.37615065736726,44.24546359466073,0.7209491709143041,0,1.0
33,57.09460999845973,-2.6395980872806346,50.720513701634374,0.4937027804441937,0,1.0
34,57.105273210740165,-13.626761985599906,51.14739753685374,1.8544994910382953,0,1.0
35,62.70777891506964,1.555331571532542,49.88004857754691,0.11368388400214502,0,1.0
36,64.07792887025674,-16.676095907644406,56.74190101803276,1.3676333980115498,0,1.0
37,53.79237140665031,7.65589752198663,45.56862830824415,0.7556531153434137,0,1.0
38,58.48441577609265,-6.334091749084942,40.91591505267729,1.3567585219266145,0,1.0
39,74.16823653487282,-8.785527678076022,65.64658910548002,0.17984435682140698,0,1.0
40,70.30967617768464,-5.369223700378884,65.4676737787976,2.3843589477806377,0,1.0
41,64.24364317878363,32.242800279484186,64.40916162252637,1.109572864668641,0,1.0
