unit_id,CapacityRetention,CoulombicEfficiency,do_set_CyclingTemperature
0,21.454659994118703,9.912754579300907,25.0
1,23.127126293596305,9.573870955390888,25.0
2,16.854646503629468,9.986519705862873,25.0
3,27.24244104015548,9.117573463351034,25.0
4,29.231892617632862,9.34414464573951,25.0
5,25.28037623742081,9.644148298426108,25.0
6,24.867287265332617,9.585772026972348,25.0
7,20.710632641072284,8.956281733022864,25.0
8,25.751606647998177,10.21989971882485,25.0
9,19.318984418597115,9.172417272536247,25.0
10,25.03398372255281,9.472462325356778,25.0
11,22.072638508487977,9.205008088163725,25.0
12,24.709991264623625,9.030285796442746,25.0
13,26.60413067395567,9.786230918531205,25.0
14,16.93254476964545,8.97605160955608,25.0
15,23.52655875729086,9.559209839622685,25.0
16,19.3308581053474,9.802596836373137,25.0
17,21.609471238216813,9.828370363946236,25.0
18,24.780916846236593,9.398993644025467,25.0
19,18.84717286420257,9.414133700154965,25.0
20,20.411813121649743,9.833852679528409,25.0
21,17.188253125516596,9.554967970862503,25.0
22,26.028238780845495,9.050995936875605,25.0
23,19.310470529610388,9.83710763660814,25.0
24,20.9939087533533,9.328234190231646,25.0
25,20.058151014625984,9.669991204828177,25.0
26,28.151994032422,8.83492352665133,25.0
27,18.562932772478405,8.247353065053773,25.0
28,19.334334891356185,9.37548328647023,25.0
29,20.74549369705929,9.331793975762146,25.0
30,24.285614182618108,9.492893328744968,25.0
31,24.56017753853443,8.657425209102922,25.0
32,23.481793553532594,10.330014463423403,25.0
33,18.978620740494666,9.047831519301994,25.0
34,17.40290943545256,9.228311182989055,25.0
35,29.80846139225601,10.123244129972989,25.0
36,23.056213875429023,10.363750502043695,25.0
37,22.78876918874796,10.105193717715396,25.0
38,19.183290802813435,9.607317125187109,25.0
39,16.896266243303206,9.617716998225562,25.0
40,20.53973497992367,10.033290268587246,25.0
41,22.246215794079244,9.326813922806487,25.0
42,25.359013816212947,9.370497645843567,25.0
43,18.08745678237436,8.9310430640803,25.0
44,30.882453530067007,10.088950694255454,25.0
45,24.366824384499107,9.27520557995628,25.0
46,27.7047808476483,9.94013708303967,25.0
47,18.444934992499068,9.151870259993165,25.0
48,23.795111712842804,9.33877549270039,25.0
49,26.415269937260753,9.97851649207123,25.0
50,25.025311944742636,11.01566924027816,25.0
51,14.395912038715059,9.710487992158976,25.0
52,31.162512300483698,9.643714791863104,25.0
53,16.97030906550097,10.232201214456321,25.0
54,22.968698810001953,13.574385089041877,25.0
55,22.15570149939891,9.134139241104704,25.0
56,23.66300546347282,9.336236877868545,25.0
