unit_id,CapacityRetention,CoulombicEfficiency,do_ChargeRate
0,24.660252073578853,9.669268859716812,100.0
1,25.988794607170778,11.895398694583205,100.0
2,23.234507464020083,9.816840417801064,100.0
3,28.834045374293588,10.202722229795771,100.0
4,28.176730353843105,15.845540282034094,100.0
5,24.189762557726848,9.932306020447,100.0
6,24.962776768984003,10.061040158439997,100.0
7,28.10504283532136,12.200783548639201,100.0
8,26.097195230295515,14.796131138276415,100.0
9,23.856388285058514,10.555258396405375,100.0
10,15.87394126550746,10.195988762140773,100.0
11,23.676854939344036,9.35366577682004,100.0
12,26.540797214576415,10.920975981742481,100.0
13,23.585612003360836,10.524372460656435,100.0
14,26.66507968112072,10.625071393712958,100.0
15,26.65422527710509,9.977264228464849,100.0
16,22.220597450700442,9.958750065517634,100.0
17,27.03946041978144,13.158079474357532,100.0
18,22.682747752967487,8.969736199846272,100.0
19,18.956994873202586,11.322143781618253,100.0
20,21.89322412773547,9.601989754829749,100.0
21,25.765900846420784,11.60043411719666,100.0
22,23.82164884605119,10.242535117108496,100.0
23,26.140025046567043,9.387388169844195,100.0
24,22.35475290904658,12.501747228293679,100.0
25,17.71704521077833,9.459521058073328,100.0
26,23.579662732640205,9.799125929500045,100.0
27,24.817916650879116,10.46009394421761,100.0
28,22.81984467834309,9.552511046155134,100.0
29,23.320529527734948,9.990684249643929,100.0
30,20.833782777205176,9.428241953639242,100.0
31,25.362523590429397,13.289219090707592,100.0
32,24.546985717659737,8.724269646534147,100.0
33,27.071602666121816,9.850405808991315,100.0
34,27.043785151384384,10.128997453123244,100.0
35,21.33795654117056,9.840532163699422,100.0
36,21.78562150894831,10.027087321983021,100.0
37,24.353345945384486,11.632038891308122,100.0
38,25.86180193979674,12.325981785488318,100.0
39,26.784150660022256,9.473025154462178,100.0
40,22.042216412107816,12.764236918145555,100.0
41,19.561862700428904,9.681026808231255,100.0
42,30.55593578708097,9.406320025701364,100.0
43,29.5780729875807,10.267920098912784,100.0
44,24.267880136513163,9.919289274358858,100.0
45,14.040918370886285,9.001706419388343,100.0
46,29.034459818170145,11.733584660175783,100.0
47,21.70875598420823,9.178516650021518,100.0
48,23.190602222062083,9.81389124161092,100.0
49,18.821460154139185,9.346021074468498,100.0
50,22.81037479866945,10.573154376661911,100.0
51,23.485571449296902,10.463806295532772,100.0
52,23.24759162444544,9.462643142572722,100.0
53,14.736358838000921,10.59526901996485,100.0
54,19.36036613329686,8.729556233624816,100.0
55,24.838107318850128,10.491072777068291,100.0
56,17.138868706823136,9.040727586428213,100.0
57,28.139768040425057,10.663769603681924,100.0
58,26.250071951445413,11.78780445305912,100.0
59,23.0590474051186,10.273010832178805,100.0
60,23.60091659587771,12.032365025065126,100.0
61,20.421440394317766,9.124468821613675,100.0
62,27.45317334890072,10.81828936033964,100.0
63,25.796032647934183,9.746573836753686,100.0
64,26.06716265653296,10.393957421410631,100.0
65,18.43340117837329,9.934571145785515,100.0
66,17.632160894227777,9.97891012770339,100.0
67,24.897795051860058,10.110192563672022,100.0
68,19.316894217044148,9.007906563703784,100.0
69,29.914883920438793,11.471163538032208,100.0
70,24.99427781052341,9.75167886411527,100.0
71,17.398983748046863,10.923758831846198,100.0
72,23.70003822743517,10.441605079109864,100.0
73,17.43222474084284,12.073930683331161,100.0
74,26.225707401036125,11.480373724294918,100.0
75,28.972538339843,11.072554781940092,100.0
