unit_id,CropYield,TissueNutrientAssay,FertigationRate,do_FertigationRate
0,14.76852793197386,49.29051067289005,19.88390486704984,20.0
1,15.9360848824419,19.579897500212898,21.21467120671167,20.0
2,9.08861101813056,34.12210890662612,23.49288052997115,20.0
3,35.79254631226961,-2.893061012898377,15.828728282623238,20.0
4,40.215011290252946,28.978439706226546,23.237841670338707,20.0
5,9.382095149216926,30.671787071563287,22.221618191538212,20.0
6,26.002579382436814,16.159661915420706,20.040338932483582,20.0
7,8.09044407759929,31.70328331770234,20.04377438104567,20.0
8,-6.609698350245247,40.94838460885196,17.73818845025405,20.0
9,14.20375734975677,5.090693619943039,21.64200586071603,20.0
10,-2.190424474087698,20.508507541154717,21.815584526823216,20.0
11,26.894748697037805,15.087101653113795,19.739067094565208,20.0
12,-7.0581225474916796,38.74352386336075,18.6329923818234,20.0
13,20.673492520669193,16.56337114641139,12.792588613768448,20.0
14,8.643579519694201,41.544202752941686,17.350222886415914,20.0
15,23.974702724967088,24.5594154602786,23.203648442912048,20.0
16,0.764238458998546,33.4642715246992,20.74496207510265,20.0
17,21.138338742400837,16.428703097601783,16.060396312564233,20.0
18,8.479746628100997,16.42968701882222,16.114500035101763,20.0
19,20.685020442301717,16.158085401713155,21.789924181460584,20.0
20,-3.7466158277224477,43.814952417385534,15.362716191403372,20.0
21,21.35434133627541,37.159428227348215,19.892570025325394,20.0
22,2.051835216431326,63.11766007114505,18.32479037427589,20.0
23,11.20049124933211,8.664441631947128,22.69814636405812,20.0
24,1.5968618933988736,35.773625361474885,23.270647464969777,20.0
25,18.229221814418423,53.00805187209883,20.724860588342988,20.0
26,-8.735562620998644,21.210554666084857,18.939406966154593,20.0
27,8.242077218868461,22.993031163545805,21.27526194122085,20.0
28,2.9578346093162295,23.11613444866621,23.926634166745593,20.0
29,-4.514489513002591,47.3228445431257,16.417991104286884,20.0
30,4.311278978192835,26.209163895811532,22.537332760845437,20.0
31,6.989368982311676,53.55610039086597,28.02829671785333,20.0
32,4.894600547419671,26.38860413021991,20.13632161373109,20.0
33,2.476679297236049,37.28693405010858,17.97982189671042,20.0
34,-1.2710386194718861,14.483607229212785,16.13313273229619,20.0
35,14.68442368602312,-2.711374935133591,22.913317064928716,20.0
36,16.3982277076849,21.85536497237468,19.944610563267318,20.0
37,27.118924692840565,14.25901574800801,15.317346513487362,20.0
38,7.335011063246965,25.38230076129844,20.13457374193219,20.0
39,15.41468455458403,49.18393837330181,16.34605688633367,20.0
40,21.404512016066313,15.522411505278146,17.084749731131232,20.0
41,12.619879193453887,11.87105229032776,21.74441391271258,20.0
42,4.888795286970092,32.63272858230209,19.464540648305395,20.0
43,1.6329898585642915,41.72032702492745,17.692853187464497,20.0
44,18.973459514741734,38.927575933615536,16.787789515297774,20.0
45,-2.200219621693592,26.244569204974454,18.52595195631069,20.0
46,29.28308075986705,15.07226638934419,19.366745482391728,20.0
47,24.93870391189896,-7.191837157383183,21.266442332683607,20.0
48,21.355086230197198,30.587589588090946,18.912759106870677,20.0
49,17.124831123035737,17.53096577350752,16.083431489750595,20.0
50,12.373223258135976,21.559103289026552,22.48706019868039,20.0
51,16.823956754734166,24.925913895382486,18.84344933179094,20.0
52,20.23254661804679,21.129390195159484,25.416633912109543,20.0
53,15.481161815549655,30.548273245814038,24.65448177927712,20.0
54,7.012561065909252,39.09944101354087,21.149991742606424,20.0
