unit_id,RackInletTemp,FanSpeed,MemoryUtilization,DiskIoWait
0,54.464566733296564,51.67955014416204,49.985835978751744,38.327141251753694
1,40.52707584065592,53.182266221532394,47.50113117119018,64.07221428660897
2,70.97802913520893,47.78969794137823,31.004141066769805,49.223904002405924
3,61.328739021238086,56.64995341605237,46.48206192043654,47.64452957952756
4,41.858333176225074,82.82288572449598,78.2343512029711,53.943997954819224
5,62.43854708679882,57.661027554949946,42.303153338007704,40.54339943070647
6,67.65024026264338,44.80529053302605,42.748940057446546,44.69759971511237
7,44.45770026819226,84.62981256062845,41.85811161922236,43.491530790203214
8,62.592019725557726,71.87994245160736,46.21480422634054,77.98100756264918
9,54.79393409070529,60.92476996338005,49.903869598813905,52.96461721559315
10,38.60787328615379,70.79989773720146,52.433176022409235,55.59083842631786
11,59.06174742203456,49.68101335909556,60.94400496736998,55.72944945841664
12,48.16434709180919,70.2995070060752,42.18944113145989,68.14318062117658
13,38.60283833679078,43.71814753780833,45.59809870436614,51.14415475786358
14,53.48632357531376,60.09815409295625,55.814007189313415,40.36286738697805
15,53.67947501427192,60.83165232130258,65.81420401617783,35.06807737273352
16,54.136058155190696,61.90035036516899,53.22908481150979,29.877280620543804
17,48.65660813205052,66.81640268343644,39.557801003112885,39.04773356219219
18,55.58178524675786,48.95804492227518,75.83585815394852,57.67164326793214
19,51.963102079197114,63.330668553131616,58.95534188936717,41.034627971944914
20,52.39395253601923,44.03784015094064,62.11466088559716,64.98839440959104
21,52.31296066309554,58.617608446652305,55.691241395383216,51.213402103258076
22,29.746601844509822,75.95012460158101,34.75771568162075,50.61673506225787
23,56.507845110272115,37.93502938980472,56.446931020742106,53.23830609800944
24,38.99575841122025,65.56568660179265,53.130919813298604,50.05011036472322
25,35.90227920250445,73.85507581611174,55.951609561302796,54.250133584214055
26,51.90484327126554,55.79359866042584,64.30059543679484,43.71883017452369
27,37.12314580906049,64.58538349310014,59.516937746433676,69.68731800185972
