unit_id,WaterClarityScore,LineFlushRate
0,15.52993097318409,39.67929365754899
1,19.03490165769411,44.713141393974766
2,15.447924716629327,17.26878300726982
3,12.459946713702578,12.295529109675217
4,19.802449809482383,47.61954903879757
5,19.914702025348085,43.24898438602072
6,15.882697281386715,50.78874553163711
7,17.052064289661285,55.98755342141285
8,19.906861658024702,41.55481963441381
9,19.60178834162643,38.7066444078247
10,15.566017184850583,35.66680877265259
11,18.651326042867773,63.26413485046998
12,13.018740041269407,34.84281797830673
13,23.138139202395845,44.87192674102057
14,17.676605498591055,47.184702102563676
15,19.551760376982703,52.925210161787504
16,21.16258487048642,53.21106087808938
17,19.39939941632381,40.99627935366683
18,19.082432770929966,27.456303181852416
19,16.390816338192092,30.509371361826204
20,19.803409184666755,35.19098450893632
21,15.822012361039516,47.17200906158767
22,11.865482413078313,38.717354254324114
23,17.76351128733458,56.74060232063958
24,25.252973959358165,24.285970945413226
25,13.80785768835278,25.218431510466417
26,16.127110798135178,52.2444238093569
27,16.157995667104604,39.71447773945234
28,21.936646393540798,33.97598364249768
29,16.092645190659283,39.43210069171276
30,17.338371618569997,54.6024921642065
31,19.554327749718293,45.39138348924834
32,19.26612333938586,46.1099133833577
33,15.241261101810757,67.60755964731928
34,22.946393367953327,54.129500870348984
35,18.686356093859086,34.000834079810865
36,17.338559097545463,40.69930719464739
37,16.520408671440126,63.4178899466163
38,18.935667826424794,27.219919861422763
39,15.998187723395727,51.78267816710592
40,14.292871768836804,30.748893398519794
41,13.40881207768484,24.928820788272745
42,16.675708175764658,29.77664003182414
43,15.546525916191051,40.62361082094698
44,23.184498229619003,59.487916638819584
45,20.476559489006366,36.093569298938185
46,18.93877287362641,63.36756292178953
47,15.197928736933083,36.77152199455823
48,19.80362896632379,52.02572441829853
49,19.249203481947237,40.60392811639031
50,21.196879988467213,27.389076208422107
51,22.99116798461303,65.71597775126209
52,19.601880964077633,27.197841479838733
53,10.56562044314607,37.894838768141334
54,19.099779934342337,61.23359965649095
55,13.798258708512355,20.836495558114322
56,17.04167073439081,23.66117296311031
57,22.20374925185694,52.58655795127916
58,22.332087141142093,30.59446894408066
59,16.290766586677325,34.53852735989267
60,19.83466627694182,48.33223697413637
61,20.250319409099497,13.003103057644827
62,15.106180602643839,73.90294996680338
63,21.304984749566863,47.96962929060131
64,19.740413329986136,16.777343764047714
65,20.772275824084144,52.672256402866985
66,17.386108527756132,27.799866358031252
67,19.1735584980929,65.58101824942007
68,15.73347106073604,60.86132738004023
69,15.464455411534463,27.002404461364733
70,20.127835364394542,24.264476590864696
71,14.137077278154006,24.820915726635203
72,16.97871995116939,54.291318854081744
73,19.448275605140086,24.385496660526492
74,20.595630107161806,39.90861151324409
75,9.885740542192885,43.498213403030924
76,20.78058452258015,47.50677098005394
77,20.5202555769198,31.574321723223758
78,26.80694952001553,39.56163596170349
79,16.904638026586394,29.472336158333754
80,16.165029255714057,40.340882340824514
81,18.006822452036594,44.73983602597508
82,15.870792966346034,42.16543648014184
83,11.026898322152784,51.24543191810894
84,20.00571265859031,34.000882901162676
85,18.26534183514865,52.16184114212037
86,15.4493773208885,54.77394590005566
87,14.735445629320825,40.62142926821233
88,17.355107016673365,49.485357867407984
89,21.552066995720878,61.93134364945568
90,14.876132420682833,40.79173211250733
91,17.219776337867888,49.6757533030227
92,22.538646483827634,40.0467487488944
93,17.846262051973625,60.218808724784374
94,16.712579631203656,28.921783529818086
95,11.866296508894369,37.49113474751257
96,24.434445736577437,35.71770843607831
97,17.96261602397935,33.751415403193384
98,16.19871712835473,44.742839183243426
99,13.911934691156329,47.31675579188724
100,16.19368242577104,37.16312117747292
101,18.506954587998283,35.818348829125114
102,22.347988371811237,30.81825541481965
103,18.57313177105073,58.53717726794082
104,17.27337265341385,37.083048590194686
105,28.03908894317155,48.010572548747454
106,15.310872055644083,53.72893506471473
107,18.366736569562082,52.56024164209495
108,13.798727433544977,40.48133819652314
109,15.560464678216354,44.538073056833525
110,22.740874976034,57.39287312172862
111,19.334671023561228,44.459909418302885
112,14.860692494921363,38.48771531153331
113,13.631219128976667,32.72793496594575
114,28.33428448912383,40.41021485788435
115,17.59079624710223,27.068207377029932
116,22.870016295243488,39.49130477992394
117,19.728426409607742,20.683055892402656
118,18.691168190803143,50.1956366717913
119,15.117840011602802,39.31936302809858
120,19.464421972906223,60.486313886752235
121,16.679477171165924,36.67169029724302
122,15.989854591078466,34.27160322887474
123,19.8558178857432,42.42278615038609
124,17.416858247112987,38.28746311620676
125,17.69386623018776,32.56707762800008
126,19.31191392194227,35.68473429295773
127,19.17052524515481,40.246989648017475
128,19.97149642010033,40.742921006076905
129,18.839185381398643,47.534783638147076
130,20.465142975601395,45.38634972770204
131,16.880452884342155,40.714096176655715
132,15.157713817367215,63.56933543207219
133,15.954679008615118,34.21203354881155
134,13.571075287951157,23.093097122707753
135,18.201993733250777,50.89038578958526
136,15.168533592555466,41.83103668884133
137,13.956231217593245,44.13842635839731
138,21.895985897638433,31.566416786041785
139,22.838661419408197,46.52305390632858
140,23.847929094292734,53.6720937148296
141,22.12087603989951,55.12678036902058
142,21.799715401671534,60.389314954560284
143,14.289045611614883,45.99292841367663
144,15.238514574522776,32.671343338306144
145,17.085539768873268,35.61874090795967
146,11.920472593168075,41.20261512944436
147,20.937339972462365,33.623214534701575
148,18.968469649703366,27.53591217246954
149,23.22404870019076,62.16328499125727
150,18.938419814025938,33.08712223550035
151,18.80733951463594,69.54125280109513
152,14.111899574807403,45.66999169667544
153,21.244896613875,48.09223017385446
154,12.190466992609698,33.11196315059904
155,19.167421644265087,40.319597759327735
156,23.62999652574731,33.841782329644346
157,16.917376910803057,43.66851138035389
