unit_id,ProductTiter,BrothTurbidity,DissolvedOxygen,do_do_controller
0,16.985979185302035,46.528724896441105,75.14140575431628,70.0
1,52.24447803305865,9.13568185497579,71.87216912717112,70.0
2,27.30333999572363,34.72783386186039,71.10131109784506,70.0
3,18.76376732551221,24.668947947140445,65.77240882070664,70.0
4,32.10773098314818,50.254232790698225,71.26318677797859,70.0
5,9.994864229659331,57.88407604326771,68.30311978824321,70.0
6,7.9001439085468705,64.66041328610409,69.81743365827697,70.0
7,5.689879019302031,49.798339413585325,70.11796130315936,70.0
8,12.843004266208887,61.405071445575,72.91874649171997,70.0
9,47.85274025028703,8.068783330242244,70.10980897042583,70.0
10,20.60619417028519,44.28788153829962,71.26973846629066,70.0
11,20.874881511785446,42.72034746195438,71.83919284898191,70.0
12,30.26881347815831,52.47627593322653,75.0221314250295,70.0
13,8.294918045950748,32.45372747022047,72.60822843272082,70.0
14,20.97733156245492,56.66091525504108,73.55430369114711,70.0
15,41.67069318330866,13.923771592788807,64.21785727821138,70.0
16,17.904113360994835,33.39289237016003,66.48338895683776,70.0
17,32.35358115957149,32.47648571857809,71.76106590379183,70.0
18,34.283802940233095,47.30488751283263,70.78549396133084,70.0
19,38.164182334274265,22.558065219489606,67.40048151854023,70.0
20,31.91229461185192,58.19927698505634,65.52787591112235,70.0
21,39.746491219620744,3.517855712891876,69.44677703021311,70.0
22,24.280732156779884,58.02911729109397,71.5218553932215,70.0
23,7.674766289031477,81.5770464865739,76.74438952931922,70.0
24,28.568492836097303,30.251688876370785,75.24456210705311,70.0
25,31.872710974528616,14.285116912790208,68.29068703466737,70.0
26,21.810487294513543,24.53131033713794,71.51649783058421,70.0
27,18.9798429799038,49.479104533335246,63.29983563080781,70.0
28,21.519320720670763,56.521282453987205,68.8858958345949,70.0
29,24.886495806668062,31.963035453442345,67.92606813936251,70.0
30,8.023696995586564,66.2899024268014,67.8066096817464,70.0
31,27.662416684488523,29.948686416814475,73.41553759011065,70.0
32,18.399145656447942,25.85170577930685,72.52209264233349,70.0
33,33.876263787068964,27.7333550737311,62.70887607591518,70.0
34,46.408783937428545,30.96163869707709,74.20239755514447,70.0
35,25.11047499237083,46.63647394692822,66.88461694338896,70.0
36,35.216997513653716,24.75757815252069,69.14322668539671,70.0
37,30.145984150654378,34.32937590372079,77.33709876526365,70.0
38,30.863043654376394,49.044641778682724,68.14610133170453,70.0
39,18.42330706574099,41.777926033026,59.6619234268104,70.0
40,31.798912906735957,23.783836618743145,68.85694735016541,70.0
41,23.45126257746519,51.7094104508824,81.45012993400249,70.0
42,7.436622593831367,30.782634552947254,72.27608945978935,70.0
43,23.060238736335386,46.91685305091114,64.7940412113359,70.0
44,26.071158257872558,55.55161763175966,65.22060493853839,70.0
45,42.763944969602335,27.221872659609573,74.28777065477192,70.0
46,25.26982155969144,55.099629185975644,70.38191098699447,70.0
47,13.743446627467337,25.94486837339397,66.70623128198399,70.0
48,18.170911910686538,32.82484265609394,69.12839554894431,70.0
49,13.348758617757644,30.756436583298747,76.56492650514697,70.0
50,17.64722567157859,62.05093657644208,68.26912091727766,70.0
51,-0.7771834378328313,55.3221044249837,70.52163264599756,70.0
