unit_id,ProductTiter,DissolvedOxygen,ViableCellDensity,Temperature,FeedWaterFlowRate
0,1.1809367054540445,48.29291694580979,68.19160371719613,38.12749623468463,38.03297856751082
1,11.127728813720413,63.075484471610935,43.27513059207113,36.4939504648371,39.48377468234534
2,17.385344764392954,64.61831572510773,47.22804630448486,41.035564743449804,28.540650978735783
3,22.79179159810749,44.29200210879343,62.87125017961951,30.80529963342093,23.67889923196849
4,20.213066826768646,79.88612727578169,39.339634376125645,35.163251592812955,39.79657435873074
5,11.910320932243787,59.651172617943615,33.12108658366411,47.217491601817414,41.83114090358589
6,4.341267516156293,54.00565484473027,50.12157960488822,30.607728450328892,47.07238739283118
7,12.062372400841584,68.48733105664553,38.298243423605754,34.900399816083855,47.399220906114365
8,7.576181451269179,57.84092422277394,33.480113979007314,42.63752847743259,41.92763364368183
9,7.690938077273024,53.011844473135255,53.01943248510736,36.723157181112725,36.936444846703125
10,10.443516459993798,47.7659113496226,31.75187267501525,47.3213303769266,40.702850594276136
11,-4.66995584739648,32.5451056918461,38.95998281322935,40.796687369533025,54.04047437222423
12,22.312889207611505,59.19318231221989,41.45811572471361,37.37466201468474,35.7322326782528
13,12.341109951884143,49.72980164971725,50.2892154082664,34.375169899473626,45.35043679489346
14,-3.4231670071271205,37.18611325300665,59.70864811734221,46.47886795765355,47.69462755610504
15,5.288815335569793,43.826749320106025,55.47141786304382,39.62510525293473,47.34426655869255
16,10.564663251045388,45.193728906124576,39.898357458459344,34.15396064167992,46.65715673192566
17,10.457117924088115,54.959480045284984,52.12466906053091,34.53242243083397,41.66688012613388
18,50.8477624557017,53.86397143680383,31.272267779663476,36.38240104269969,30.372077416360796
19,15.963461849232072,69.36874390657786,56.97417650355444,38.23748175855468,33.63524317607501
20,15.554973869793617,56.83979180805806,42.34828778635093,36.56192742494776,37.552149067918876
21,8.593922956683638,65.93129743381377,42.779993310188516,37.29224719199486,42.60883175115085
22,50.465835654215105,46.467258539863124,50.937429182820686,23.04517115931675,41.4362277689723
23,3.326080872231242,45.56473813378442,41.8272348316699,37.86794468583828,48.29422481847447
24,12.304647127794063,54.60906355992216,56.71691178096553,42.53893777489101,30.76396623437029
25,5.393301443633136,54.56987549159472,44.76358306401648,44.86294235376099,32.03729364670701
26,28.240011742424205,43.84505769982216,46.66954688558974,34.46120262373164,45.99724549728578
27,18.184242976004285,62.99109227058036,42.71747067027459,27.52933907624819,38.66057427096944
28,2.531752878855714,35.16847296111862,61.69089194085394,47.11825780949703,39.200408059523625
29,20.578367073760916,72.87801803688454,52.46564955426,40.697977283320775,38.30486277109853
30,12.061640253277911,62.73975837308829,45.53996821169478,42.61089702158744,45.690239174882784
31,29.69171155365297,48.19448605733125,40.4068622334152,35.11795422397005,45.52671576059725
32,4.8037983562421624,54.33164908365719,75.77886833032159,25.037135247965733,45.53454098072481
33,22.548756118581046,56.85835510949718,48.01322805790985,38.878968686894076,56.606986389767776
34,27.721725696018368,68.72035017721818,38.66527531010358,34.392272164645746,45.22161307524737
35,21.35937596860789,75.03612708323038,56.71833790370342,50.37777668453572,36.17510187562253
36,29.134303336512716,61.870328831374756,68.12179355938707,28.95243476914493,42.873733226397974
37,11.844345826624421,50.91111241409042,59.204548660079176,28.288619382134335,52.92075793923772
38,8.976063452870603,51.3777612299357,47.36640528718522,36.93254051537221,31.524229608255755
39,-6.034525962332078,37.656920855261774,61.7357275401344,31.887865247694222,43.139472600731786
40,1.4357227909844923,45.706800184360816,54.28417386256266,31.53869067446595,34.60104739697919
41,20.968506486033128,38.8598409295052,41.03083745046489,32.08172532614052,30.683677470165684
42,48.602491576007885,61.56183662648321,51.35761371119176,34.55380537136205,33.820863968505854
43,19.1615143323146,67.79203775182455,36.030633964458076,26.983878878994155,38.79051455642005
44,14.623018591368298,63.085940612170184,33.670887502663795,30.910199221580058,47.67894403595823
45,17.174215623103365,55.470251917889016,47.36707955185229,42.534339060901885,35.67390711998446
46,15.72478984236123,64.01058039245919,42.64488479318498,35.56226969735316,50.167482982014725
47,31.788758212797536,54.896315746967836,45.545238429280715,41.09187482908589,40.283926777909635
