unit_id,CropYield,do_ChelatedMicronutrient
0,36.57469716723761,100.0
1,34.96806126413542,100.0
2,25.061208463813063,100.0
3,37.72841314844191,100.0
4,25.97004243542861,100.0
5,35.57239447369948,100.0
6,25.273061362813074,100.0
7,29.272448219429695,100.0
8,22.470490969112902,100.0
9,19.262144206227664,100.0
10,35.54782354255423,100.0
11,18.87009219908779,100.0
12,32.93315983507938,100.0
13,38.15949482188253,100.0
14,37.15536228307338,100.0
15,36.17118205578113,100.0
16,25.940041164777284,100.0
17,35.824996041474854,100.0
18,41.84793540021582,100.0
19,24.808103098637226,100.0
20,25.986830913325985,100.0
21,33.6161578962319,100.0
22,12.400178573607386,100.0
23,46.365511876819085,100.0
24,25.006959362120647,100.0
25,43.89005901794515,100.0
26,24.624005836390207,100.0
27,32.94635575211031,100.0
28,22.53279986565753,100.0
29,30.73893309657607,100.0
30,19.241157478643505,100.0
31,34.489014935237094,100.0
32,30.354640539228075,100.0
33,22.315326479191352,100.0
34,10.137249433403461,100.0
35,19.10191825141444,100.0
36,24.38751568442226,100.0
37,21.690832891774583,100.0
38,28.605005976117944,100.0
39,38.851413387805316,100.0
40,32.29408792060657,100.0
41,25.089201679694085,100.0
42,35.92321885934484,100.0
43,28.362007169382064,100.0
44,39.741285882954976,100.0
45,26.152570516557855,100.0
46,30.666176917993493,100.0
47,37.59942662971005,100.0
48,40.83860108767154,100.0
49,34.34992257187664,100.0
50,35.165802186562566,100.0
51,24.560041123160016,100.0
52,28.409428844617242,100.0
53,35.637175925316896,100.0
54,33.447076323292606,100.0
55,32.57491724904036,100.0
56,34.39090145526384,100.0
57,23.506559591944352,100.0
58,39.535423996520514,100.0
59,33.49536941126772,100.0
60,22.50167490748608,100.0
61,26.887713410359485,100.0
62,29.528660558831238,100.0
63,18.653781568904318,100.0
64,36.56319142582557,100.0
65,35.54963795908353,100.0
66,44.41024018012213,100.0
67,27.345898659514095,100.0
68,39.07380997948481,100.0
69,40.63474721701021,100.0
70,30.41839102237249,100.0
71,39.973758315808595,100.0
72,17.57466659272884,100.0
73,31.993479153523044,100.0
74,27.516372664339016,100.0
75,31.032621720884748,100.0
76,29.887179329386694,100.0
77,32.87462334201977,100.0
78,33.126962838623164,100.0
