unit_id,CropYield,LeafGreenness,do_ChelatedMicronutrient
0,25.877175364302403,13.884567973854924,100.0
1,26.45598754579831,-2.996152147387349,100.0
2,23.802854841669905,3.4652161290796597,100.0
3,16.572125557611606,22.259623610792836,100.0
4,31.129859711233994,-9.182451729955737,100.0
5,28.626544509434083,18.691551045192075,100.0
6,28.57970463636756,20.954518843419628,100.0
7,27.153168992267037,21.20289423653599,100.0
8,36.188498623134784,-5.177281937594902,100.0
9,28.601979797547923,12.478536533609908,100.0
10,23.409047249493266,6.414972340988797,100.0
11,44.757631099961436,-9.026021388666049,100.0
12,30.198422114833132,-9.144204698445375,100.0
13,37.17048292145247,-9.196327540921043,100.0
14,26.10705185451593,11.549075147976776,100.0
15,18.021866030074925,3.8142935641430524,100.0
16,28.55656938838989,6.94495432230679,100.0
17,24.432513029697024,-4.933651552416851,100.0
18,23.616640403047764,31.5850365840913,100.0
19,25.522039390622176,-3.1225125967434,100.0
20,32.93071590795992,-5.25707422921249,100.0
21,24.126215678406588,-10.349264334284197,100.0
22,29.713720287959024,2.680575853916565,100.0
23,29.80561509387103,18.38164432583781,100.0
24,31.066031001551316,16.52999202095768,100.0
25,40.48212225536096,-12.08695209079518,100.0
26,23.29649394965265,3.856500607991971,100.0
27,26.17093646090723,-0.7873190637737899,100.0
28,36.21545531363441,-8.197484735425437,100.0
29,25.991431864236297,-1.7287092830023063,100.0
30,41.02286895237384,-24.68011372570097,100.0
31,38.95426724943994,4.196287114815792,100.0
32,34.81932031389921,10.516246623599802,100.0
33,29.26308311224033,57.846938967975646,100.0
34,25.04608518712871,11.555883701155953,100.0
35,39.285182566387796,23.538779596343325,100.0
36,31.45612578043925,1.3389576085927928,100.0
37,32.54745034461139,15.089087513983559,100.0
38,26.587550526319173,9.090023225440364,100.0
39,46.52846007689552,3.868824884255549,100.0
40,35.23087153539502,-12.446582466089346,100.0
41,29.559644158405142,19.170316283261357,100.0
42,31.557675343467242,8.43548627915436,100.0
43,26.962841479369466,16.984869476312056,100.0
44,30.073410246134422,9.428840750479756,100.0
45,36.90058008024261,-13.241435271488069,100.0
46,18.65159207234867,17.578496438775122,100.0
47,13.191624373799256,8.734808087779614,100.0
48,37.37493120812039,10.804883963949628,100.0
49,26.28096628795438,-15.292262935042764,100.0
50,23.395837900243663,9.697229786830183,100.0
51,19.68002345438933,-3.867606336165453,100.0
52,31.616359323307364,18.47664002614816,100.0
53,38.31759579830647,11.897041384359504,100.0
54,40.64147666013642,-5.498261442311454,100.0
55,34.73267402043383,30.344712746264086,100.0
56,38.11081612305583,24.795304759528175,100.0
57,31.242499679146064,0.04885696899347103,100.0
58,42.63239654643358,12.568933254583374,100.0
59,30.877478413166056,1.345295976100811,100.0
60,30.2267101922032,15.702864614480106,100.0
61,32.34194320465954,14.371807679272823,100.0
62,17.15800837516408,25.089271223320292,100.0
63,38.755289167759415,17.571467381329313,100.0
64,33.57803717392486,3.7754254290165417,100.0
