unit_id,CropYield,SoilMoisture,SoilPotassium,do_FertigationRate
0,32.97782683265761,47.793533427252754,74.8832446948443,25.0
1,35.81580339832101,67.07664853428844,34.66660522646554,25.0
2,29.95404988125119,78.49343710656484,48.22500755868318,25.0
3,34.24546858893828,58.026147660166835,42.729245274508216,25.0
4,28.9113697547299,95.40425305719023,38.76617754915512,25.0
5,31.082273937024485,82.9651185742761,53.26652484543367,25.0
6,31.127273866366462,91.689750902342,67.10368381891112,25.0
7,34.3836444820093,90.53070684847309,55.09652165987268,25.0
8,26.121060325349433,90.2098022788293,65.83868873735472,25.0
9,25.775828486230097,69.11468442808004,54.54217801557059,25.0
10,33.276815664196086,99.47432955253886,67.81720555523603,25.0
11,25.486439250612978,69.24913118079552,53.4343896445573,25.0
12,30.221848210110117,64.12725636284145,79.8726192591622,25.0
13,33.49605246994259,66.15349282038488,31.71209727883145,25.0
14,32.85986721170575,65.3771466900621,45.16369153897622,25.0
15,30.618855233237277,62.968465317635555,55.688804888124544,25.0
16,29.637011254462987,75.14955473213737,55.203821946855065,25.0
17,32.85106798002715,75.10312182895744,52.21750502331256,25.0
18,34.53208653548326,71.72417792349637,38.7473783150335,25.0
19,31.1206622389639,96.57440001782575,70.27068946464047,25.0
20,29.903970886584673,78.59663984780477,65.2570504638759,25.0
21,37.28593232985339,77.28087532758332,29.885027910338234,25.0
22,25.080966797478705,81.19747773935731,39.84434255546753,25.0
23,34.44636344379556,95.1240380399758,46.89192367152353,25.0
24,26.498051824110558,86.53950609384572,74.13996603993344,25.0
25,37.146040853057336,72.20975641475124,43.126010424639674,25.0
26,21.77924819014215,54.41033543937249,58.470854900141205,25.0
27,33.91570625961047,81.91896009621277,42.18000515138705,25.0
28,20.49167959622071,52.430674037684916,54.58988651172056,25.0
29,30.33490353779392,84.1485316767918,50.80002392710749,25.0
30,30.195594338272304,93.34940390269172,46.15147517452586,25.0
31,39.37844905228737,78.41888207386863,66.68215317857268,25.0
32,29.897880654309596,85.17547963180948,39.926438425642424,25.0
33,24.239473238419027,60.288633892301704,61.65701949905609,25.0
34,23.584691003944606,77.69378004580142,49.48777040349165,25.0
35,26.95323308660865,61.1662792357821,43.62352201139471,25.0
36,25.61368655301337,60.38491551992261,63.74777063054554,25.0
37,27.459269599027706,87.76253973629431,42.19119844192261,25.0
38,30.107974317291113,72.07636977484208,41.385219846900306,25.0
39,34.45734879761467,56.610507165188864,44.49150143382253,25.0
40,30.70572547671887,63.802497834409664,64.95652110545996,25.0
41,27.937316720498004,77.72605725269425,77.6543558307294,25.0
42,31.189595926995214,71.67642295397971,53.3330706291853,25.0
43,29.28344229719989,68.19071164384563,68.42340552360255,25.0
44,38.087222224540774,94.77099238196449,36.56786747280276,25.0
45,28.42677987159098,66.46007250420602,64.15041351196321,25.0
46,28.30674349476161,65.89534713341546,47.23230028526398,25.0
47,29.070289807541748,58.435917674521676,60.53826398619644,25.0
48,32.06247742087939,77.92486201831181,69.05184458274569,25.0
49,31.130981284548472,91.98378805763436,48.162152890483526,25.0
50,36.884568974358956,88.03063560248675,51.591808699586565,25.0
51,28.257367948427355,65.46660547917863,41.88023231976811,25.0
52,31.236142537990816,67.51960056553419,69.35191641644938,25.0
53,37.84376214596864,75.09739372753191,41.39948584660405,25.0
