unit_id,CropYield,SoilMoisture,SoilPotassium
0,32.64364266715397,100.39961354157991,53.45625754261238
1,20.483654534168622,51.06113052575433,56.792569693916604
2,31.323267283568633,85.87550433908481,28.319646665342837
3,31.1368599894133,84.88961939934717,52.53635468216438
4,29.516810368147713,92.07867259636336,45.10687730178521
5,30.988739437933663,75.42977352090502,60.18394782672859
6,30.252618235281872,83.95738936199977,42.03545817040222
7,31.844802653825575,93.14372906607586,26.054190473369243
8,34.80932806569726,77.2626769557986,42.859865120301144
9,23.408782295565604,62.27100295028713,46.489286146376394
10,23.420774876992603,71.63978391273976,74.44444174448444
11,28.155230031893883,76.96541935821367,48.933649719588836
12,30.695414018127796,74.20943526152982,84.73344336518242
13,35.55306001789069,62.28464714223307,46.93839382584122
14,36.78684626831283,75.01156206171814,54.269534198483264
15,26.61051539659535,66.90231594051008,35.444788394445986
16,25.891841529465204,86.0028727860563,50.949657283250055
17,27.52730270371318,60.48904022008313,65.41685227494509
18,32.28475192586913,70.16893145056771,52.25709672129058
19,24.931726699761683,65.49094588414107,65.9883361829463
20,39.5872426529167,71.5948888304326,19.61857666703117
21,22.723579837724127,63.35773933075576,32.484715234612835
22,31.053862149828134,96.91142798989969,50.299569739176555
23,35.114673147687455,101.95434395080076,46.56076977230227
24,25.778346467006457,66.53729668415178,43.17078733882198
25,28.39355521252182,80.0892178283243,47.0397530535258
26,31.947934275183584,56.788495092252624,43.42932754868319
27,23.273668512981793,76.70402212581742,52.50578290417769
28,28.81787102124811,78.00284408423781,62.42937628503885
29,27.88162034696625,58.51364955570193,77.77780767694597
30,31.936178574483797,93.24589274242634,55.54885248585722
31,26.786497029624833,74.92237336800416,60.42414650668915
32,34.55107570737783,77.57607014387818,68.66809193588647
33,33.06353637135572,52.751114476353926,30.866323983931103
34,31.44102259490878,75.33021546256582,81.25467587125974
35,25.853287532803673,72.13508056273449,56.11949524143778
36,36.97417568098372,70.90466770381103,56.64761052817593
37,30.27432689349942,74.79489557328917,73.8624939753776
38,27.412007458920264,68.89703612043459,76.7856930308934
39,32.76146290727361,70.51377992621359,67.07609267289155
40,30.017730482039738,75.41275024302433,63.54190114062462
41,30.22602975051926,90.53705339921453,62.99126803088081
42,30.86498098629895,86.66534005598724,47.093538859453865
43,32.00254971629416,81.95492516791327,47.17008516505827
44,34.18840141665831,92.00791698928728,24.524033504957618
45,28.39680219771746,67.21852236063965,65.57708920067027
46,32.61856629797922,63.9521845131872,52.73462440483294
47,29.486444328656557,58.11283883651443,34.18595578616573
48,31.478520151887274,78.19152985294444,59.63000499771987
49,26.89185928423597,70.20530387855601,65.31970188890321
50,26.305958022429124,65.51496255375172,52.84961209154398
51,29.375054667656656,75.49760102242597,54.47483398430191
52,30.4750536529868,75.1601539544445,50.200257846581756
53,29.149786893026217,61.1137624955331,70.43354472076334
54,26.779481595152816,63.11558229324631,44.63579624498366
55,25.89085390835409,76.44358309672228,61.250841108898584
56,27.877301504921007,80.04231281655714,41.84502344236789
57,30.51553248585235,78.22034431396908,45.22394011862686
58,29.763407358990474,49.27344643544998,42.28760886243356
59,28.982343751624498,66.5220232340918,60.83811317618669
60,29.64125079379859,64.37552420428574,73.93896287390989
