unit_id,DissolvedO2Nutrient,PARLight,NitrogenPPM,PotassiumPPM
0,54.28853758141828,53.769701644609555,44.90325997689527,51.09953946571708
1,58.002964012134335,55.42400547959747,38.72611407812858,52.74740089393892
2,60.07863162077872,66.21927835999858,39.44195799379743,34.620482823794156
3,53.76800232564029,29.83860872647222,41.958436677161515,54.1254090667438
4,37.21070836235522,64.76436729907206,38.91395361800977,66.56456518049949
5,53.99711403763853,37.6086646029165,69.58207112958594,41.46240652089326
6,68.04554016560756,59.90781845400347,37.77508609504798,36.27811232675038
7,46.11764518388697,66.42224069869815,60.12307547397673,41.159997033441556
8,47.94044846161832,62.728206793232,60.1286299164502,69.9729125656158
9,64.66572900064834,29.79517020593055,24.482572905694383,48.79436184946784
10,55.75172902643003,56.475057739917965,42.53389059026906,71.54812789762265
11,46.897453928280974,47.71579067010306,32.1227484894224,65.20112296253417
12,48.80651094034653,45.65337060599051,37.09463468417685,50.40877363279511
13,58.889891242083614,37.70690710612159,60.88403799187388,47.986243991641274
14,34.67161089546655,70.17404722017446,60.65152088364178,73.94934214760795
15,62.52499104243359,49.46582871662583,49.921378929218584,51.969838677719956
16,52.72287417157523,38.757880399377726,33.31895909256959,62.28338286314777
17,43.135026176463015,64.558759856806,43.23424734387548,52.86326894080549
18,63.34840286575881,65.96114717744935,40.321688258691196,55.56871537355963
19,76.3882697517566,52.96113341746475,84.00440006599415,50.01073522339002
20,68.35864867017912,69.66062257038084,40.66659649750747,33.958611530031256
21,48.1959139424386,57.2613286306801,45.03796442488845,59.089564224411866
22,53.25062483153519,21.557343600533198,46.08339303320063,32.890159212785406
23,38.055351865795735,63.65630310487505,40.12493358079651,21.095694265995547
24,34.2510691513427,52.97157512273301,55.563035037705035,63.290694139479434
25,48.48623677306949,38.503856801396154,63.95271335330849,49.339567702878476
26,61.376204140162926,57.63910309545203,42.15356212194186,26.329433548106305
27,40.30445865560063,72.76406120796571,65.87443410010958,36.03260542296367
28,68.14667738643601,45.79513549289286,56.914630291028814,58.68992204273005
29,51.26933444741481,46.558511473576026,50.7750164168536,63.42028649678518
30,49.960582820814366,45.180936853953256,53.99942006441258,25.86359816786938
31,45.052248487532985,32.707563841099656,38.91918121818491,28.26329572532571
32,48.749201181322306,59.60238337836177,62.696323724033086,52.06479403334343
33,40.62621596474496,47.0182166610609,35.37509747439804,42.68735579361092
34,46.7009741535166,67.82631768611097,45.54845670187899,31.135040378502026
35,65.72929518928473,51.69446689033011,52.870696325305644,57.25159323038818
36,59.133858990539196,49.23603874557463,63.14163749568916,31.926621508637815
37,42.248927069383555,50.826598776614205,44.021346586586375,51.2698435901525
38,23.39688079036281,61.137817884474245,44.414766691157666,50.456170882081196
39,43.18927294669085,41.696160231419704,55.24922503764039,79.10521408651321
40,58.68882691337468,64.73599839817686,29.92158749013269,35.57460427300487
41,37.22717222642665,65.34202858640926,49.12430239202775,40.73966167277802
42,49.8465589337037,25.844529199939103,57.13521434326313,58.39032539937472
43,58.126827382407654,46.86106201672755,41.15934466847556,59.43620898246746
44,68.45230642032303,62.18073402259992,30.84997907793538,78.38122828529521
45,28.90092614042999,67.8019272857873,49.91655285101393,70.02642509078791
46,66.56908505827022,80.27595258028357,52.841622224534774,53.208551973116336
47,25.276278832841683,43.217569537279246,64.29098966211802,61.8884060803374
48,55.050452391081635,39.477869993911966,47.16077901344554,45.62499923386392
49,79.25208438935232,41.49731067073771,75.38578110054941,58.88485552600033
50,49.75935682389302,38.85957206869124,37.05493898360976,51.89654492654741
51,62.95741632672786,51.188946534653056,49.659043234670015,45.57320562190611
52,30.34145028972394,47.241189760728695,57.62523140226397,67.60728826192864
