unit_id,IrrigationRate,TissueNutrientAssay
0,36.02088730209532,46.186337308909586
1,28.68800901149262,24.06729300646391
2,36.79684254093841,22.95581425132551
3,20.700774708373746,38.22748817190434
4,33.769990599610225,61.92409535600818
5,36.996940638770404,17.68824969760356
6,38.75494718425415,9.100135261470776
7,38.3479894141679,53.381161671159816
8,25.971721838143374,4.640881828228798
9,47.624833430395924,20.51327557538996
10,30.881678689855175,48.35643116966054
11,35.054798681427464,60.594570212060624
12,34.160896363740235,41.531157850894
13,32.496115583047036,56.33569358880703
14,18.11875160456447,63.624100911141866
15,34.22509108083946,57.86570204887982
16,41.93694703592311,81.5944137769043
17,38.10082713900361,40.599102535023185
18,32.04360132670501,32.09946813154262
19,21.980118985991325,39.4131595443982
20,55.071724710933395,41.90796486868219
21,22.23707661638889,54.64258182107373
22,42.80371113513917,5.759761362121775
23,8.653256260359083,15.566114625135818
24,40.97849929562396,56.6338263281411
25,51.951693748691405,48.37589337862657
26,29.456169646857433,45.14491785443738
27,21.799417806904568,30.98757999809243
28,38.26734887818479,35.21571443585431
29,44.23066717158514,50.07545250862495
30,29.21413947571284,27.169561179525637
31,30.21489251841739,85.82353791085139
32,49.68431143367496,53.979594497837695
33,74.64630694926234,35.56303559676675
34,24.217791882131166,15.156912335283252
35,48.61501318299069,16.99663259247648
36,45.326617581716654,57.96933659406484
37,55.265390680232315,20.152991057939154
38,54.08051970862722,72.31920541047859
39,40.480204581687794,53.981561057840096
40,46.83586012376061,65.92565244706536
41,42.998346068850246,58.55298860117631
42,27.47253213874608,59.28961073504393
43,39.159767849403885,68.19366319162692
44,37.24908331096982,36.21386031529452
45,51.38890839777575,47.782813540428286
46,26.75021454918218,18.85436554699082
47,33.35970858249909,77.71462271063659
48,37.293630906526744,39.92370066495176
49,52.89863772440516,57.96129831821371
50,22.097466195564582,14.194055878798926
51,37.067922781715986,63.37653385372049
52,37.11827861385431,52.52272555395342
53,18.709815512385518,28.427533759155324
54,62.32221883656797,51.47841128255054
55,35.34411862231269,58.01391266728028
56,60.57625088859413,51.17515275941285
57,42.28358434813056,53.75416108222955
58,46.65344089014854,62.84636194569782
59,48.74579252606513,73.67024798905031
60,46.821852887458185,65.64217885420562
61,44.06469616858895,32.38534408192387
62,28.984098554259255,47.31650763165441
63,37.094178655479716,66.74812186842529
64,18.19884028238676,42.12816172989194
65,37.626894004096584,28.89721207380182
66,45.58409228618938,51.38633808728924
67,43.8963505729688,66.33670780074124
68,4.30684476245435,9.088545226554206
69,45.29557476469081,44.58377612678461
70,23.39676842971019,36.69400218902044
71,30.987300016779535,39.26208472554691
72,22.370608406429767,25.695183713241725
73,37.2919633554447,62.56096722503052
74,10.005209725113938,37.31026133533498
75,46.710526940613754,59.84361651047739
76,34.61737235930649,22.465702961716794
77,21.217099436988327,60.25712604366376
78,48.90102661982691,57.7460797406889
79,51.446804904832796,71.03972328073421
80,42.45860690142544,34.77944809493284
81,46.24968121612678,33.101958654258745
82,73.18998244377741,54.90957278218469
83,34.03747816345389,36.58434104915019
84,40.01431708849587,43.89169081354545
85,37.109291991593615,92.7255179669462
86,32.84141091332293,60.78249047664556
87,43.313140557323926,47.75650471620242
88,47.89832980887823,36.92220915208247
89,56.12313733458211,41.262091947647555
90,20.18826037166704,16.92725700602047
91,40.18498847629967,49.07705813541165
92,69.37986411744923,30.473110149059867
93,55.2604594392565,50.23865581703673
94,50.228955699886896,57.09999397960818
95,40.652150763659606,67.0493096615753
96,55.93508436206073,51.66699237523196
97,30.626141557214577,71.27181053949886
98,53.281380271576126,60.75731682613147
99,54.63094551032607,61.2888415922541
100,36.882328715389065,31.66442104685203
101,52.52257515094235,45.084112784074684
102,43.43252694157831,42.71479962148564
103,46.85958715959867,8.799078408880183
104,35.80120692471938,23.03678230656054
105,55.687204238606924,27.455187245751528
106,30.037422125374356,11.969615202164436
107,56.30644737120774,42.89195308685249
108,34.029784495003724,45.77694617906275
109,41.8293013420744,61.98698159748747
110,40.1746678319007,73.14069689643398
111,56.754132345324294,64.62467184274514
112,43.70602696241288,56.00983551819064
113,32.26807022985076,35.0736982653868
114,56.71098902017542,68.83438472358007
