unit_id,ConversionEfficiency,ReactorPressure,FeedFlowRate
0,16.15722024265984,78.36001034174622,20.85914760072537
1,16.816500558456834,96.21161948581467,49.61721311353804
2,19.048973421561637,87.6406149997509,28.24943330093144
3,17.377201958947456,59.58811904168378,26.741797260438165
4,20.33826194027341,100.20966894112351,45.28500784936379
5,18.52058422487557,60.7789201920529,48.82569220645631
6,18.573460759081716,73.7940971811952,49.80984001187572
7,15.623572447726412,69.42140912920271,54.02777113323334
8,14.860314705978368,76.3431733162377,40.7355797781585
9,15.331543060546139,87.25201774543385,35.55707849704182
10,14.876806493235252,41.924305549624634,34.91158324231211
11,16.61775631873426,87.7921734312584,38.654808754906384
12,16.975165367196283,67.52508695254137,44.230652527512575
13,14.376777314757682,60.68480638376,42.338060014001876
14,15.596154805869508,76.09891715894986,47.31921766924024
15,21.986637902015048,58.933272142126846,50.06192147965303
16,18.833494009120248,91.5605602116973,30.1343633054079
17,23.3876941554087,96.41191753210845,54.59586800882408
18,16.841172153895176,71.41293277735005,57.25417359261086
19,19.516672414169104,75.5472890132731,37.99014083541522
20,17.178325453159204,60.344799755817704,49.60977602690639
21,22.041298471790224,82.38681082690327,35.19911451913718
22,13.638226323762012,88.08073872383726,42.14442518786486
23,21.28971825628342,90.43490952306146,61.85233592341276
24,24.614476382188982,82.72145193051023,52.785876834385896
25,19.421647596833544,82.47394405184204,21.68117874449637
26,19.198840395608606,86.01664961428418,41.32042760261558
27,16.311878475101445,76.45989947581698,42.201638511819745
28,17.19893493882535,94.85710777121086,44.247426009172116
29,20.48754274644311,93.38801536861126,30.26832845764566
30,21.98911319509779,78.78745300529782,21.19791552179397
31,22.502750477104662,74.81632125355522,43.167230753483594
32,20.304162735236012,93.06949225771066,29.357861120584428
33,15.958128479435318,66.13835706347294,21.55458683410323
34,20.077272485563594,80.68312060160378,39.21713440431551
35,17.436029705469686,76.3272653846321,47.339970603782206
36,21.826493096377323,82.05788321514648,41.889308630530905
37,17.271971119316373,72.76540577808274,28.781253702163134
38,13.236423967105544,87.34372275132174,28.8181940742198
39,20.63735360211034,85.99549508149988,32.98785326523574
40,15.014633472274062,80.52426048539525,52.97921066847511
41,14.500813293788395,52.00084877675095,25.079073497636248
42,19.215108245231573,80.50649983045713,51.99382524596743
43,18.425375017026706,56.034239670428335,50.32560102295872
44,22.29910457829035,75.14878377774555,37.05361517238372
45,16.260630859552037,78.84176040910911,47.47243553120973
46,13.010082407107022,88.44862604256971,57.65631764519228
47,16.624525252920403,77.95765113723591,53.07859734836409
48,20.234070284918754,89.3627242322283,34.97941848778359
49,22.07391954050959,107.51991146052056,30.07312403304185
50,19.821975876715435,92.32457241873881,6.640194684719266
51,13.721184827928438,50.720449068826575,23.772957712929053
52,18.400903430171056,66.62671788013076,29.70662289625704
53,14.438552956791934,63.552903398453694,46.333831487177356
54,13.733070759421677,70.99781041601851,49.91437990823097
55,25.41316535402109,94.33721905855322,58.10378659355754
56,20.69542418478727,71.98350580413282,15.655444646507046
57,17.368673335773487,70.99683699269158,51.95238810646512
58,16.631437224949234,83.05219304385794,44.24404600914596
59,12.1221583350895,67.32198121561434,28.8677709805255
60,16.281141159997723,67.49537523811101,55.35452253649816
61,18.46842682915645,76.33517556593488,29.098244162433197
62,16.658899636766257,72.13400877556765,54.204338246811055
63,14.705264202301269,68.31105546455686,20.452969893189042
64,17.41009715593296,94.54987777764269,27.914921938633523
65,20.68712615659671,89.28147093406693,56.401008165373696
66,19.6640594932804,87.1534767193115,55.11681119569795
67,15.142258999782964,74.39731011761708,35.125130151206456
68,16.148874994487464,75.22425628095391,44.91878145545154
69,14.896438480203305,65.11620026050743,52.84884618952367
70,12.848239485004575,66.52711094316896,51.97919348327164
71,20.036826157938222,63.80428770019735,47.33641456722191
72,13.155344552947556,83.90990345939223,-12.039650794079614
73,16.4692065005704,72.29460826456997,34.23135756123022
74,16.171968322996147,78.81795025975089,35.75455662760639
75,21.79547228805165,81.4729555286242,36.467446905495045
76,23.049638153826407,80.48693471692998,33.78193272456278
77,17.25659954629048,63.61989297938174,34.5612782997498
78,11.461082836032551,70.16584078520205,34.25380133421781
79,12.926279077296304,73.29736556678904,42.47608942980362
80,23.281232729574576,100.5900555580912,14.195415453535317
81,19.860464052885977,85.77225102525837,45.05763509633722
82,20.222365465136303,84.0777762141648,35.57415272310644
